id	text	titles
10	Botox (ZGT Helon)	(Botuline-toxine) Veel rimpels in het gezicht ontstaan door het bewust en onbewust aanspannen van de spieren vlak onder de huid. Door botuline- toxine in een bepaalde spier te injecteren, vervagen of verdwijnen ontsierende fronsrimpels, kraaienpootjes en horizontale lijnen op het voorhoofd. “Kijk uit. Jezelf mooi maken kan lelijk uitpakken. Een geslaagde ingreep begint bij een goede arts.”
11	Eetproblematiek, observatie in dagbehandeling	9.00 uur: Melden bij de medisch pedagogisch zorgverlener op de kinderafdeling ZGT Almelo. Opnamegesprek en eventueel doornemen van de vragenlijst. 9.30 uur: Fruit eten in de speelkamer, aangeboden door u, een van de ouders, medisch pedagogisch zorgverlener kijkt mee. Daarna kort nabespreken en spelen in de speelkamer 11.30 uur: Broodmaaltijd in de speelkamer, aangeboden door u, een van de ouders. De medisch pedagogisch zorgverlener kijkt mee. 12.30 uur: Spelen op de kamer (vanaf 13.00 uur weer in de speelkamer) 15.00 uur: Fruit/koekje eten in de speelkamer, aangeboden door de medisch pedagogisch zorgverlener 16.30 uur: Warme maaltijd (ZGT) in de speelkamer, aangeboden door de medisch pedagogisch zorgverlener. 17.00 uur: Evaluatie door de medisch pedagogisch zorgverlener en eventueel psycholoog en/of kinderarts. Er wordt besloten of er nog een tweede observatiedag nodig is (mogelijk is dit vooraf al met u afgesproken). 17.15 uur: Evaluatie door de medisch pedagogisch zorgverlener en eventueel psycholoog met ouders. 17.30 uur: Naar huis
12	Longscan	Als u binnen vier weken na uw onderzoek of behandeling een vliegreis gaat maken, meld dit dan een paar dagen voor de afspraak bij de secretaresse van de afdeling nucleaire geneeskunde. Dan wordt bekeken of het noodzakelijk is om een vliegbrief mee te geven. Hiermee kunt u aantonen dat u een onderzoek of behandeling met radioactieve stoffen heeft gehad.
13	Tredmolenonderzoek	- Als u inhalatiemedicatie of tabletten tegen allergie gebruikt dient u deze een week voor het onderzoek te stoppen.  - Verricht geen zware inspanning op de dag van het onderzoek.
14	Ciclosporine (Sandimmune, Neoral) bij IBD	Voor zover bekend heeft ciclosporine geen ongunstige invloed op de vruchtbaarheid van mannen en vrouwen. Mannen met een kinderwens kunnen Ciclosporine blijven gebruiken.
15	Bisfosfonaten	Bisfosfonaten zijn medicijnen die aan botweefsel hechten en hierdoor de botafbraak remmen en de botdichtheid vergroten. Behandeling met bisfosfonaten verlaagt het risico op botbreuken en botontkalking (osteoporose). Bij botontkalking wordt voor een optimale werking aangeraden bisfosfonaten langdurig (minimaal gedurende vijf jaar) te gebruiken. Indien het bisfosfonaat voorgeschreven is ter voorkoming van botontkalking bij langdurig gebruik van corticosteroïden (zoals prednison), dan kan het zijn dat uw reumatoloog bij het stoppen van de corticosteroïden ook de bisfosfonaat eerder stopt. Meestal kunt u dan ook stoppen met de kalk (calcium)/vitamine D tablet die vaak in combinatie met een bisfosfonaat voorgeschreven wordt.
16	Vakgroep revalidatie	ZGT is een opleidingsziekenhuis. Daarom is het mogelijk dat u tijdens uw bezoek aan de polikliniek een coassistent treft. Coassistenten zijn studenten geneeskunde, welke in een eindstadium van hun artsenopleiding zijn. Ze lopen stage op de polikliniek om inzicht en ervaring te verkrijgen in het specialisme. Mocht u bezwaar hebben tegen de aanwezigheid van een coassistent, dan kunt u dit kenbaar maken.
17	Sleeve gastrectomie	Een sleeve gastrectomie operatie is ingrijpend en niet zonder risico. Daarom komt niet iedereen zomaar in aanmerking voor deze operatie. Om de operatie te kunnen ondergaan moet u in ieder geval aan de volgende voorwaarden voldoen:  - U bent ouder dan 18 jaar en jonger dan 65 jaar.  - U hebt langere tijd (minimaal vijf jaar) last van een extreem overgewicht. Dat houdt in een BMI van 40 of hoger óf een BMI tussen 35 en 40 gecombineerd met bijkomende lichamelijke problemen. Voorbeelden van lichamelijke problemen zijn: hart- en vaatziekten, hoge bloeddruk, gewrichtsklachten en/of diabetes.  - U hebt op andere manieren al meerdere goede pogingen gedaan om uw overgewicht te beperken, bijvoorbeeld door een dieet te volgen. En u kunt dit aantonen, door bijvoorbeeld schriftelijke verklaringen van professionele hulpverleners.  - U bent op psychisch gebied stabiel.  - U bent bereid om de groepsbijeenkomsten voorafgaand en aansluitend aan de operatie te volgen.  - U bent niet bekend met de diagnose drugs- of alcoholmisbruik.  - U heeft geen ernstige lichamelijke ziekten.
18	Allergieonderzoek d.m.v. priktest	Slik vanaf een week voor de priktest geen tabletten tegen allergie of jeuk. Smeer ook vanaf een week voor de test geen hormoonzalf op de onderarmen. Dit kan de test beïnvloeden. Gebruik op de dag van het onderzoek geen zalf of bodylotion.
19	Cyclofosfamide (Endoxan®) tabletten en per infuus	Cyclofosfamide mag u in de periode voor, tijdens en na een tandheelkundige ingreep meestal blijven innemen. Informeer tijdig degene die de ingreep uitvoert dat u wordt behandeld met cyclofosfamide.
20	Vaatlaserbehandeling voor beenvaatjes (ZGT Helon)	De kosten worden met u besproken tijdens een eerste gesprek. Een schatting van de kosten kunt u telefonisch opvragen of vindt u op helon.nl. De behandeling wordt meestal niet vergoed.
21	EEG na slaapdeprivatie	U dient voorafgaand aan het onderzoek 24 uur wakker te blijven en geen cafeïne houdende dranken te gebruiken. Wij raden u aan om tijdens het onderzoek gemakkelijke kleding te dragen. Wilt u thuis vóór het onderzoek uw haren wassen (met shampoo zonder conditioner) en géén haarlak, gel, versteviger of iets dergelijks gebruiken.
22	Borstvoeding en diabetes mellitus	- Bij sommige vrouwen komt de melkproductie langzamer op gang. Het is voor de baby belangrijk om zo snel mogelijk regelmatig kleine beetjes moedermelk te krijgen. Dit houdt in dat vaak aanleggen extra belangrijk is. Binnen het eerste uur na de bevalling en daarna acht tot twaalf keer per 24 uur. De voedingen hoeven niet lang te duren. Vaker is belangrijker dan lang aan de borst. Een goede aanlegtechniek is van belang zodat de baby goed drinkt en het colostrum binnenkrijgt;  - Extra afkolven om de melkproductie te stimuleren is in sommige situaties aan te raden. Dit kan de eerste periode het beste met de hand gedaan worden nadat de baby aan de borst heeft gedronken. Kolven met de hand levert meer colostrum op. Dit kan direct aan de baby gegeven worden met een lepel of spuit. Informatie over afkolven vindt u in de folder ‘Afkolven van moedermelk’;  - Mocht de baby nog niet aan de borst kunnen drinken, probeer dan binnen een uur na de bevalling te starten met het afkolven van moedermelk.
23	Laag liggende placenta (Placenta praevia)	Een laagliggende placenta is de meest voorkomende oorzaak van bloedverlies in de tweede helft van de zwangerschap. Dit bloedverlies is meestal pijnloos. Soms heeft u voor of na het bloedverlies last van harde buiken. De bloeding wordt meestal veroorzaakt doordat de placenta een stukje van de baarmoederwand loskomt. Dit kan gebeuren omdat tijdens de zwangerschap het onderste deel van de baarmoeder meer uitrekt. Dit komt doordat uw baby in het bekken daalt of de baarmoederhals tijdens de bevalling open gaat. Ook seksueel contact kan bloedverlies veroorzaken. Het bloeden verschilt van een paar druppels tot grote stolsels. Het loslaten van de placenta is voor u en uw baby erg gevaarlijk. Neem bij bloedverlies daarom altijd direct contact op met uw (klinisch) verloskundige of gynaecoloog. Het bloedverlies ontstaat vaak ’s nachts of vroeg in de morgen.
24	Osteomyelitis	- Nabloeding  - Pijn  - Misselijkheid  - Koorts  - Zwelling  - Een recidiverende infectie  - Zeldzaam zijn: Pathologische fracturen (spontaan ontstane botbreuken)
25	Voedingsadviezen bij ijzertekort tijdens de zwangerschap en na de bevalling	IJzer uit plantaardige voeding wordt beter opgenomen als je bij de maaltijd iets eet of drinkt met vitamine C, zoals groente of fruit. Door bij een broodmaaltijd bijvoorbeeld fruit, rauwkost of een glas sinaasappelsap te nemen, wordt het ijzer uit brood beter opgenomen.
26	Diagnostische hysteroscopie	Dit doen we op de behandelpolikliniek of op de operatiekamer. In veel gevallen is een verdoving niet noodzakelijk. Afhankelijk van de reden van het onderzoek; kan er wel gebruik worden gemaakt van verdoving, deze is plaatselijk. Als er gebruik wordt gemaakt van algehele narcose of een ruggenprik, wordt u voor één dag in het ziekenhuis opgenomen (dagopname).
27	Acupunctuur  (Nocepta)	Nadat u zich bij de receptie heeft gemeld, wordt u naar de behandelkamer gebracht waar de acupunctuurnaalden worden aangebracht. Tijdens de behandeling zit u op een stoel of ligt u op een behandeltafel. De pijnspecialist zal eerst de huid desinfecteren. Daarna worden de specifieke pijnpunten op het lichaam gestimuleerd door het inbrengen van de naald en soms zelfs met een elektrostimulator. Het plaatsen van de naalden kan even gevoelig zijn, maar het gevoel trekt snel weer weg. Het aanbrengen van de acupunctuurnaaldjes duurt een paar minuten. De naalden blijven ruim 20-25 minuten in uw lichaam. Aan het einde worden zij verwijderd en mag u meteen naar huis. Afhankelijk van de klachten worden 8-10 behandelingen gepland. Na 4-5 behandelingen zal er een evaluatie plaatsvinden om te bepalen in hoeverre het zinvol is om met de behandelingen verder te gaan. Indien er helemaal geen effect is, wordt de behandeling niet meer voortgezet.
28	Mirabel procedure	Deze folder dient als aanvullende informatie, om u te informeren over het verwijderen van een fibroadenoom door middel van de MIRABEL procedure. De MIRABEL procedure vindt plaats op de afdeling radiologie.
29	Fillers (ZGT Helon)	Fillers zijn stoffen die in de gezichtshuid worden ingebracht om rimpels, plooien en soms littekens te verminderen. Ook worden ze gebruikt om bepaalde vormen van het gezicht te verbeteren. Zoals de lippen, jukbeenderen en de kaaklijn. Bij Helon maken we gebruik van afbreekbare fillers die hyaluronzuur bevatten. Dit hyaluronzuur lijkt sterk op het hyaluronzuur dat van nature in het lichaam voorkomt. Het is een heldere gel die in kleine hoeveelheden wordt geïnjecteerd om de vorm en structuur van de gezichtshuid te verbeteren.
30	Irinotecan wekelijks, patiënteninformatie	- Bij koorts boven de 38,5 ° C moet u contact met ons opnemen.  - Uw haar kan gaan uitvallen, mogelijk wordt het alleen dunner. Dit is van tijdelijke aard. Haaruitval begint meestal met een pijnlijke hoofdhuid. Een machtiging voor een eventueel haarwerk kunt u vragen aan de oncologieverpleegkundige.  - Irinotecan heeft als meest voorkomende bijwerking het optreden van diarree. Neem contact op met de oncologieverpleegkundige indien u vaker dan vier maal daags diarree heeft, zij zullen u adviseren over een passende behandeling. Blijf alert op uw ontlastingpatroon, de medicijnen die u krijgt voorgeschreven kunnen obstipatie (verstopping) als gevolg hebben.  - Resten cytostatica kunnen tot dag vijf in het lichaamsvocht (onder meer urine, ontlasting, sperma, speeksel en braaksel) aanwezig zijn. In het ziekenhuis krijgt u adviezen over hoe u hiermee om kunt gaan. Als u klachten krijgt die u niet vertrouwt mag u altijd contact met ons opnemen.
31	RS-virus voorzorgsmaatregelen	Uw kind is opgenomen op de afdeling moeder en kind en gaat binnenkort met ontslag naar huis. In de winter (oktober t/m maart) heerst elk jaar het zogenaamde RS virus. Dit is een uitermate besmettelijk virus. Oudere kinderen en volwassenen worden er niet erg ziek van. Bij jonge zuigelingen kan het virus echter leiden tot een ziekenhuisopname. In deze folder geven wij u informatie over dit virus en over wat u zelf kunt doen om de kans op besmetting bij uw kind met het virus zo klein mogelijk te houden.
32	Formulier lastmeter (40056157)	Hoeveel last hebt u van problemen, klachten, zorgen? Vul eerst de thermometer in. Omcirkel het nummer op onderstaande thermometer dat het best samenvat hoeveel last u de afgelopen week (inclusief vandaag) hebt gehad op lichamelijk, emotioneel, sociaal en praktisch gebied Invuldatum:
33	Schildklier RFA (Radiofrequent Ablatie)	Voor de behandeling is het noodzakelijk dat u kortdurend opgenomen wordt op de dagopname. Van de opnameplanning hoort u wanneer u op de dagopname verwacht word. Wanneer u opgenomen bent krijgt u een tablet Oxazepam, dit heeft een ontspannende en kalmerende werking. Ook krijgt u pijnstillers. En krijgt u een speciaal jasje aan met drukknopen, dit kunt u dragen tijdens de behandeling. Ondergoed mag u aanhouden, overige kleding moet uit. Daarnaast krijgt u een infuus ingebracht. U wordt met een bed naar de afdeling radiologie gebracht. De behandeling vindt plaats in een van de echokamers op de afdeling radiologie. U komt op een behandeltafel te liggen waarbij u met het hoofd iets achterover ligt, zodat de schildklier goed benaderbaar is. Tevens krijgt u op elke bovenarm een ‘aarding-pad’ geplakt. Door middel van echografie bepaalt de radioloog de exacte plaats van de zwelling in uw schildklier. De plaats waar de naald wordt ingebracht wordt plaatselijk verdoofd, dit moet de pijnsensatie wegnemen. Deze prik kunt u wel even voelen. De huid wordt vervolgens gedesinfecteerd en afgedekt met steriele doeken. De radioloog zal de zwelling met een speciale naald aanprikken. De punt van deze naald wordt telkens verwarmd waardoor een stukje van het weefsel verschrompeld. U kunt hierbij wat ‘ploppende’ geluiden horen en mogelijk lichte tintelingen in de kaak voelen. Is het te gevoelig dan kunt u dit altijd aangeven aan de radioloog. Wanneer de volledige zwelling behandeld is, wordt de naald verwijderd worden en wordt er een pleister op het wondje geplakt.
34	Continentiepolikliniek, kinderen met blaasproblemen	Tijdens de training leert uw kind zelfstandig toiletgedrag aan en uw kind wordt gemotiveerd om het trainingsprogramma vol te houden. Alleen uw kind zelf kan de verkeerde plasgewoonten veranderen.
35	Tips & regels voor uw leven met peritoneaal dialyse	Wanneer u een balsport wilt beoefenen zoals voetbal, volleybal of handbal, is dit mogelijk als u hierbij de katheter goed afplakt en fixeert. Ook is het van belang dat u tijdens het beoefenen van deze sport, beweging of getrek aan de katheter probeert te voorkomen. Houd goed in de gaten wat uw lichaam aan kan.
36	Angiografie, dotterbehandeling en_of stentplaatsing	- U krijgt een drukverband, deze moet blijven zitten tot de volgende ochtend.  - De eerste 6 uur na de behandeling moet u plat in bed blijven liggen.  - Na 6 uur moet u nog steeds in bed blijven, maar mag u zitten. Onder begeleiding van een verpleegkundige is toiletbezoek toegestaan.  - U moet het been waarin u bent aangeprikt ontspannen laten liggen. Tot de volgende ochtend mag u uw been niet optrekken.  - Als u een warm gevoel krijgt in de lies of u ziet dat het nabloedt waarschuw dan direct de verpleegkundige.
37	Mentaal herstellen na IC-opname voor patiënten en hun naasten	- U hoeft niet aan iedereen uitgebreid te vertellen hoe het met u gaat. Mensen die u kent zullen vast aan u vragen hoe het gaat. Maar het is prima als u niet telkens wilt vertellen over hoe het was en hoe het gaat.  - Bedenk wat u wel en niet wilt vertellen. Ga na wat u zelf prettig vindt en bedenk enkele reacties aan mensen, zodat u al een antwoord klaar hebt als ze ernaar vragen.
38	Meckel's-divertikelscan	- In de laatste drie dagen voor dit onderzoek mag u geen ander maag- of darmonderzoek gehad hebben.  - Voor dit onderzoek moet u nuchter zijn: u mag vanaf 12 uur ’s nachts niets meer eten. Baby’s hoeven voor dit onderzoek niet nuchter te blijven!  - U dient 24 uur voor het onderzoek 2 tabletten cimetidine (400 mg/tablet) in te nemen.  - Het is belangrijk dat u voor het onderzoek goed uitplast.  - Metalen voorwerpen kunnen het onderzoek verstoren. Daarom kan u gevraagd worden sieraden, sleutels en andere metalen voorwerpen te verwijderen of bepaalde kledingstukken uit te trekken.  - Begeleiding is toegestaan, maar in verband met de beperkte wachtruimte vragen wij u niet meer dan één persoon mee te nemen.  - Tijdens het onderzoek zelf kan er in principe geen begeleider bij u zijn.  - Bent u zwanger, denkt u dit te zijn, of geeft u op dit moment borstvoeding, neem dan zo snel mogelijk contact op met de afdeling nucleaire geneeskunde.
39	Voedingsadviezen bij een vetbeperking	MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt.
40	Verwijderen van de neus- en keelamandelen bij kinderen	Het is van belang dat uw kind nuchter naar het ziekenhuis komt. Wij verzoeken u vóór de ingreep contact op te nemen met de polikliniek van de keel-, neus- en oorheelkunde, telefoonnummer 088 708 33 50 om te overleggen of de ingreep door kan gaan als:  - Uw kind waterpokken of kinkhoest heeft. De ingreep wordt waarschijnlijk uitgesteld.  - Er in de drie weken voorafgaand aan de ingreep een besmettelijke kinderziekte (bof, rodehond, waterpokken, mazelen, kinkhoest) heerst in de directe omgeving van uw kind, bijvoorbeeld in het gezin, in de buurt of op school.  - Uw kind de dag voor de ingreep (nog) koorts hoger dan 38 graden heeft en/of langer dan twee dagen ziek is.  - Als uw kind de ochtend van de ingreep ziek blijkt te zijn, dan kunt u vanaf 7.00 uur contact opnemen met de kinderverpleegkundige, telefoonnummer 088 708 36 64.
41	Ventolin, afbouwschema na ziekenhuisopname	Dag 1 (bij ontslag) 6 – 8 x daags Elke 4 uur 2 tot 4 puffs Dag 2 5 x daags Bijvoorbeeld: 7 uur 11 uur 15 uur 19 uur en 23 uur of ’s nachts 2 puffs Dag 3 4 x daags Bijvoorbeeld: 7 uur 11 uur 15 uur 19 uur 2 puffs Dag 4 3 x daags Bijvoorbeeld: 8 uur 14 uur 20 uur 2 puffs Dag 5 2 x daags Bijvoorbeeld: 8 uur 20 uur 2 puffs Dag 6 1x daags Bijvoorbeeld: 8 uur 2 puffs Of salbutamol stop, afhankelijk van voorschrift kinderarts.
42	Bloeddrukmeting, 24 uurs cardiologie	U meldt zich op de afgesproken tijd op de polikliniek cardiologie. De polikliniek is te bereiken via de hoofdingang. De polikliniek cardiologie van locatie Almelo vindt u op route 0.5 en de polikliniek van locatie Hengelo vindt u op route 0.19, Hart Long Centrum.
43	Duplex mesenteriaal onderzoek	Uw medisch specialist heeft u verwezen voor een duplex onderzoek. In deze folder leest u over de voorbereiding op dit onderzoek, het onderzoek zelf en de uitslag.
44	Afwijkend uitstrijkje, colposcopie en lisexcissie	Het kolposcopisch onderzoek is niet pijnlijk. Het nemen van biopten kunt u voelen, maar doet niet echt pijn. Pijnstilling voorafgaand of tijdens dit onderzoek is dus niet nodig. Zoals eerder is vermeld, vindt de lisexcisie of (L)LETZ meestal onder lokale verdoving plaats. Soms kan het nodig zijn de ingreep onder narcose of met een ruggenprik uit te voeren. Wanneer dit nodig is, bespreekt de gynaecoloog dit met u. Wanneer meer dan lokale verdoving nodig is, wordt de ingreep gedaan op de operatiekamer. Een anesthesioloog heeft dan eerst nog en gesprek met u over de verdoving.
45	Bijschildklierscan	MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt.
46	Zwangerschapsbraken (hyperemesis gravidarum), voedingsadviezen bij	(Hyperemesis Gravidarum) Tijdens de eerste periode van de zwangerschap kan het zijn dat er klachten van misselijkheid en braken ontstaan. In sommige gevallen kunnen deze klachten langer en heviger aanwezig zijn, waardoor het lichaam te weinig vocht en voedingsstoffen kan opnemen. Dit kan leiden tot dehydratie en eventueel ziekenhuisopname. Wanneer de misselijkheid en het braken langere tijd in ernstige vorm aanhoudt, spreken we van Hyperemesis Gravidarum.
47	Opname kind- en tienerafdeling	Als we verwachten dat de ziekenhuisopname een week of langer duurt, krijgt uw kind ook onderwijs. De onderwijskracht neemt contact op met de school van uw kind om de belangrijkste lessen door te laten gaan. Dit geldt zowel voor het basis- als het voortgezet onderwijs. Dat kan natuurlijk alleen als de gezondheid van uw kind dit toe laat.
48	Ziekenhuiszorg wie betaalt de kosten	Gaat u binnenkort naar het ziekenhuis of bent u al patiënt? Voorkom dat u achteraf onverwacht geconfronteerd wordt met zorgkosten die voor eigen rekening komen. In deze folder vindt u informatie over wie de ziekenhuiszorg betaald.
49	Slaaptips voor tieners	MijnZGT MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van het medisch dossier van uw kind inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij hebben klaargezet. Kijk voor meer info op: https://www.zgt.nl/media/20045/40082905- folder-inloggen-mijnzgt-machtiging-18-06- 2019.pdf
50	Uw baby thuis	Omdat uw baby in het ziekenhuis lag, heeft u een minder gezellige kraamtijd gehad. Als uw baby thuiskomt, kunt u overwegen om alsnog een kraamperiode te houden. Het is wel aan te bevelen om voor uzelf en uw baby dagelijks enkele uren rust aan te houden. Denk bij het ontvangen van het kraambezoek in de eerste plaats aan uzelf en uw gezin. U kunt bijvoorbeeld vaste bezoektijden afspreken met uw familie, vrienden en kennissen. Hoewel uw baby geen tere couveusebaby meer is, raden wij u toch aan om bezoekers die verkouden zijn, hoesten of diarree hebben te vragen om pas op bezoek te komen als zij hersteld zijn. Ook kinderen met deze verschijnselen of met kinderziektes kunt u beter nog niet bij uw kind laten. Het is niet verstandig om uw baby door iedereen te laten aanraken. Tevens raden wij u aan nergens in huis te roken.
51	Sclerocompressietherapie (Twente Clinics)	Deze folder informeert patiënten van Twente Clinics over sclerocompressietherapie. Deze therapie is bedoeld voor patiënten met kleine of grotere spataderen aan de benen. Bij deze therapie behandelen we de spatader(en) met als doel het verminderen of opheffen van de klachten.
52	Video interactie begeleiding (VIB) op de afdeling geboorte	U wordt gedurende uw zwangerschap begeleid door de gynaecoloog en de verloskundige binnen de polikliniek verloskunde en op de afdeling geboorte van ZGT Almelo. Naast de medische en emotionele begeleiding kunt u gebruik maken van video interactie begeleiding (VIB) bij de afdeling medisch maatschappelijk werk. Door ervaringen in het verleden kunnen u en uw partner erg tegen de bevalling of keizersnede op zien. Door letterlijk beelden te bekijken van de geboorte van uw kindje, kunt u zien hoe de geboorte daadwerkelijk is verlopen. Dat kan anders zijn dan hoe u het zich herinnert.
53	Hooikoorts	Hooikoorts is een vorm van allergie. Iemand met hooikoorts is overgevoelig voor bepaalde soorten stuifmeel van grassen, planten of bomen. Stuifmeelkorrels worden ook wel eens pollen genoemd. Zodra de ogen, neus, mond, keel of luchtpijp van iemand met hooikoorts in aanraking komen met stuifmeel, raken de slijmvliezen geprikkeld. Dat kan veel klachten geven.
54	Actigrafie	De slaapspecialist heeft u doorverwezen voor een actigrafie. Met behulp van een actigrafie horloge kunnen slaapstoornissen die gepaard gaan met een verstoord slaap-waak ritme objectief worden gemeten. Hierbij valt te denken aan een verschoven slaapritme, de gevolgen van wisseldiensten of van een jetlag. Het actigrafie horloge houdt meerdere opeenvolgende dagen de dagelijkse bewegingen bij, dit varieert van zeven tot veertien dagen.
55	Sonde inbrengen	U kleedt zich van boven uit in de kleedkamer maar u mag uw hemd aanhouden. U neemt plaats op de behandeltafel. De radioloog of arts-assistent verdooft de neus en brengt de sonde onder doorlichting in.
56	Okselklierdissectie	Na een operatie voor borstkanker waarbij de lymfklieren uit de oksel verwijderd zijn, is er kans op het ontstaan van lymfoedeem. Lymfoedeem is een abnormale ophoping van eiwitten en vocht in een lichaamsweefsel. Dit is een gevolg van een verstoord evenwicht tussen aan en afvoer van vocht. Waaraan herkent u lymfoedeem?  - Een zwaar aanvoelende arm en/of hand en vingers.  - Een dikke arm en/of hand en vingers.  - Pijn, tintelen, een strak, gespannen gevoel.  - Vochtophoping, een sponzig gevoel in oksel, schouder, borst en rond het litteken. Lymfoedeem kan meteen na de operatie optreden, maar ook pas na jaren. Het is belangrijk om dit meteen aan te geven als u last krijgt van lymfoedeem. Hoe eerder het ontdekt wordt, des te beter is het te behandelen.
57	Sacrocolpopexie	Er zijn veel vrouwen die baat hebben bij een implantaat. Als u eerder bent geopereerd bent in het gebied waar opnieuw een verzakking is ontstaan, zijn er weinig alternatieven. Een kleine groep vrouwen krijgt last van chronische pijn. Deze klachten kunnen niet altijd verholpen worden.
58	Thierschplastiek	Heeft u naar aanleiding van deze folder of de opname nog vragen, neem dan contact op met het secretariaat vaatchirurgie ZGT, 088 708 52 43. Of het secretariaat traumatologie ZGT, 088 708 52 33.
59	Eetproblematiek, vragenlijst observatie in dagbehandeling	Telefoonnummer 088 708 31 20
