Question no,Question,Answer,Section
19,Valt een opname als gezonde moeder onder de basisverzekering?,"Ja, een opname als gezonde moeder valt onder de basisverzekering. Er wordt wel aanspraak gemaakt op uw eigen risico.","Gezonde moeder of rooming-in ouder --- Inleiding --- Dat betekent dat u bij uw baby kunt verblijven ook als u geen medische indicatie heeft. _x000D_
- De opname als gezonde moeder valt onder de basisverzekering, u bent verzekerd. Er wordt echter wel aanspraak gemaakt op uw eigen risico. _x000D_
- Wanneer u als kraamvrouw nog in de kraambedperiode (t/m dag acht) zit en mee komt met een zieke zuigeling, wordt u opgenomen als gezonde moeder, zie; Periode tijdens het kraambed. _x000D_
- Wanneer u na de kraambedperiode (na dag acht) met uw zieke baby mee komt of hier verblijft, kunt u bij uw zieke baby verblijven zie; Periode na het kraambed. _x000D_
- Na dag 28 wordt u automatisch uitgeschreven als gezonde moeder. U hebt ook de keuze om al eerder na het kraambed uitgeschreven te worden als gezonde moeder. _x000D_
- Via een webcam is het mogelijk om uw baby te zien via de computer/smartphone of tablet. Vraag de verpleegkundige naar deze mogelijkheid."
21,Heb ik recht op verlof als ik mijn kind verlies tijdens de zwangerschap of rond de bevalling?,"In de meeste gevallen heb je recht op een periode van verlof. Als dit niet het geval is, kun je dit bespreken met je bedrijfsarts, het UWV of rechtstreeks met je werkgever.","Het verlies van uw kind, tijdens de zwangerschap of rond de bevalling --- Weer aan het werk --- Denk goed na of en wanneer u weer aan het werk wilt. Meestal hebt u recht op een periode van verlof. Wanneer dit niet het geval is, kunt dit bespreken met uw bedrijfsarts, met het UWV of rechtstreeks met uw werkgever."
22,Wat is prenatale diagnostiek?,Prenatale diagnostiek is onderzoek tijdens de zwangerschap naar mogelijke aangeboren afwijkingen bij de ongeboren baby.,"Het verlies van uw kind, tijdens de zwangerschap of rond de bevalling --- Zwangerschapsafbreking na prenatale diagnostiek --- Prenatale diagnostiek is onderzoek tijdens de zwangerschap naar mogelijke aangeboren afwijkingen bij de ongeboren baby. Ouders die de moeilijke beslissing hebben genomen om de zwangerschap af te breken door een aandoening of afwijking van hun ongeboren baby, verliezen daarmee een gewenst kind. Het verdriet en de verwerking van het verlies zijn vergelijkbaar met dat van ouders van wie de baby ‘spontaan’ levenloos geboren wordt of kort na de bevalling overlijdt. Daarom wordt in deze folder geen verschil gemaakt tussen deze situaties."
23,Wanneer moet ik contact opnemen met het ziekenhuis na een anale fissuur ingreep?,"Als er problemen zijn op de eerste avond of nacht na de ingreep, kunt u bellen naar de afdeling spoedeisende hulp van het ziekenhuis. Telefoonnummer: 088 708 78 78.","Anale fissuur --- Wanneer contact opnemen met het ziekenhuis? --- Als er zich de eerste avond of nacht na de ingreep problemen voordoen, dan kunt u bellen naar het ziekenhuis en vragen naar de afdeling spoedeisende hulp. Telefoonnummer: 088 708 78 78. Heeft u de volgende ochtend na de ingreep problemen, dan belt u naar de polikliniek chirurgie. De polikliniek chirurgie is telefonisch bereikbaar van maandag tot en met vrijdag van 08.30- 12.30 en van 13.00 - 16.30 uur, telefoonnummer 088 708 52 31."
24,Hoe kan ik contact opnemen met de ZGT polikliniek preoperatieve screening en anesthesie?,U kunt bellen naar 088 708 53 96 tussen 8.30-12.00 uur en 13.00-16.30 uur.,"Anesthesie, jongeren (POS) --- Vragen --- Mocht u nog vragen hebben na het lezen van deze folder. Neem gerust contact op met ZGT polikliniek preoperatieve screening en anesthesie. Je kan bellen op maandag t/m vrijdag van 8.30-12.00 uur en van 13.00 tot 16.30 uur via telefoonnummer 088 708 53 96. Het is handig om je vragen op te schrijven. Heb je vragen voor de opnameplanning dan kan je bellen met de afdeling opnameplanning, telefoonnummer 088 708 42 28."
25,Wat is het telefoonnummer van de afdeling radiologie?,Het telefoonnummer van de afdeling radiologie is 088 708 37 00.,"Echografie, armen _ benen (spieren & gewrichten) --- Afzeggen van het onderzoek --- Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat."
26,Wat moet ik doen als ik vragen of complicaties heb?,U kunt tijdens kantooruren contact opnemen met het secretariaat heelkunde van ZGT op telefoonnummer 088 708 52 33.,"Gebroken heup --- Vragen --- Bij vragen of complicaties kunt u tot twee weken na opname tijdens kantooruren contact opnemen met het secretariaat heelkunde van ZGT, telefoonnummer 088 708 52 33. Na twee weken kunt u contact opnemen met de huisartsenpost. Bij zeer dringende gevallen, welke echt niet kunnen wachten tot de volgende dag, kunt u buiten kantoortijd contact opnemen met ZGT, telefoonnummer 088 708 78 78."
27,Wat is het emailadres van de Vereniging aangeboren heupafwijkingen?,Het emailadres van de Vereniging aangeboren heupafwijkingen is info@heupafwijkingen.nl.,Congenitale heupdysplasie --- Informatie --- Vereniging aangeboren heupafwijkingen Oudstraat 2 3404 HC IJSSELSTEIN heupafwijkingen.nl e-mail: info@heupafwijkingen.nl maxi-cosi.nl/nl-nl/service/heupdysplasie- service.aspx
28,Wat moet ik doen als ik mijn baby onvoldoende voel bewegen?,U dient contact op te nemen als u uw baby onvoldoende voelt bewegen.,"(Langdurig) gebroken vliezen --- Contact opnemen --- Wij vragen u contact op te nemen als: 
- Uw temperatuur hoger dan 37,8o C is; 
- Uw vliezen breken vóór uw 37e zwangerschapsweek; 
- Uw vliezen breken wanneer u om medische reden in het ziekenhuis moet bevallen; 
- Uw vruchtwater niet helder is; 
- U zich ziek of niet lekker voelt; 
- U uw baby onvoldoende voelt bewegen; 
- Bij de laatste controle het hoofdje niet was ingedaald."
30,Hoe kan ik mijn vragen het beste voorbereiden?,Het is handig om je vragen op te schrijven voordat je contact opneemt.,"Anesthesie, jongeren (POS) --- Vragen --- Mocht u nog vragen hebben na het lezen van deze folder. Neem gerust contact op met ZGT polikliniek preoperatieve screening en anesthesie. Je kan bellen op maandag t/m vrijdag van 8.30-12.00 uur en van 13.00 tot 16.30 uur via telefoonnummer 088 708 53 96. Het is handig om je vragen op te schrijven. Heb je vragen voor de opnameplanning dan kan je bellen met de afdeling opnameplanning, telefoonnummer 088 708 42 28."
32,Welke afdeling in ziekenhuislocatie Almelo is verantwoordelijk voor coloscopie bij kinderen?,De verpleegafdeling kindergeneeskunde is verantwoordelijk voor coloscopie bij kinderen in ziekenhuislocatie Almelo.,Coloscopie bij kinderen --- Verpleegafdeling kindergeneeskunde --- Ziekenhuislocatie Almelo Telefoonnummer 088 708 44 50
33,Wanneer vindt de Droge Bed Training plaats?,De Droge Bed Training vindt plaats op _____dag __-__-__ om 16.00 uur.,"Continentiepolikliniek, klinische opname droge bed training --- Klinische droge bed training --- Hallo_________________ , Omdat je mee gaat doen aan de Droge Bed Training van _______________ ben je _______dag __-__-__ om 16.00 uur welkom op de continentiepolikliniek van ZGT ziekenhuislocatie Hengelo. Routenummer 0.11 op de polikliniek kindergeneeskunde. Je maakt dan kennis met de kinderen die de training ook gaan volgen. Jij en je ouder(s) krijgen uitleg over de training, en je ontvangt het droge bed boek. Natuurlijk kun je ook vragen stellen. Dit alles duurt ongeveer een uur."
34,Wat zijn de gevolgen als ik de afspraak niet op tijd afzeg?,"Als u de afspraak niet op tijd afzegt, kan dit leiden tot verloren tijd voor het onderzoek.","Echografie, armen _ benen (spieren & gewrichten) --- Afzeggen van het onderzoek --- Mocht u om wat voor reden dan ook de afspraak niet kunnen nakomen, dan verzoeken wij u dit zo snel mogelijk te melden aan de afdeling radiologie via telefoonnummer 088 708 37 00, zodat de onderzoek tijd niet verloren gaat."
35,Hoeveel tijd heb ik om contact op te nemen met het secretariaat heelkunde van ZGT na opname?,Tot twee weken na opname tijdens kantooruren.,"Gebroken heup --- Vragen --- Bij vragen of complicaties kunt u tot twee weken na opname tijdens kantooruren contact opnemen met het secretariaat heelkunde van ZGT, telefoonnummer 088 708 52 33. Na twee weken kunt u contact opnemen met de huisartsenpost. Bij zeer dringende gevallen, welke echt niet kunnen wachten tot de volgende dag, kunt u buiten kantoortijd contact opnemen met ZGT, telefoonnummer 088 708 78 78."
37,Waar moet ik naartoe bellen als ik koorts krijg?,"Als u koorts krijgt (38,5°C of hoger), neem dan contact op met het secretariaat urologie tijdens kantooruren op Ziekenhuislocatie Almelo of Hengelo.","Inbrengen dubbel JJ --- Neem contact op indien --- - U koorts krijgt (38,5°C of hoger). 
- Toename van pijn. 
- Urine verandert van kleur (roder wordt) Tijdens kantooruren kunt u contact opnemen met het secretariaat urologie: 
- Ziekenhuislocatie Almelo, telefoonnummer 088 708 33 60. 
- Ziekenhuislocatie Hengelo, telefoonnummer 088 708 52 60. Buiten kantoortijden kunt u (bij deze klachten of andere klachten die niet kunnen wachten tot de volgende werkdag) contact opnemen met de afdeling spoedeisende hulp van ZGT: telefoonnummer 088 708 78 78."
38,Hoe kan ik contact opnemen met de ambtelijk secretaris van de klachtenonderzoekscommissie van Ziekenhuizen Oost-Nederland?,U kunt de ambtelijk secretaris van de klachtenonderzoekscommissie van Ziekenhuizen Oost-Nederland bereiken via telefoonnummer 06 45311217.,"Klachtenonderzoekscommissie Ziekenhuizen Oost-Nederland (folder) --- Adressen Klachtenonderzoekscommissie --- Ziekenhuizen Oost-Nederland 
- Klachtenonderzoekscommissie Ziekenhuizen Oost-Nederland Postbus 7600, 7600 SZ Almelo De ambtelijk secretaris van de klachtenonderzoekscommissie is te bereiken via telefoonnummer 06 45311217. Klachtenbemiddeling ZGT 
- Klachtenbemiddeling ZGT Postbus 7600, 7600 SZ Almelo De klachtenbemiddelaars zijn bereikbaar via telefoonnummer 06 45311217. Klachtencommissie Wvggz 
- Secretariaat klachten Wvggz Postbus 7600, 7600 SZ Almelo Het secretariaat t.b.v. Wvggz-klachten is te bereiken via telefoonnummer 06 45311217."
39,Wat zijn de richtlijnen voor de opvang van patiënten met licht traumatisch hersenletsel?,"De richtlijn 'Opvang van patiënten met licht traumatisch hersenletsel' schrijft voor dat in geval van nood de spoedeisende hulp gebeld moet worden, en indien nodig het landelijke alarmnummer 112.","Licht traumatisch hersenletsel (LTH) bij kinderen tot en met 5 jaar --- Wie kunt u bellen? --- In geval van nood kunt u bellen met de spoedeisende hulp 088 708 53 55. Is de nood erg hoog, dan kunt u het landelijke alarmnummer 112 bellen. Deze adviestekst voor schriftelijke patiëntinformatie voldoet aan de richtlijn ‘Opvang van patiënten met licht traumatisch hoofd-hersenletsel (LTH)’, welke op initiatief van de Nederlandse Vereniging voor Neurologie is opgesteld door de richtlijnwerkgroep LTH in samenwerking met het kwaliteitsinstituut voor de gezondheidszorg CBO en de Hersenstichting."
40,Waar kan ik meer informatie vinden over ZGT?,U kunt meer informatie vinden over ZGT op zgt.nl.,"Littekens --- Vragen --- Heeft u naar aanleiding van deze folder vragen, neem dan contact op met ZGT via zgt.nl of via telefoonnummer 088 708 52 45"
41,Op welke dagen is De Meerlingentelefoon niet bereikbaar?,"De Meerlingentelefoon is niet bereikbaar op vrijdag, zaterdag en zondag.",Meerlingzwangerschap --- De Meerlingentelefoon --- Telefoonnummer: 088 633 75 46 Bereikbaar op maandag tot en met donderdag van 09.00 tot 17.00 uur
43,Wat te doen als u na de operatie thuis nog vragen heeft?,"Als u na de operatie thuis nog vragen heeft of problemen ondervindt, neem dan contact op met het ziekenhuis.","Schildklieroperatie --- Vragen --- Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32."
44,Wat is de functie van het vruchtwater?,"De functie van het vruchtwater is om onder andere de groei en beweging van de baby mogelijk te maken, maar ook adembewegingen, drinken en slikken.","(Langdurig) gebroken vliezen --- De functie van het vruchtwater --- Het vruchtwater maakt onder andere groei en beweging mogelijk van de baby, net zoals adembewegingen, drinken en slikken. Als de vliezen zijn gebroken, is er minder vruchtwater aanwezig."
45,Hoe vaak moet ik mijn pasgeboren baby voeden?,"Pasgeboren baby's moeten ongeveer om de twee à drie uur gevoed worden, wat neerkomt op ongeveer 7 tot 8 keer per etmaal.","Borstvoeding --- Voeden op verzoek --- De meeste pasgeboren baby’s vragen om de twee à drie uur om een voeding. Op verzoek voeden betekent de eerste weken minimaal zeven tot acht voedingen per etmaal. Het is belangrijk dat u geen limiet stelt aan het voeden. De baby mag zo vaak en zo lang effectief drinken als het maar wil. Omdat ZGT gezinsgerichte zorg aanbiedt, werken we volgens het principe ‘rooming-in’, dat wil zeggen dat uw baby dag en nacht bij u op de kamer staat, zodat u uw baby goed kunt observeren en in kunt spelen op de behoefte van uw baby. Uw baby geeft zelf aan wanneer het honger heeft. Dit merkt u doordat uw baby wakker is, op de vuistjes sabbelt of andere mondbewegingen maakt. U kunt dan altijd laten drinken. Bij borstvoeding geldt een minimumaantal voedingen, maar géén maximum. Als de melkproductie goed op gang is, ontstaat er geleidelijk een bepaalde regelmaat (regelmaat is niet altijd een ritme) in de voedingstijden. Het is normaal dat uw baby de eerste maanden 's nachts niet doorslaapt."
46,Wat voor hulp kan de lactatiekundige bieden bij problemen met borstvoeding?,"De lactatiekundige kan helpen bij problemen met borstvoeding. Informeer hiernaar bij uw kraamzorginstelling, verloskundige of ziekenhuis.","Borstvoeding --- Wat te doen bij problemen --- Bij problemen kan de lactatiekundige hulp bieden. Informeer hiernaar bij uw kraamzorginstelling, verloskundige of ziekenhuis."
47,Wat zijn de voordelen van het geven van de fles in zijligging?,"Het geven van de fles in zijligging heeft verschillende voordelen, zoals de voeding die minder snel door de zwaartekracht loopt, de baby die gemakkelijker kan ademen, de coördinatie van zuigen, slikken en ademen die gemakkelijker verloopt en de baby die minder snel verslikt.","Leren drinken --- Het geven van de fles in zijligging --- In zijligging drinken is een natuurlijke houding (te vergelijken met het drinken aan de borst) met veel voordelen ten opzichte van drinken in rugligging. 
- De voeding loopt door een andere uitwerking van de zwaartekracht minder snel; 
- De baby kan gemakkelijker ademen; 
- De coördinatie van het zuigen, slikken en ademen verloopt gemakkelijker; 
- De baby verslikt zich minder snel. Belangrijk is dat de baby in een ronde houding ligt, met de schouders naar voren (foetushouding). Het hoofd ligt hoger dan de billen. Voor deze houding kunt u gebruik maken van een voedingskussen en/of een voetenbank."
48,Hoe worden de resultaten van het onderzoek besproken tijdens het nagesprek?,"De resultaten van het onderzoek worden gerelateerd aan uw klachten, dagelijks functioneren en eventueel aan uw levensgeschiedenis (bij kinderen ontwikkelingsgeschiedenis).","Afdeling medische psychologie --- Het nagesprek --- In het nagesprek worden de resultaten van het onderzoek met u besproken. De resultaten van het testonderzoek worden gerelateerd aan uw klachten, dagelijks functioneren en eventueel aan uw levensgeschiedenis (bij kinderen ontwikkelingsgeschiedenis). Het nagesprek voert u alleen of, in overleg, in aanwezigheid met anderen. Voor kinderen geldt dat tot 12 jaar uw kind niet bij het nagesprek aanwezig is. Is uw kind 12 jaar of ouder dan gebeurt dit in overleg. Vanaf 16 jaar mag uw kind beslissen of u bij het nagesprek aanwezig bent. Soms geeft de duidelijkheid over de oorzaak van de klachten voldoende aangrijpingspunten en is verdere behandeling niet nodig. De psycholoog kan u eventueel adviezen geven hoe u het beste om kunt gaan met de situatie. Vaak volstaan adviezen niet en is verdere behandeling nodig. Afhankelijk van de aard en ernst van de problematiek kan de behandeling vervolgd worden op de afdeling medische psychologie of zal de psycholoog u een voorstel doen voor verwijzing."
