,topic_id,filename,header,section_text,Question,Answer
108,0.0,Klachtenonderzoekscommissie Ziekenhuizen Oost-Nederland (folder),Adressen Klachtenonderzoekscommissie,"Ziekenhuizen Oost-Nederland 
- Klachtenonderzoekscommissie Ziekenhuizen Oost-Nederland Postbus 7600, 7600 SZ Almelo De ambtelijk secretaris van de klachtenonderzoekscommissie is te bereiken via telefoonnummer 06 45311217. Klachtenbemiddeling ZGT 
- Klachtenbemiddeling ZGT Postbus 7600, 7600 SZ Almelo De klachtenbemiddelaars zijn bereikbaar via telefoonnummer 06 45311217. Klachtencommissie Wvggz 
- Secretariaat klachten Wvggz Postbus 7600, 7600 SZ Almelo Het secretariaat t.b.v. Wvggz-klachten is te bereiken via telefoonnummer 06 45311217.",Hoe kan ik contact opnemen met de ambtelijk secretaris van de klachtenonderzoekscommissie van Ziekenhuizen Oost-Nederland?,U kunt de ambtelijk secretaris van de klachtenonderzoekscommissie van Ziekenhuizen Oost-Nederland bereiken via telefoonnummer 06 45311217.
120,0.0,Licht traumatisch hersenletsel (LTH) bij kinderen tot en met 5 jaar,Wie kunt u bellen?,"In geval van nood kunt u bellen met de spoedeisende hulp 088 708 53 55. Is de nood erg hoog, dan kunt u het landelijke alarmnummer 112 bellen. Deze adviestekst voor schriftelijke patiëntinformatie voldoet aan de richtlijn ‘Opvang van patiënten met licht traumatisch hoofd-hersenletsel (LTH)’, welke op initiatief van de Nederlandse Vereniging voor Neurologie is opgesteld door de richtlijnwerkgroep LTH in samenwerking met het kwaliteitsinstituut voor de gezondheidszorg CBO en de Hersenstichting.",Wat zijn de richtlijnen voor de opvang van patiënten met licht traumatisch hersenletsel?,"De richtlijn 'Opvang van patiënten met licht traumatisch hersenletsel' schrijft voor dat in geval van nood de spoedeisende hulp gebeld moet worden, en indien nodig het landelijke alarmnummer 112."
114,0.0,Littekens,Vragen,"Heeft u naar aanleiding van deze folder vragen, neem dan contact op met ZGT via zgt.nl of via telefoonnummer 088 708 52 45",Waar kan ik meer informatie vinden over ZGT?,U kunt meer informatie vinden over ZGT op zgt.nl.
101,0.0,Meerlingzwangerschap,De Meerlingentelefoon,Telefoonnummer: 088 633 75 46 Bereikbaar op maandag tot en met donderdag van 09.00 tot 17.00 uur,Op welke dagen is De Meerlingentelefoon niet bereikbaar?,"De Meerlingentelefoon is niet bereikbaar op vrijdag, zaterdag en zondag."
117,0.0,Patiëntenportaal verloskunde,Contact,"Heeft u vragen over het gebruiken van het patiëntenportaal MijnZGT? Neem dan contact op met MijnZGT op telefoonnummer 088 708 8186. Bij spoed of bij vragen over verzekeringen, neem telefonisch contact op met de polikliniek verloskunde op telefoonnummer 088 708 44 16",Welk telefoonnummer moet ik bellen in geval van spoed of vragen over verzekeringen?,Bij spoed en vragen over verzekeringen kunt u bellen naar het nummer: 123456789.
243,0.0,Schildklieroperatie,Vragen,"Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32.",Wat te doen als u na de operatie thuis nog vragen heeft?,"Als u na de operatie thuis nog vragen heeft of problemen ondervindt, neem dan contact op met het ziekenhuis."
12,12.0,(Langdurig) gebroken vliezen,De functie van het vruchtwater,"Het vruchtwater maakt onder andere groei en beweging mogelijk van de baby, net zoals adembewegingen, drinken en slikken. Als de vliezen zijn gebroken, is er minder vruchtwater aanwezig.",Wat is de functie van het vruchtwater?,"De functie van het vruchtwater is om onder andere de groei en beweging van de baby mogelijk te maken, maar ook adembewegingen, drinken en slikken."
189,12.0,Borstvoeding,Voeden op verzoek,"De meeste pasgeboren baby’s vragen om de twee à drie uur om een voeding. Op verzoek voeden betekent de eerste weken minimaal zeven tot acht voedingen per etmaal. Het is belangrijk dat u geen limiet stelt aan het voeden. De baby mag zo vaak en zo lang effectief drinken als het maar wil. Omdat ZGT gezinsgerichte zorg aanbiedt, werken we volgens het principe ‘rooming-in’, dat wil zeggen dat uw baby dag en nacht bij u op de kamer staat, zodat u uw baby goed kunt observeren en in kunt spelen op de behoefte van uw baby. Uw baby geeft zelf aan wanneer het honger heeft. Dit merkt u doordat uw baby wakker is, op de vuistjes sabbelt of andere mondbewegingen maakt. U kunt dan altijd laten drinken. Bij borstvoeding geldt een minimumaantal voedingen, maar géén maximum. Als de melkproductie goed op gang is, ontstaat er geleidelijk een bepaalde regelmaat (regelmaat is niet altijd een ritme) in de voedingstijden. Het is normaal dat uw baby de eerste maanden 's nachts niet doorslaapt.",Hoe vaak moet ik mijn pasgeboren baby voeden?,"Pasgeboren baby's moeten ongeveer om de twee à drie uur gevoed worden, wat neerkomt op ongeveer 7 tot 8 keer per etmaal."
185,12.0,Borstvoeding,Wat te doen bij problemen,"Bij problemen kan de lactatiekundige hulp bieden. Informeer hiernaar bij uw kraamzorginstelling, verloskundige of ziekenhuis.",Wat voor hulp kan de lactatiekundige bieden bij problemen met borstvoeding?,"De lactatiekundige kan helpen bij problemen met borstvoeding. Informeer hiernaar bij uw kraamzorginstelling, verloskundige of ziekenhuis."
187,12.0,Leren drinken,Het geven van de fles in zijligging,"In zijligging drinken is een natuurlijke houding (te vergelijken met het drinken aan de borst) met veel voordelen ten opzichte van drinken in rugligging. 
- De voeding loopt door een andere uitwerking van de zwaartekracht minder snel; 
- De baby kan gemakkelijker ademen; 
- De coördinatie van het zuigen, slikken en ademen verloopt gemakkelijker; 
- De baby verslikt zich minder snel. Belangrijk is dat de baby in een ronde houding ligt, met de schouders naar voren (foetushouding). Het hoofd ligt hoger dan de billen. Voor deze houding kunt u gebruik maken van een voedingskussen en/of een voetenbank.",Wat zijn de voordelen van het geven van de fles in zijligging?,"Het geven van de fles in zijligging heeft verschillende voordelen, zoals de voeding die minder snel door de zwaartekracht loopt, de baby die gemakkelijker kan ademen, de coördinatie van zuigen, slikken en ademen die gemakkelijker verloopt en de baby die minder snel verslikt."
65,2.0,Afdeling medische psychologie,Het nagesprek,"In het nagesprek worden de resultaten van het onderzoek met u besproken. De resultaten van het testonderzoek worden gerelateerd aan uw klachten, dagelijks functioneren en eventueel aan uw levensgeschiedenis (bij kinderen ontwikkelingsgeschiedenis). Het nagesprek voert u alleen of, in overleg, in aanwezigheid met anderen. Voor kinderen geldt dat tot 12 jaar uw kind niet bij het nagesprek aanwezig is. Is uw kind 12 jaar of ouder dan gebeurt dit in overleg. Vanaf 16 jaar mag uw kind beslissen of u bij het nagesprek aanwezig bent. Soms geeft de duidelijkheid over de oorzaak van de klachten voldoende aangrijpingspunten en is verdere behandeling niet nodig. De psycholoog kan u eventueel adviezen geven hoe u het beste om kunt gaan met de situatie. Vaak volstaan adviezen niet en is verdere behandeling nodig. Afhankelijk van de aard en ernst van de problematiek kan de behandeling vervolgd worden op de afdeling medische psychologie of zal de psycholoog u een voorstel doen voor verwijzing.",Hoe worden de resultaten van het onderzoek besproken tijdens het nagesprek?,"De resultaten van het onderzoek worden gerelateerd aan uw klachten, dagelijks functioneren en eventueel aan uw levensgeschiedenis (bij kinderen ontwikkelingsgeschiedenis)."
143,2.0,Blindedarm kind,Na de ingreep,"Na de operatie heeft uw kind een infuus. Vooral de eerste dag heeft uw kind pijn in de buik. Uw kind krijgt standaard, tijdens de eerste 48 uur, medicijnen tegen de pijn. Meestal in de vorm van zetpillen. Daarna wordt alleen pijnbestrijding gegeven als het nodig is. Meteen na de operatie krijgt uw kind drinken (water, ranja of appelsap). Als dit goed gaat, krijgt uw kind ook licht verteerbaar voedsel. De dag na de operatie kan uw kind meestal weer gewoon eten. Na enkele dagen beginnen de darmen ‘weer op gang te komen’. Dit kan zorgen voor wat buikpijn. De verpleegkundige controleert de wond regelmatig. Zo gauw uw kind zich daartoe in staat voelt, mag het even uit bed. Zorg in elk geval voor gemakkelijk zittende kleding. Of uw kind de dag na de operatie naar huis mag, ligt aan hoe de operatie is gegaan. Na twee dagen mag uw kind weer onder de douche. Als de wond droog is hoeft er geen nieuwe pleister meer op. Wanneer uw kind een doorgebroken (geperforceerde) blindedarmontsteking had, moet uw kind na de operatie langer blijven. Uw kind krijgt dan een aantal dagen antibiotica per infuus. Hoeveel dagen dit zijn ligt aan de ernst van de ontsteking. Het eten en drinken wordt dan langzaam opgebouwd.",Wanneer kan mijn kind weer gewoon eten na de operatie?,De dag na de operatie kan uw kind meestal weer gewoon eten.
135,2.0,"Continentiepolikliniek, obstipatie bij kinderen met blaasproblemen",Lichaamshygiëne,"Als uw kind geïrriteerde billen heeft, kan de ontlasting pijn veroorzaken. Uw kind zal de ontlasting ophouden om de pijn te voorkomen. Ook dit kan tot obstipatie leiden. Zorg er daarom voor dat de irritatie zo snel mogelijk minder wordt. Dit doet u door de huid schoon te houden met water. Gebruik liever geen zeep of geparfumeerde tissues, omdat deze de huid uitdrogen en een droge huid is kwetsbaarder. Verder is het van belang dat uw kind geen broeierige kleding draagt, zoals kleding van nylon.",Wat kan leiden tot obstipatie bij kinderen met blaasproblemen?,Geïrriteerde billen kunnen er voor zorgen dat kinderen de ontlasting ophouden om pijn te voorkomen wat uiteindelijk tot obstipatie kan leiden.
128,2.0,Patiëntenrechten kinderen,Inzage in het medisch dossier ,"Een jongere kan zelf inzage in zijn medisch dossier vragen. Hij heeft daarvoor geen toestemming van zijn ouders nodig. Hij kan ook een kopie van het dossier of een gedeelte daarvan krijgen. De ouders hebben geen recht dit dossier in te zien, tenzij hun kind met inzage door zijn ouders instemt.",Kan een jongere zelf inzage vragen in zijn medisch dossier?,"Ja, een jongere kan zelf inzage vragen in zijn medisch dossier zonder toestemming van zijn ouders."
133,2.0,"Schisis, lipsluiting",Voorbereidingen thuis,"- Geef volgens afspraak de laatste voeding; 
- Geef uw kind volgens afspraak de eerste paracetamol zetpil; 
- Wilt u uw kind in bad doen; 
- Wilt u uw kind schone, gemakkelijk zittende kleding aandoen.","Wat zijn de voorbereidingen thuis die gedaan moeten worden voor de schisis, lipsluiting?","Thuis moeten de volgende voorbereidingen gedaan worden voor de schisis, lipsluiting: - De laatste voeding geven volgens afspraak; - De eerste paracetamol zetpil geven aan uw kind volgens afspraak; - Uw kind in bad doen; - Uw kind schone, gemakkelijk zittende kleding aandoen."
130,2.0,"Ventolin, afbouwschema na ziekenhuisopname","Ventolin, afbouwschema na ziekenhuisopname",Uw kind is opgenomen vanwege een astma aanval. Tijdens deze opname is uw kind verneveld met medicatie. Het medicijn Ventolin is vaak toegediend. In deze folder staat hoe u dit weer af kunt bouwen naar de normale dosering zonder dat de benauwdheid opnieuw toeneemt.,Wat is het medicijn dat vaak is toegediend tijdens de opname van mijn kind?,Het medicijn dat vaak is toegediend tijdens de opname van uw kind is Ventolin.
132,2.0,Video Interactie Begeleiding (VIB) bij kinderen,Voor wie is Video Interactie Begeleiding bedoeld?,"Video Interactie Begeleiding wordt onder andere toegepast wanneer: 
- U of uw kind verpleegkundige handelingen verricht; 
- Uw kind ernstig en/of langdurig ziek is; 
- Uw kind moeite heeft met eten, spelen of slapen; 
- Uw kind zindelijkheidsproblemen heeft.",Welke soorten problemen kunnen met Video Interactie Begeleiding behandeld worden?,"Video Interactie Begeleiding kan onder andere toegepast worden bij verpleegkundige handelingen, ernstige en/of langdurige ziekten, moeite met eten, spelen of slapen, en zindelijkheidsproblemen."
125,2.0,Video interactie begeleiding (VIB) op de afdeling geboorte,Hoe wordt er met privacy omgegaan?,De video-opnamen worden alleen met schriftelijke toestemming van ouders/verzorgers aan derden getoond. Binnen ZGT blijft zonder toestemming geen enkele video opname bewaard.,Kan ik als ouder/verzorger toestemming geven voor het tonen van video-opnamen aan derden?,"Ja, video-opnamen worden alleen met schriftelijke toestemming van ouders/verzorgers aan derden getoond."
33,21.0,(Langdurig) gebroken vliezen,Check uw dossier op MijnZGT,"MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt.",Hoe kunt u uw medisch dossier inzien op MijnZGT?,"U kunt uw medisch dossier inzien via uw computer, tablet of mobiel op MijnZGT."
196,21.0,Patiëntenportaal gynaecologie,Patiëntenportaal gynaecologie Wat kan MijnZGT voor u betekenen?,"ZGT vindt het belangrijk dat het contact tussen het ziekenhuis en de patiënt zo toegankelijk mogelijk is. ZGT biedt u dan ook de mogelijkheid om via het patiëntenportaal MijnZGT online uw patiëntgegevens te controleren, (vervolg)afspraken te maken en bijvoorbeeld een vragenformulier in te vullen. Dit zijn de eerste stappen waarmee ZGT uw aandeel in het online regelen van uw zorg vergroot. Het patiëntenportaal maakt gebruik van een beveiligde verbinding.",Maakt het patiëntenportaal MijnZGT gebruik van een beveiligde verbinding?,"Ja, het patiëntenportaal MijnZGT maakt gebruik van een beveiligde verbinding."
197,21.0,"Patiëntenportaal, polikliniek dermatologie",Inloggen,"Ga naar zgt.nl en klik daar op MijnZGT. Om in te loggen op het patiëntenportaal vragen we naar uw DigiD. Heeft u nog geen DigiD, dan kunt u via de website digid.nl uw eigen DigiD aanvragen. Met uw persoonlijke DigiD (een gebruikersnaam en wachtwoord) kunt u zich identificeren op websites van de overheid en van organisaties die een overheidstaak uitvoeren. Zo weten deze organisaties dat ze echt met u te maken hebben. Zodra u bent ingelogd in het patiëntenportaal MijnZGT, kunt u via het menu aan de linkerkant van de pagina verschillende acties uitvoeren.",Waar kan ik inloggen op het patiëntenportaal van de polikliniek dermatologie?,U kunt inloggen op het patiëntenportaal van de polikliniek dermatologie door naar zgt.nl te gaan en daar te klikken op MijnZGT. Daar vraagt men u om in te loggen met uw DigiD.
80,26.0,(Langdurig) gebroken vliezen,Vragen,"Mocht u na het lezen van deze folder nog vragen hebben, uw gynaecoloog, verloskundige, verpleegkundige of huisarts is altijd bereid ze te beantwoorden.","Kan ik mijn gynaecoloog, verloskundige, verpleegkundige of huisarts altijd bereiken als ik vragen heb?","Ja, uw medische professionals staan altijd klaar om uw vragen te beantwoorden."
200,26.0,Strikte isolatie,Vragen,Heeft u nog vragen over dit onderwerp stel ze gerust aan uw behandelend arts en de verpleegkundigen van de afdeling. Zij nemen zo nodig contact op met de deskundige infectiepreventie.,Wie neemt contact op met de deskundige infectiepreventie?,Uw behandelend arts en de verpleegkundigen van de afdeling zullen zo nodig contact opnemen met de deskundige infectiepreventie.
75,27.0,Actigrafie bij kinderen,Waarom krijgt uw kind dit onderzoek?,In de leeftijd van 0-18 jaar komen bij ongeveer een derde van de kinderen slaapproblemen voor. Deze problemen kunnen door actigrafie objectief worden vastgelegd. De Motionwatch® moet zeven tot veertien dagen gedragen worden en houdt de dagelijkse bewegingen van uw kind bij. Dit geeft inzicht in welke tijden uw kind slaapt en wakker is en kan helpen bij het stellen van een diagnose.,Wat is actigrafie en hoe kan het helpen bij het diagnosticeren van slaapproblemen bij kinderen?,Actigrafie is een onderzoek waarbij de dagelijkse bewegingen van een kind worden gemeten met behulp van een Motionwatch®. Dit kan helpen bij het vaststellen van tijden waarop het kind slaapt en wakker is en kan helpen bij het diagnosticeren van slaapproblemen.
201,27.0,Polysomnografie met MSLT bij kinderen,Wat is polysomnografie met aansluitend MSLT?,"Polysomnografie is een onderzoek naar mogelijke problemen tijdens de slaap. Wij zoeken naar de mogelijke oorzaken van stoornissen in het slaappatroon van uw kind. Hierbij kijken we naar het slaappatroon (ook overdag), ademhaling, hartritme en beenbewegingen. Het doel van een MSLT is het meten van overmatige slaperigheid overdag. Wij nemen voor dit onderzoek uw kind een nacht en een dag op, op de afdeling voor slaaponderzoeken (route 3.14) van ZGT locatie Hengelo. In het belang van het onderzoek is het wenselijk dat uw kind slechts door één persoon wordt begeleid.",Wat is het doel van een MSLT?,Het doel van een MSLT is het meten van overmatige slaperigheid overdag.
53,28.0,Afdelingsfolder Eerste Hart Hulp,Eerste Hart Hulp (EHH),"Wanneer er een vermoeden is dat uw klachten worden veroorzaakt door uw hart, wordt u doorverwezen naar de Eerste Hart Hulp. In deze folder leest u meer informatie over de Eerste Hart Hulp en de onderzoeken. ZGT Almelo heeft een eerste harthulp en een hartbewaking.",Wat is de functie van de Eerste Hart Hulp (EHH) bij ZGT Almelo?,De Eerste Hart Hulp (EHH) bij ZGT Almelo is bedoeld voor patiënten met een vermoeden van hartklachten.
208,28.0,Fast-Track polikliniek atriumfibrilleren,Onderzoeken,"De onderzoeken die we bij u op die dag uitvoeren: 
- Een lichamelijk onderzoek door de medisch specialist of verpleegkundig specialist cardiologie. 
- Een ECG: een hartfilmpje waarbij we de prikkelgeleiding in het hart beoordelen. 
- Een hartecho: een geluidsonderzoek van het hart, waarbij we de hartspier, de kleppen en de grote bloedvaten afbeelden en de functie daarvan beoordelen. Van tevoren laat u een bloedonderzoek doen en eventueel een thoraxfoto (beelden van uw longen) wordt gemaakt.",Wat is de functie van een ECG?,Een ECG is een hartfilmpje waarbij de prikkelgeleiding in het hart beoordeeld wordt.
25,3.0,Activiteitentherapie,Activiteitentherapie,"Een ziekenhuisopname is meestal geen prettige tijd. U kunt last hebben van lichamelijke klachten en beperkingen, pijn, problemen met uw geheugen en concentratie en/of verminderde stemming. Het is belangrijk om wel actief te blijven tijdens uw opname. Wanneer u niet actief bent, kan dit ervoor zorgen dat uw lichamelijke of geestelijke gezondheid vermindert en u uw zelfstandigheid (deels) verliest. Het kan er ook voor zorgen dat u opnieuw in het ziekenhuis moet worden opgenomen. Uw zorgprofessional heeft u daarom aangemeld voor activiteitentherapie. Activiteitentherapie helpt u om fysiek en mentaal (geestelijk) actief te blijven door verschillende activiteiten aan te bieden. Voorbeelden hiervan zijn: bewegen, denkopdrachten, muziek, creativiteit en ontspanningsoefeningen. Hierbij kunnen we digitale hulpmiddelen inzetten. Deze activiteiten doet u alleen met een activiteitentherapeut, of in een groep.",Wat is activiteitentherapie?,Activiteitentherapie is een vorm van therapie die helpt om fysiek en mentaal actief te blijven tijdens een ziekenhuisopname.
155,3.0,Afdelingsfolder Eerste Hart Hulp,Hoofdbehandelaar,Bij opname op de hartbewaking heeft u een cardioloog als hoofdbehandelaar. De hoofdbehandelaar is tijdens uw hele verblijf verantwoordelijk voor de zorg. Op vrijdag wisselt de hoofdbehandelaar. In de avonden en nachten van weekdagen neemt een dienstdoende cardioloog de hoofdbehandelaar waar. De hoofdbehandelaar blijft wel dag en nacht beschikbaar voor overleg. De naam van de hoofdbehandelaar staat op een whiteboard in elke patiëntenkamer.,Wie is de hoofdbehandelaar bij opname op de hartbewaking?,Bij opname op de hartbewaking heeft u een cardioloog als hoofdbehandelaar.
160,3.0,Focale vulvitis,De seksuoloog,"Bij onvoldoende resultaat van bovenstaande behandeling, problemen met het vrijen zonder gemeenschap, psychische problemen hierdoor of problemen in de relatie, kunt u door uw gynaecoloog worden doorverwezen naar de seksuoloog. Het secretariaat van de polikliniek seksuologie is te bereiken via telefoonnummer 088 708 36 20.",Wat doet de seksuoloog?,"De seksuoloog helpt bij problemen met het vrijen zonder gemeenschap, psychische problemen in verband met seks of problemen in de relatie."
164,3.0,Polikliniek klinische geriatrie,Wat is klinische geriatrie?,"Klinische geriatrie is het medisch specialisme voor de (kwetsbare) oudere met verschillende aandoeningen tegelijk. Vaak gaat het om een combinatie van lichamelijke, psychische en sociale problemen. Een geriater gaat na welke klachten bij het normale ouder worden horen en welke niet. Na onderzoek stelt deze een behandeling voor.",Hoe bepaalt een geriater welke klachten bij het normale ouder worden horen?,Dit gebeurt door middel van onderzoek en het vergelijken van de klachten met wat als normaal wordt beschouwd voor ouderen.
146,3.0,"Slokdarmkanker, PIM",6. Oncologische revalidatie,"6.1 Algemeen Veel patiënten met kanker kampen tijdens en na de behandeling met klachten zoals vermoeidheid, conditieverlies, pijn, emotionele instabiliteit en depressie. Revalidatie kan een groot deel van de (ex-) kankerpatiënten helpen om de gevolgen van ziekte en behandelingen boven te komen. In recente Nederlandse studies is aangetoond dat kankerpatiënten met revalidatie een betere kwaliteit van leven hebben dan patiënten die niet revalideren. Afhankelijk van uw situatie en hulpvraag zijn allerlei therapiecombinaties mogelijk, onder meer: 
- Training onder begeleiding van een fysiotherapeut. Zo verbetert u uw conditie en spierkracht. Een trainingsprogramma is vaak een combinatie van kracht en conditietraining. Soms aangevuld met sport en spel. 
- Praten met een psycholoog of maatschappelijk werker is soms een mogelijkheid. Als u psychisch meer weerstand opbouwt, kunt u het dagelijks leven beter aan. Ook als u heel erg vermoeid blijft helpen zij u verder. 
- Een bezoek aan een diëtiste die u voedingstips geeft om weer op krachten te komen. Voor bovenbeschreven therapieën kunt u binnen het ziekenhuis terecht. Als er sprake is van meervoudige en/of complexe problematiek dan is behandeling onder begeleiding van een revalidatiearts nodig. U kunt zowel zelfstandig als in een groep revalideren. Revalideren is mogelijk tijdens de behandeling en daarna. Ook als u niet meer kunt genezen kan revalidatie zin hebben. Revalidatie is er op gericht op klachten tijdens de verschillende fasen van het ziekteproces te voorkomen of te verminderen. In het programma wordt gewerkt aan het opnieuw vertrouwd raken met het eigen lichaam, het ontdekken van bewegingsmogelijkheden, (arbeids)re- integratiemogelijkheden en het verwerken van het ziekteproces, onder andere door lotgenotencontact. Afhankelijk van uw situatie kunt u te maken krijgen met een revalidatiearts, fysiotherapeut, ergotherapeut, psycholoog, maatschappelijk werker en logopedist. Bespreek met uw arts, verpleegkundig specialist of oncologieverpleegkundige waar u klachten van heeft en welke ondersteuning u zou willen. Ze geven u advies en kunnen u verwijzen naar een zorgverlener of revalidatieprogramma. 6.2 Fysieke training - ZGT In het ZGT bestaat de mogelijkheid op individueel niveau of in groepsverband een fysiek trainingsprogramma te volgen met als doel uw lichamelijke conditie te verbeteren. Meer informatie ZGT ziekenhuislocatie Almelo Afdeling fysiotherapie: telefoon 088 708 3210 ZGT ziekenhuislocatie Hengelo Afdeling fysiotherapie: telefoon 088 708 5200",Wat is het doel van revalidatie voor kankerpatiënten?,Het doel van revalidatie is om klachten die tijdens en na de behandeling optreden te verminderen of te voorkomen.
