Question no,Question,Answer_x,Section,Unnamed: 0,topic_id,filename,header,section_text,Fold,Fact,Declined_to_answer_on_train_fold_one,Answer_on_train_fold_one,Declined_to_answer_on_train_fold_two,Answer_on_train_fold_two
35,Hoeveel tijd heb ik om contact op te nemen met het secretariaat heelkunde van ZGT na opname?,Tot twee weken na opname tijdens kantooruren.,"Gebroken heup --- Vragen --- Bij vragen of complicaties kunt u tot twee weken na opname tijdens kantooruren contact opnemen met het secretariaat heelkunde van ZGT, telefoonnummer 088 708 52 33. Na twee weken kunt u contact opnemen met de huisartsenpost. Bij zeer dringende gevallen, welke echt niet kunnen wachten tot de volgende dag, kunt u buiten kantoortijd contact opnemen met ZGT, telefoonnummer 088 708 78 78.",105,0,Gebroken heup,Vragen,"Bij vragen of complicaties kunt u tot twee weken na opname tijdens kantooruren contact opnemen met het secretariaat heelkunde van ZGT, telefoonnummer 088 708 52 33. Na twee weken kunt u contact opnemen met de huisartsenpost. Bij zeer dringende gevallen, welke echt niet kunnen wachten tot de volgende dag, kunt u buiten kantoortijd contact opnemen met ZGT, telefoonnummer 088 708 78 78.",train_fold_one,,,Het secretariaat heelkunde van ZGT is telefonisch bereikbaar van maandag tot en met vrijdag van 08.00 - 16.30 uur op telefoonnummer 088 708 52 31. U kunt het beste contact met hen opnemen door tijdens deze uren te bellen naar dit telefoonnummer.,TRUE,This document does not answer the question
37,Waar moet ik naartoe bellen als ik koorts krijg?,"Als u koorts krijgt (38,5°C of hoger), neem dan contact op met het secretariaat urologie tijdens kantooruren op Ziekenhuislocatie Almelo of Hengelo.","Inbrengen dubbel JJ --- Neem contact op indien --- - U koorts krijgt (38,5°C of hoger). 
- Toename van pijn. 
- Urine verandert van kleur (roder wordt) Tijdens kantooruren kunt u contact opnemen met het secretariaat urologie: 
- Ziekenhuislocatie Almelo, telefoonnummer 088 708 33 60. 
- Ziekenhuislocatie Hengelo, telefoonnummer 088 708 52 60. Buiten kantoortijden kunt u (bij deze klachten of andere klachten die niet kunnen wachten tot de volgende werkdag) contact opnemen met de afdeling spoedeisende hulp van ZGT: telefoonnummer 088 708 78 78.",111,0,Inbrengen dubbel JJ,Neem contact op indien,"- U koorts krijgt (38,5°C of hoger). 
- Toename van pijn. 
- Urine verandert van kleur (roder wordt) Tijdens kantooruren kunt u contact opnemen met het secretariaat urologie: 
- Ziekenhuislocatie Almelo, telefoonnummer 088 708 33 60. 
- Ziekenhuislocatie Hengelo, telefoonnummer 088 708 52 60. Buiten kantoortijden kunt u (bij deze klachten of andere klachten die niet kunnen wachten tot de volgende werkdag) contact opnemen met de afdeling spoedeisende hulp van ZGT: telefoonnummer 088 708 78 78.",train_fold_one,,,088 708 33 60 or 088 708 52 60,,088 708 33 50
38,Hoe kan ik contact opnemen met de ambtelijk secretaris van de klachtenonderzoekscommissie van Ziekenhuizen Oost-Nederland?,U kunt de ambtelijk secretaris van de klachtenonderzoekscommissie van Ziekenhuizen Oost-Nederland bereiken via telefoonnummer 06 45311217.,"Klachtenonderzoekscommissie Ziekenhuizen Oost-Nederland (folder) --- Adressen Klachtenonderzoekscommissie --- Ziekenhuizen Oost-Nederland 
- Klachtenonderzoekscommissie Ziekenhuizen Oost-Nederland Postbus 7600, 7600 SZ Almelo De ambtelijk secretaris van de klachtenonderzoekscommissie is te bereiken via telefoonnummer 06 45311217. Klachtenbemiddeling ZGT 
- Klachtenbemiddeling ZGT Postbus 7600, 7600 SZ Almelo De klachtenbemiddelaars zijn bereikbaar via telefoonnummer 06 45311217. Klachtencommissie Wvggz 
- Secretariaat klachten Wvggz Postbus 7600, 7600 SZ Almelo Het secretariaat t.b.v. Wvggz-klachten is te bereiken via telefoonnummer 06 45311217.",108,0,Klachtenonderzoekscommissie Ziekenhuizen Oost-Nederland (folder),Adressen Klachtenonderzoekscommissie,"Ziekenhuizen Oost-Nederland 
- Klachtenonderzoekscommissie Ziekenhuizen Oost-Nederland Postbus 7600, 7600 SZ Almelo De ambtelijk secretaris van de klachtenonderzoekscommissie is te bereiken via telefoonnummer 06 45311217. Klachtenbemiddeling ZGT 
- Klachtenbemiddeling ZGT Postbus 7600, 7600 SZ Almelo De klachtenbemiddelaars zijn bereikbaar via telefoonnummer 06 45311217. Klachtencommissie Wvggz 
- Secretariaat klachten Wvggz Postbus 7600, 7600 SZ Almelo Het secretariaat t.b.v. Wvggz-klachten is te bereiken via telefoonnummer 06 45311217.",train_fold_one,,,U kunt in contact komen met de ambtelijk secretaris van de klachtenonderzoekscommissie van Ziekenhuizen Oost-Nederland door te bellen naar telefoonnummer 06 45311217. ,TRUE,This document does not answer the question
39,Wat zijn de richtlijnen voor de opvang van patiënten met licht traumatisch hersenletsel?,"De richtlijn 'Opvang van patiënten met licht traumatisch hersenletsel' schrijft voor dat in geval van nood de spoedeisende hulp gebeld moet worden, en indien nodig het landelijke alarmnummer 112.","Licht traumatisch hersenletsel (LTH) bij kinderen tot en met 5 jaar --- Wie kunt u bellen? --- In geval van nood kunt u bellen met de spoedeisende hulp 088 708 53 55. Is de nood erg hoog, dan kunt u het landelijke alarmnummer 112 bellen. Deze adviestekst voor schriftelijke patiëntinformatie voldoet aan de richtlijn ‘Opvang van patiënten met licht traumatisch hoofd-hersenletsel (LTH)’, welke op initiatief van de Nederlandse Vereniging voor Neurologie is opgesteld door de richtlijnwerkgroep LTH in samenwerking met het kwaliteitsinstituut voor de gezondheidszorg CBO en de Hersenstichting.",120,0,Licht traumatisch hersenletsel (LTH) bij kinderen tot en met 5 jaar,Wie kunt u bellen?,"In geval van nood kunt u bellen met de spoedeisende hulp 088 708 53 55. Is de nood erg hoog, dan kunt u het landelijke alarmnummer 112 bellen. Deze adviestekst voor schriftelijke patiëntinformatie voldoet aan de richtlijn ‘Opvang van patiënten met licht traumatisch hoofd-hersenletsel (LTH)’, welke op initiatief van de Nederlandse Vereniging voor Neurologie is opgesteld door de richtlijnwerkgroep LTH in samenwerking met het kwaliteitsinstituut voor de gezondheidszorg CBO en de Hersenstichting.",train_fold_one,,TRUE,This document does not provide information about the guidelines that ZGT follows for the management of patients with mild traumatic brain injury.,TRUE,This document does not answer the question
40,Waar kan ik meer informatie vinden over ZGT?,U kunt meer informatie vinden over ZGT op zgt.nl.,"Littekens --- Vragen --- Heeft u naar aanleiding van deze folder vragen, neem dan contact op met ZGT via zgt.nl of via telefoonnummer 088 708 52 45",114,0,Littekens,Vragen,"Heeft u naar aanleiding van deze folder vragen, neem dan contact op met ZGT via zgt.nl of via telefoonnummer 088 708 52 45",train_fold_one,,,,,
41,Op welke dagen is De Meerlingentelefoon niet bereikbaar?,"De Meerlingentelefoon is niet bereikbaar op vrijdag, zaterdag en zondag.",Meerlingzwangerschap --- De Meerlingentelefoon --- Telefoonnummer: 088 633 75 46 Bereikbaar op maandag tot en met donderdag van 09.00 tot 17.00 uur,101,0,Meerlingzwangerschap,De Meerlingentelefoon,Telefoonnummer: 088 633 75 46 Bereikbaar op maandag tot en met donderdag van 09.00 tot 17.00 uur,train_fold_one,,,"De Meerlingentelefoon is bereikbaar op maandag tot en met donderdag van 09.00 tot 17.00 uur. De dagen waarop de Meerlingentelefoon niet bereikbaar is, worden niet vermeld in de context.",TRUE,This document does not answer the question
43,Wat te doen als u na de operatie thuis nog vragen heeft?,"Als u na de operatie thuis nog vragen heeft of problemen ondervindt, neem dan contact op met het ziekenhuis.","Schildklieroperatie --- Vragen --- Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32.",243,0,Schildklieroperatie,Vragen,"Heeft u na de operatie thuis nog vragen of doen zich thuis problemen voor, neem dan als volgt contact op met het ziekenhuis: 
- Tijdens kantooruren kunt u contact opnemen met het secretariaat van de chirurgen, telefoonnummer 088 708 52 31 of 088 708 52 32.",train_fold_one,,,,,
44,Wat is de functie van het vruchtwater?,"De functie van het vruchtwater is om onder andere de groei en beweging van de baby mogelijk te maken, maar ook adembewegingen, drinken en slikken.","(Langdurig) gebroken vliezen --- De functie van het vruchtwater --- Het vruchtwater maakt onder andere groei en beweging mogelijk van de baby, net zoals adembewegingen, drinken en slikken. Als de vliezen zijn gebroken, is er minder vruchtwater aanwezig.",12,12,(Langdurig) gebroken vliezen,De functie van het vruchtwater,"Het vruchtwater maakt onder andere groei en beweging mogelijk van de baby, net zoals adembewegingen, drinken en slikken. Als de vliezen zijn gebroken, is er minder vruchtwater aanwezig.",train_fold_one,,,"Het vruchtwater speelt een belangrijke rol tijdens een zwangerschap. Het zorgt ervoor dat de baby kan groeien en bewegen, net zoals adembewegingen, drinken en slikken. Het vruchtwater maakt het ook mogelijk dat de baby zich kan indalen in het bekken van de moeder. Daarnaast biedt het vruchtwater bescherming aan de baby tegen invloeden van buitenaf. Het vruchtwater wordt steeds opnieuw aangemaakt, dus een beetje vruchtwater verliezen nadat de vliezen zijn gebroken is normaal. Het is belangrijk dat het vruchtwater helder van kleur is, omdat een verkleuring kan duiden op bijmenging van ontlasting, bloed of een infectie. Als de vliezen gebroken zijn, is er minder vruchtwater aanwezig. Het breken van de vliezen kan echter ook een verhoogde kans op een infectie in de baarmoeder geven, omdat de natuurlijke afscherming voor de buitenwereld verbroken is. Daarom is het belangrijk om bij gebroken vliezen bepaalde adviezen op te volgen, zoals het meten van de temperatuur, regelmatig verwisselen van kraamverband, geen tampons gebruiken, geen geslachtsgemeenschap hebben en niet zwemmen of in bad gaan. In het geval van langdurig gebroken vliezen, wanneer de vliezen langer dan 24 uur gebroken zijn, is het noodzakelijk om in het ziekenhuis te bevallen en wordt de bevalling ingeleid. Het vruchtwaterverlies wordt dan nauwlettend in de gaten gehouden, evenals de conditie van zowel de moeder als de baby.",,"Vruchtwater heeft verschillende functies tijdens de zwangerschap. Ten eerste biedt het bescherming aan de baby, het werkt als een soort stootkussen om de baby te beschermen tegen stoten en schokken. Daarnaast zorgt vruchtwater voor een constante temperatuur om de baby heen en helpt het bij het handhaven van de juiste vochtbalans. Ook speelt vruchtwater een rol bij de ontwikkeling van de longen en het spijsverteringsstelsel van de baby. Het zorgt ervoor dat de longen van de baby kunnen oefenen met ademen en dat het spijsverteringsstelsel zich kan ontwikkelen. Vruchtwater draagt ook bij aan het handhaven van de juiste druk in de baarmoeder en het bevordert de beweging en groei van de baby. Kortom, vruchtwater is essentieel voor een gezonde ontwikkeling van de baby tijdens de zwangerschap."
45,Hoe vaak moet ik mijn pasgeboren baby voeden?,"Pasgeboren baby's moeten ongeveer om de twee à drie uur gevoed worden, wat neerkomt op ongeveer 7 tot 8 keer per etmaal.","Borstvoeding --- Voeden op verzoek --- De meeste pasgeboren baby’s vragen om de twee à drie uur om een voeding. Op verzoek voeden betekent de eerste weken minimaal zeven tot acht voedingen per etmaal. Het is belangrijk dat u geen limiet stelt aan het voeden. De baby mag zo vaak en zo lang effectief drinken als het maar wil. Omdat ZGT gezinsgerichte zorg aanbiedt, werken we volgens het principe ‘rooming-in’, dat wil zeggen dat uw baby dag en nacht bij u op de kamer staat, zodat u uw baby goed kunt observeren en in kunt spelen op de behoefte van uw baby. Uw baby geeft zelf aan wanneer het honger heeft. Dit merkt u doordat uw baby wakker is, op de vuistjes sabbelt of andere mondbewegingen maakt. U kunt dan altijd laten drinken. Bij borstvoeding geldt een minimumaantal voedingen, maar géén maximum. Als de melkproductie goed op gang is, ontstaat er geleidelijk een bepaalde regelmaat (regelmaat is niet altijd een ritme) in de voedingstijden. Het is normaal dat uw baby de eerste maanden 's nachts niet doorslaapt.",189,12,Borstvoeding,Voeden op verzoek,"De meeste pasgeboren baby’s vragen om de twee à drie uur om een voeding. Op verzoek voeden betekent de eerste weken minimaal zeven tot acht voedingen per etmaal. Het is belangrijk dat u geen limiet stelt aan het voeden. De baby mag zo vaak en zo lang effectief drinken als het maar wil. Omdat ZGT gezinsgerichte zorg aanbiedt, werken we volgens het principe ‘rooming-in’, dat wil zeggen dat uw baby dag en nacht bij u op de kamer staat, zodat u uw baby goed kunt observeren en in kunt spelen op de behoefte van uw baby. Uw baby geeft zelf aan wanneer het honger heeft. Dit merkt u doordat uw baby wakker is, op de vuistjes sabbelt of andere mondbewegingen maakt. U kunt dan altijd laten drinken. Bij borstvoeding geldt een minimumaantal voedingen, maar géén maximum. Als de melkproductie goed op gang is, ontstaat er geleidelijk een bepaalde regelmaat (regelmaat is niet altijd een ritme) in de voedingstijden. Het is normaal dat uw baby de eerste maanden 's nachts niet doorslaapt.",train_fold_one,,,,,
46,Wat voor hulp kan de lactatiekundige bieden bij problemen met borstvoeding?,"De lactatiekundige kan helpen bij problemen met borstvoeding. Informeer hiernaar bij uw kraamzorginstelling, verloskundige of ziekenhuis.","Borstvoeding --- Wat te doen bij problemen --- Bij problemen kan de lactatiekundige hulp bieden. Informeer hiernaar bij uw kraamzorginstelling, verloskundige of ziekenhuis.",185,12,Borstvoeding,Wat te doen bij problemen,"Bij problemen kan de lactatiekundige hulp bieden. Informeer hiernaar bij uw kraamzorginstelling, verloskundige of ziekenhuis.",train_fold_one,,,"A lactation consultant is available at the Ziekenhuisgroep Twente (ZGT) to provide support and assistance to patients experiencing breastfeeding problems. They can be contacted at the provided phone number during office hours, and there is also an after-hours number for urgent inquiries. The lactation consultants are present daily and can offer guidance and solutions to breastfeeding issues. Additionally, there are other resources available such as the LLL (La Leche League), mamacafés, and the breastfeeding forum on Facebook, which can provide further support. There are also options for renting breastfeeding equipment such as pumps and scales through lactation consultants or homecare stores. For more information, you can visit the ZGT website or the website of the Dutch Association of Lactation Consultants. The ZGT follows the guidelines of WHO/UNICEF, which include five standards for breastfeeding support and care.",TRUE,This document does not answer the question
47,Wat zijn de voordelen van het geven van de fles in zijligging?,"Het geven van de fles in zijligging heeft verschillende voordelen, zoals de voeding die minder snel door de zwaartekracht loopt, de baby die gemakkelijker kan ademen, de coördinatie van zuigen, slikken en ademen die gemakkelijker verloopt en de baby die minder snel verslikt.","Leren drinken --- Het geven van de fles in zijligging --- In zijligging drinken is een natuurlijke houding (te vergelijken met het drinken aan de borst) met veel voordelen ten opzichte van drinken in rugligging. 
- De voeding loopt door een andere uitwerking van de zwaartekracht minder snel; 
- De baby kan gemakkelijker ademen; 
- De coördinatie van het zuigen, slikken en ademen verloopt gemakkelijker; 
- De baby verslikt zich minder snel. Belangrijk is dat de baby in een ronde houding ligt, met de schouders naar voren (foetushouding). Het hoofd ligt hoger dan de billen. Voor deze houding kunt u gebruik maken van een voedingskussen en/of een voetenbank.",187,12,Leren drinken,Het geven van de fles in zijligging,"In zijligging drinken is een natuurlijke houding (te vergelijken met het drinken aan de borst) met veel voordelen ten opzichte van drinken in rugligging. 
- De voeding loopt door een andere uitwerking van de zwaartekracht minder snel; 
- De baby kan gemakkelijker ademen; 
- De coördinatie van het zuigen, slikken en ademen verloopt gemakkelijker; 
- De baby verslikt zich minder snel. Belangrijk is dat de baby in een ronde houding ligt, met de schouders naar voren (foetushouding). Het hoofd ligt hoger dan de billen. Voor deze houding kunt u gebruik maken van een voedingskussen en/of een voetenbank.",train_fold_one,,,"Het geven van de fles in zijligging heeft verschillende voordelen voor zowel de baby als de ouder. Ten eerste loopt de voeding minder snel door de zwaartekracht, waardoor de baby minder snel verslikt. Daarnaast kan de baby gemakkelijker ademen in deze houding en verloopt de coördinatie van zuigen, slikken en ademen gemakkelijker. Dit kan vooral voor te vroeg geboren baby's belangrijk zijn, omdat zij nog moeite kunnen hebben met het coördineren van deze handelingen. Ook voor de ouder kan het geven van de fles in zijligging prettig zijn, omdat de baby in een natuurlijke houding ligt die vergelijkbaar is met het drinken aan de borst. Het is belangrijk dat de baby in een ronde houding ligt, met de schouders naar voren en het hoofd hoger dan de billen. Een voedingskussen en/of voetenbank kunnen helpen bij het creëren van deze houding.",TRUE,This document does not answer the question
