topic_id,filename,header,section_text
9,"PEG-sonde, plaatsen onder doorlichting",Neem contact op indien,"- U koorts krijgt (38,5°C of hoger). 
- U buikpijn krijgt. 
- Rondom de insteekopening (veel) bloedverlies heeft. 
- Het kan gebeuren dat de PEG-sonde er per ongeluk uit wordt getrokken, laat in dat geval zo snel mogelijk (binnen 24 uur) een nieuwe PEG-sonde inbrengen. Tijdens kantooruren kunt u contact opnemen met de polikliniek MDL, telefoonnummer 088 708 70 70. Buiten kantooruren kunt u, bij klachten die niet tot de volgende dag kunnen wachten, contact opnemen met de afdeling spoedeisende hulp, telefoonnummer 088 708 78 78."
9,Radium-223 therapie,Wanneer neemt u contact op met een specialist?,"Ziet u een ongewone bloeduitstorting? Bloedt u meer na een verwonding dan normaal? Heeft u meer dan 38,5 graden koorts? Heeft u ernstige toename van pijn in de botten? Heeft u pijn, zwelling of gevoelloosheid van de kaak? Of heeft u het gevoel van loszitten van tanden. Neem dan contact op met de polikliniek interne geneeskunde – en oncologie en hematologie."
9,Formulier lastmeter (40056157),Lastmeter,"Hoeveel last hebt u van problemen, klachten, zorgen? Vul eerst de thermometer in. Omcirkel het nummer op onderstaande thermometer dat het best samenvat hoeveel last u de afgelopen week (inclusief vandaag) hebt gehad op lichamelijk, emotioneel, sociaal en praktisch gebied Invuldatum:"
9,Mitomycine blaasspoeling,Heeft u vragen?,"Heeft u nog vragen over de behandeling met Mitomycinespoeling dan kunt u op werkdagen tijdens kantooruren contact opnemen met onderstaande telefoonnummers. In acute gevallen zoals bij koorts boven 38.5°C neemt u tijdens kantooruren contact op met: 
- Polikliniek urologie telefoonnummer: 088 708 33 90 In acute gevallen zoals bij koorts boven 38.5°C neemt u buiten kantooruren contact op met: 
- Afdeling 5 West/ Oncologie telefoonnummer: 088 708 34 20"
9,Shuntografie en_of dotterbehandeling shunt,Neem contact op indien,"- U koorts krijgt (38,5°C of hoger). 
- De aanprikplaats erg gevoelig/pijnlijk is. 
- Een zwelling ter plaatse van de aanprikplaats optreedt. 
- De arm rood verkleurt en erg warm aanvoelt. 
- Uw arm gevoelloos of pijnlijk aanvoelt. 
- U huiduitslag heeft. Tijdens en na kantooruren kunt u telefonisch contact opnemen met het secretariaat dialyse: 088 708 43 50."
9,VATS,Wond,"Tijdens het hoesten en niezen kan het wondgebied pijnlijk zijn. U hebt geleerd op welke manier u tegendruk op de wond kunt geven om klachten te verminderen. Als de wond in roodheid toeneemt, er vocht uitkomt, u koorts ontwikkelt (boven de 38 graden) of als de pijn toeneemt, moet u dit melden aan uw longarts."
9,"Operatie vanwege een afsluiting van de liesslagader (TEA, endarteriëctomie)",Contact opnemen,"Indien u na ontslag uit het ziekenhuis de volgende klachten krijgt neem dan contact op met het ziekenhuis. 
- koorts (38,5oC of hoger) 
- warme rode wond 
- hevige pijn in het been en/of de voet 
- acute zwelling van het been 
- wanneer er vocht uit uw wond komt kunt u eerst https://www.thuisarts.nl/wonden/er- komt-vocht-uit-mijn-wond raadplegen. 
- komt u er niet uit neem dan contact met ons op Tijdens kantooruren kunt u contact opnemen met het secretariaat vaatchirurgie ZGT, telefoonnummer 088 708 52 43. Buiten kantoortijden kunt u bellen met de spoedeisende hulp, telefoonnummer 088 708 78 78."
9,Ileostoma opheffen,Contact,"Wanneer moet u contact opnemen; 
- Bij koorts (>38,5 graden) 
- Pijn, zwelling en roodheid wondje Tijdens kantooruren neemt u contact op met de stoma verpleegkundige. Telefoonnummers: 
- Ziekenhuislocatie Almelo, telefoonnummer 088 708 36 74 Buiten kantooruren kunt u contact opnemen met de spoedeisende hulp, telefoonnummer 088 708 78 78."
9,Achillespeesruptuur behandelen met Vacoped,Waar moet u op letten,"Neemt u direct telefonisch contact op met het secretariaat traumachirurgie (op werkdagen tussen 08.00-16.30 uur) wanneer de volgende verschijnselen zich voordoen: 
- Toenemende pijn 
- Toenemende zwelling van de tenen 
- “Doof” gevoel van de tenen Is buiten kantooruren contact met het ziekenhuis nodig? Neem dan contact op met de spoedeisende hulp via telefoonnummer 088 708 78 78"
9,Kleine poliklinische chirurgische ingrepen,Complicaties,"Er is zoals bij elke operatieve ingreep een kleine kans op een nabloeding of wondinfectie. Als u veel pijn krijgt, de wond rood en dik wordt of als u koorts krijgt, moet u contact opnemen met uw behandelend medisch specialist of met uw huisarts. Tijdens kantooruren kunt u contact opnemen met de polikliniek chirurgie, telefoonnummer 088 708 52 33. Buiten kantooruren belt u met telefoonnummer 088 708 78 78 en vraagt naar de dienstdoende chirurg."
9,"Galblaas, het verwijderen van",Complicaties en leefregels na een laparoscopische cholecystectomie,"Bij koorts hoger dan 38.5˚C, langer dan twee dagen en ‘ziek voelen’ moet u contact opnemen volgens de wijze vermeld onderaan de folder. Rondom de wondjes kunnen bloeduitstortingen ontstaan. Ontstaat er echter een flinke zwelling of nabloeding neemt u dan contact op volgens dezelfde wijze."
9,Kleine poliklinische chirurgische ingrepen,Complicaties,"Er is zoals bij elke operatieve ingreep een kleine kans op een nabloeding of wondinfectie. Als u veel pijn krijgt, de wond rood en dik wordt of als u koorts krijgt, moet u contact opnemen met uw behandelend medisch specialist of met uw huisarts. Tijdens kantooruren kunt u contact opnemen met de polikliniek chirurgie, telefoonnummer 088 708 52 33."
9,Cystolithotripsie,Wanneer neemt u contact op?,"U neemt contact op bij: 
- Koorts hoger dan 38,5; 
- Pijn in de buik en/of flanken; 
- Niet meer kunnen plassen, bijvoorbeeld door stolsels; 
- Stroperige/bloederige urine."
9,Fem pop bypass,Contact opnemen,"Indien u na ontslag uit het ziekenhuis de volgende klachten krijgt neem dan contact op met het ziekenhuis. 
- koorts (38,5oC of hoger) 
- warme rode wond 
- hevige pijn in het been en/of de voet 
- acute zwelling van het been Tijdens kantooruren kunt u contact opnemen met het secretariaat vaatchirurgie van ZGT, telefoonnummer 088 708 52 43. Buiten kantoortijden kunt u bellen met de spoedeisende hulp, telefoonnummer 088 708 78 78."
17,Laparoscopische ingreep blaas,Vragen,"Heeft u naar aanleiding van deze folder vragen, neem dan contact op met ZGT de polikliniek urologie."
17,Urineweginfecties,Vragen?,Heeft u vragen over deze folder of wilt u meer informatie? Neem dan contact op met de polikliniek urologie.
17,Subcutane immunotherapie bij kinderen,Vragen?,"Heb jij, je ouders of verzorger na het lezen van deze folder nog vragen? Dan kunnen jullie op werkdagen contact opnemen met de polikliniek kindergeneeskunde: 088 708 31 20 of via kinderastmapoli@zgt.nl"
17,Shuntografie en_of dotterbehandeling shunt,Heeft u vragen over de medicijnen die u,gebruikt dan kunt u altijd contact opnemen met uw aanvragend medisch specialist.
17,Cystolithotripsie,Vragen,"Heeft u naar aanleiding van deze folder vragen, neem dan contact op met de polikliniek urologie."
17,VATS,Vragen,"Heeft u na het lezen en bespreken van deze folder nog vragen? Laat het dan weten aan uw verpleegkundige. Zij kan uw vragen zo veel mogelijk beantwoorden, zo nodig met behulp van de medisch specialist."
17,"Ontslagbericht, instructies voor thuis heelkunde patiënten, verpleegafdeling 5 noord (ZGT Almelo)",Tot slot,"Heeft u na het lezen van deze tekst nog vragen, stelt u die dan gerust aan uw behandelend medisch specialist of verpleegkundige."
17,"Naadlekkage, na een darmoperatie",Vragen,"Heeft u na het lezen en bespreken van deze folder nog vragen? Stel deze dan aan de verpleegkundige die u verzorgd. Zijn uw vragen meer van medische aard, dan kan de verpleegkundige een gesprek aanvragen voor u en/of uw familie bij de zaalarts of de chirurg."
17,Kinderen op bezoek op de IC,Tot slot,Heeft u naast de informatie in deze folder nog vragen? U kunt altijd terecht bij de betrokken verpleegkundige van uw familielid/naaste. Wij staan voor u klaar.
17,Pijn meten in het ziekenhuis,Vragen,"Hebt u over het geven van een pijncijfer nog vragen, stel ze dan gerust aan uw verpleegkundige of medisch specialist."
17,Embolisatie vaten,Heeft u vragen over de medicijnen die u,gebruikt dan kunt u altijd contact opnemen met uw behandelend specialist.
17,Ontslaginformatie voor patiënten na een maagoperatie,Tot slot,"Heeft u na het lezen van deze tekst nog vragen, stelt u die dan gerust aan uw behandelend arts of verpleegkundige."
25,Zorgmachtiging vanuit Wet verplichte Geestelijke gezondheidzorg (WvGGZ),Tenslotte,"Wij hopen u door middel van deze folder voldoende geïnformeerd te hebben. Voor vragen kunt u altijd contact opnemen met het buro Verplichte Zorg, telefoonnummer 088-708 31 50."
25,Medisch Technisch Handelen Team,Werkwijze,"Voor het aanvragen van een verzoek voor het Medisch Technisch Handelen team, dient de aanvragende specialist of huisarts contact op te nemen met het secretariaat van ZGT lijn 1-2 / ThoeZ Twente 088 708 36 69. Het uitvoeringverzoek wordt naar het secretariaat gestuurd, en wordt in gescand in het digitale patiëntendossier, en een uitgeprinte versie komt in de map van MTH–team, bij de patiënt thuis te liggen. De huisarts/specialist dient zelf de benodigde medicatie te regelen met de apotheek. De coördinerende verpleegkundige van het MTH-team overlegt met de huisarts/ specialist wanneer de zorg kan worden ingezet."
25,Thuistoediening chemokuur 5 FU,Vragen,"Heeft u naar aanleiding van deze folder vragen, neem dan contact op met ZGT via polikliniek interne geneeskunde. Telefoonnummer: 088 708 70 75"
25,Achillespeesruptuur behandelen met Vacoped,Vragen,"Heeft u naar aanleiding van deze folder vragen, neem dan contact op met de poli traumachirurgie van ZGT via telefoonnummer 088 708 52 33"
25,Maagoperatie via kijktechniek tegen refluxziekten,Vragen,"Heeft u naar aanleiding van deze folder vragen neem dan contact op met ZGT via www.zgt.nl via e-mailadres info@zgt.nl of via telefoonnummer 088 708 36 93. Lees ook 
- Website www.zgt.nl 
- Folder Opname ZGT 
- Folder Pre-operatieve Screening 
- Folder voorbereiding operatie/onderzoek onder narcose 
- Folder nuchterheid 
- Folder anesthesie/spinaalverdoving/epiduraal- verdoving 
- Folder Rechten en plichten 
- Folder Infectiepreventie"
25,Nazorgfolder instructies voor thuis,Controleafspraak,"U komt voor een controleafspraak naar ZGT. Hiervoor krijgt u een uitnodiging thuis gestuurd. Hieronder is aangevinkt waar u wordt verwacht voor de afspraak.  Polikliniek heelkunde telefonische bereikbaarheid  Gastro-enterologische chirurgie, 088 708 52 31 Oncologische chirurgie, 088 708 52 31 Polikliniek heelkunde Borstkliniek Oost-nederland (mammapolikliniek), 088 708 52 32 Traumachirurgie, 088 708 52 33 Vaatchirurgie, 088 708 52 43 Controle over ___ dagen/weken.  Locatie Almelo route 1.8  Locatie Hengelo route 0.6 Polikliniek ___ Telefoonnummer 088 708 ___ Controle over ___dagen/weken.   Locatie Almelo route ___   Locatie Hengelo route ___ Polikliniek orthopedie Telefoonnummer 088 708 33 70 Controle over ___ dagen/weken.  Locatie Almelo route 1.9  Locatie Hengelo route 0.5  1 uur van tevoren bloedprikken, bloedafname ZGT  Locatie Almelo route 0.1  Locatie Hengelo route 0.3  Voordien röntgen, radiologie ZGT:  Locatie Almelo route 1.6  Locatie Hengelo route 0.8  Nuchter blijven na 24.00 uur"
25,Chroom,Vragen,"Heeft u naar aanleiding van deze folder vragen, neem dan contact op met de polikliniek allergologie, telefoonnummer 088 708 52 30 of via e-mailadres allergie@zgt.nl."
25,Hoofdkoeling bij chemotherapie,Vragen,"Heeft u na het lezen van deze folder nog vragen, dan kunt u deze natuurlijk altijd stellen aan een van onze oncologie verpleegkundigen, telefoonnummer 088 708 35 64"
25,Thuisoefeningen voor BPPD (benigne paroxysmale positieduizeligheid),Vragen,"Heeft u naar aanleiding van deze folder vragen, neem dan contact op met ZGT. U kunt bellen met de polikliniek keel-, neus- en oorheelkunde via telefoonnummer 088 708 33 50."
40,Hoofdkoeling bij chemotherapie,Bijwerkingen,"Als de kap door de verpleegkundige op uw hoofd wordt gezet, voelt dat koud aan en kan de kap een licht gevoel in het hoofd geven. De ergste kou voelt u in de eerste tien tot vijftien minuten van de koeling therapie. Na vijftien minuten zal uw lichaam de kou beter verdragen en zullen de bijwerkingen langzaam verdwijnen. Door de kou kunt u last krijgen van hoofdpijn; hiervoor kunt u een pijnstiller (paracetamol) krijgen. Vraagt u tussentijds ook gerust om een deken of een warme drank. Tips vóór het gebruik van de hoofdhuidkoeler De avond voordat u chemotherapie krijgt of op de dag zelf, wast u het haar en doet u er geen haarverzorgingsproducten meer in. Haarspelden en oorbellen dient u voor de behandeling uit te doen. U kunt bijvoorbeeld een vest of sjaal meenemen of warme sokken aantrekken om het koude gevoel te verminderen."
42,Defecatie expertise centrum (DEF poli),Melden,Op de dag van de afspraak meldt u zich bij de balie van de polikliniek chirurgie van ZGT Hengelo.
42,Start biologische reumaremmers,Medlon prikpost in ziekenhuis,"Almelo, route 0.1; Hengelo, route 0.3  Hepatitis B en C bloedtest. De aanvraag vindt digitaal plaats.  Quantiferontest (let op: kan alleen op bepaalde tijden!) De aanvraag vindt digitaal plaats. 4. Inenting/vaccinatie tegen"
42,Start biologische reumaremmers,radiologie,"Almelo, route 1.6; Hengelo, route 0.8  Röntgenfoto van de longen. De aanvraag vindt digitaal plaats. U krijgt dus geen aanvraag op papier mee. 2. Afspraak longarts Hengelo, route 0.9  Afspraak polikliniek longziekten voor Mantoux test (=kleine injectie) en na 3 dagen aflezen hiervan.  Afspraak bij de longarts om uitslagen van tuberculose onderzoek te bespreken. Verwijzing vindt digitaal plaats. U ontvangt een oproep van de polikliniek longziekten. 3. Bloedonderzoek: alleen bij"
42,Defecatie expertise centrum (DEF poli),Defecatie Expertise Centrum,Het defecatie expertise centrum van ZGT Hengelo (route 0.6) houdt zich bezig met onderzoek en behandeling van ongewild verlies van ontlasting en een moeizaam ontlastingspatroon.
43,Esosponge,Vragen,"Mocht u nog vragen hebben, stel ze dan gerust. U kunt bellen naar het MDL-centrum, 088 708 78 78."
43,Proctitis,Tot slot,"Als u na het lezen van deze folder nog vragen heeft kunt u contact opnemen met de verpleegkundig specialist MDL. U kunt bellen naar het MDL-centrum, telefoonnummer 088 708 70 70."
43,Klysmavoorbereiding in het ziekenhuis,Vragen,"Als u na het lezen van deze informatiefolder nog vragen heeft, neem dan contact op met uw verpleegkundige. U kunt bellen naar het MDL-centrum op telefoonnummer 088 708 70 70."
43,ERCP,Vragen,"Mocht u na het lezen van deze folder nog vragen hebben, stel ze dan gerust. U kunt bellen naar het MDL-centrum, telefoonnummer 088 708 34 00."
43,Diabetes en enteroscopie distaal_coloscopie,Vragen,"Heeft u na het lezen van deze folder nog vragen, neemt u dan contact op met het MDL-centrum, bereikbaar van maandag tot en met vrijdag van 08.30 uur tot 16.30 uur op telefoonnummer 088 708 70 70."
43,Zetpil en klysma bij IBD,Vragen,"Als u na het lezen van deze folder nog vragen heeft kunt u contact opnemen met uw MDL-verpleegkundige of verpleegkundig specialist. U kunt bellen naar het MDL-centrum, telefoonnummer 088 708 70 70."
43,IBD en zwangerschap,Vragen,"Heeft u naar aanleiding van deze folder vragen, neem dan contact op met het MDL- centrum via telefoonnummer 088 708 70 70."
49,Gezonde moeder of rooming-in ouder,Afdeling moeder en kind (verloskunde),"Ziekenhuislocatie Almelo, telefoonnummer 088 708 51 69."
49,"Slokdarmkanker, PIM",ZGT,"Maag- darm- en leverartsen Locatie Almelo: telefoon 088 708 7070 Dhr. H. Aktas Locatie Hengelo: telefoon 088 708 7171 Dhr. P. Dura Dhr. dr. P. Kesseler Dhr. dr. R.J. Lieverse Dhr. A. van der Linden Dhr. R.F.C. van Roermund Dhr. K. Thurnau Dhr. dr. A.A. Vrij Chirurgen Locatie Almelo: telefoon 088 708 5231 Dhr. dr. M.J. van Det Dhr. dr. E.A. Kouwenhoven Dhr. dr. H.T.J. Mantel Internist oncologen Locatie Almelo: telefoon 088 708 7076 Dr. R. Hoekstra Locatie Hengelo: telefoon 088 708 7075 Dr. C.J.H. Gerrits Mw Dr. I.M. Oving Mw Dr. E.J.M. Siemerink Dr. B.W. Schot Verpleegkundig Specialisten Mw. M. Dik Mw. B. Dwars Mw. E. Postel Oncologieverpleegkundigen Locatie Almelo: telefoon 088 708 4208 Mw W. ten Cate Mw S. Oude Booijink Mw. W. Pouls Mw S. Wolfkamp Researchverpleegkundigen Locatie Almelo: telefoon 088 708 4258 Mw. I. Masselink Mw. L. Morsink Diëtetiek Locatie Almelo: telefoon 088 708 4014 Mw. M. Althanning Mw. M. Arkes Mw. C. van Dijk Fysiotherapie - oncologie Locatie Almelo: telefoon 088 708 3210 Mw N. Brons Mw I. Mekenkamp Mw M. Tinselboer Radiotherapeuten - Medisch Spectrum Twente Drs. D.P. Woutersen Drs. E.M. Hendriksen Drs. E. Koiter 3. Informatie over slokdarmkanker 3.1 De slokdarm Opbouw van de slokdarm De slokdarm begint achter het strottenhoofd en eindigt bij de maag. De slokdarm is onderdeel van het spijsverteringskanaal. De slokdarm bestaat uit verschillende lagen. Afbeelding 1: Doorsnede van de slokdarmwand. Van binnen naar buiten toe zijn de verschillende lagen van de slokdarm: 
- De mucosa (slijmvlieslaag) die bestaat uit: lamina propria en muscularis mucosa (8). De mucosa of het slijmvlies is de laag die de binnenkant van de slokdarm bekleedt en die verschillende vloeistoffen afscheidt. 
- De submucosa (bindweefsellaag) Deze overgangslaag bevat klieren (9) die slijm produceren voor de mucosa-laag. Door deze laag lopen tevens bloed- en lymfevaten. 
- De muscularis propria (spierlaag), met 5, 6 en 7 verschillende spierlagen. De spierlagen trekken afwisselend samen om het voedsel in de slokdarm voort te bewegen. 
- De tunica adventitia (buitenste laag) Deze laag bestaat uit bindweefsel en ondersteunt de slokdarm. De slokdarm onderdeel van het spijsverteringsstelsel Het verteren van voedsel wordt ook wel spijsvertering genoemd. Alle organen die samen zorgen voor de spijsvertering noemen we het spijsverteringsstelsel. De spijsvertering begint in de mond. Het voedsel wordt hier fijngekauwd en vermengd met speeksel. Het speeksel zorgt ervoor dat u het voedsel makkelijker door kunt slikken. In het speeksel zitten stoffen die het voedsel helpen verteren. Als u het voedsel hebt doorgeslikt komt het in de slokdarm. De slokdarm is in feite een soort transportkanaal. De spieren in de slokdarmwand duwen het voedsel naar de maag. Op de overgang van slokdarm naar maag zit een sluitspiertje. Het gaat open als er voedsel vanuit de slokdarm naar de maag gaat. Afbeelding 2 Daarna gaat het weer dicht. Hierdoor stroomt voedsel en maagsap uit de maag niet voortdurend terug in de slokdarm. Zo zorgt het sluitspiertje voor eenrichtingsverkeer. In de maag wordt voedsel gekneed en vermengd met maagsap. Dit maagsap wordt door de maag aangemaakt en het bevat onder andere zoutzuur. Het zure maagsap bevordert de verdere vertering van het voedsel in de maag. Daarnaast vormt het zoutzuur een barrière tegen eventuele ziekmakende bacteriën die u met het eten binnenkrijgt. Daarna gaat de voedselbrij via de maaguitgang in kleine porties door naar de dunne darm. In de dunne darm vindt het grootste deel van de voedselvertering plaats. Belangrijke voedingsstoffen worden via de wand van de dunne darm door het lichaam opgenomen. De dunne darm gaat over in de dikke darm. De dikke darm onttrekt water en zouten aan deze dunne brij. Wat daarna overblijft is de normale vaste ontlasting. De ontlasting wordt door de dikke darm naar de endeldarm geduwd. Als er ontlasting in de endeldarm komt voelt u aandrang. De spijsvertering is voltooid als de ontlasting via de anus het lichaam verlaat. 3.2 Hoe ontstaat kanker? Ons lichaam bestaat uit miljarden cellen. Die cellen zijn niet allemaal hetzelfde. Een slokdarmcel ziet er bijvoorbeeld heel anders uit dan een huidcel of een bloedcel. Cellen verouderen of raken beschadigd. Ze moeten daarom constant vervangen worden. Nieuwe cellen ontstaan door celdeling: uit één cel ontstaan twee nieuwe cellen. Die twee nieuwe cellen gaan zich ook weer delen, waarna de vier nieuwe cellen zich weer gaan delen, enzovoort. Bij kanker is deze celdeling verstoord. Cellen blijven zich in snel tempo delen, ook al is het niet nodig om verouderde of beschadigde cellen te vervangen. De cellen die door deze verstoorde celdeling ontstaan, zijn niet hetzelfde als de oorspronkelijke cel. Ze zijn anders van structuur en hebben geen nuttige functie. Het zijn kwaadaardige cellen. Na verloop van tijd ontstaat een opeenhoping van kwaadaardige cellen. Dit wordt een kwaadaardig gezwel of ook wel kanker genoemd. Deze tumor kan steeds groter worden. De tumor kan zich uitbreiden tot in het omringende weefsel en veel schade veroorzaken. Kwaadaardige cellen kunnen losraken van de tumor. Deze losgeraakte cellen kunnen in de bloedbaan of het lymfestelsel terechtkomen. Via het bloed of de lymfe kunnen ze zich verspreiden door het hele lichaam. Zo kunnen losgeraakte cellen van een tumor uit de slokdarm zich nestelen in bijvoorbeeld de lever of de longen. In de lever of longen kunnen vervolgens door celdeling weer nieuwe tumoren ontstaan. Deze tumoren, die ontstaan zijn door het verplaatsen van kwaadaardige cellen, noemen we uitzaaiingen of metastasen. 3.3 Wat is slokdarmkanker?"
49,Gezonde moeder of rooming-in ouder,Afdeling moeder en kind (neonatologie),"Ziekenhuislocatie Almelo, telefoonnummer 088 708 44 51."
49,Vaatlaserbehandeling voor wratten (ZGT Helon),Hoe kan u ons bereiken,Helon Huid- en Laserkliniek Geerdinksweg 139-53 7555 DL Hengelo telefoonnummer 088 708 49 90 helon.nl info@helon.nl
49,Radium-223 therapie,Tijdens kantooruren,"- Ziekenhuislocatie Almelo, telefoonnummer 088 708 70 76. 
- Ziekenhuislocatie Hengelo, telefoonnummer 088 708 70 75."
49,Poliklinische revalidatiebehandeling,Contact,Ziekenhuislocatie Almelo Polikliniek revalidatie: 088 708 33 10 Routenummer 0.12 Fysio-/ergotherapie: 088 708 32 10 Routenummer 0.12 Logopedie: 088 708 32 10 Routenummer 0.9 Maatschappelijk werk: 088 708 39 23 Routenummer 0.10 Medische Psychologie: 088 708 53 11 Routenummer 1.12
54,Video Interactie Begeleiding (VIB) bij kinderen,Medisch pedagogisch zorgverlener kindergeneeskunde,Telefoonnummer 088 708 31 55
54,Borstvoeding aan de randprematuur of dysmature baby,Lactatiekundigen IBCLC ZGT,In ZGT zijn drie lactatiekundigen IBCLC werkzaam. Deze zijn (buiten vakantieperiodes om) dagelijks aanwezig. Telefoonnummer 088 708 55 51. Voor meer informatie over voeding verwijzen we u naar onze website zgt.nl.
56,Slaapcentrum,Vragen,"Heeft u nog vragen? Dan kunt u contact op nemen met de secretaresse van het slaapcentrum. Telefoonnummer locatie Hengelo: 088 708 55 25. Of kijk op onze website zgt.nl Samenwerkende specialisten in ZGT-slaapcentrum: Neurologie L.J.A. Reichman, neuroloog-somnoloog S.D. Jurg, neuroloog-somnoloog L. ter Brake, verpleegkundig specialist M. Schilperoord,verpleegkundig specialist Longgeneeskunde: M. Ruinemans, longarts-somnoloog, J.M.M. Roorda-van der Vegt, longarts M. Nuis, physician assistant-somnoloog KNO-artsen: C. Rus, R.J. Stroeve Kaakchirurgie: R.B.G. Horsthuis A.M. Ettema Klinisch psychologen: Namens deze: I. van Tilborg, klinisch neuropsycholoog Kindergeneeskunde: N.G.J. Wolters, kinderarts-somnoloog H. Jansen, medisch pedagogisch medewerker"
