,Document,Question,Answer,Question-Context N-gram Similarity,Answer-Context N-gram Similarity,TF-IDF,Max TF-IDF
12,"- U koorts krijgt (38,5°C of hoger). 
- De lies erg gevoelig/pijnlijk is. 
- Een zwelling in de lies optreedt. 
- De lies rood verkleurt en erg warm aanvoelt. 
- Uw been gevoelloos of pijnlijk aanvoelt. 
- U huiduitslag heeft. Tijdens kantooruren kunt u contact opnemen met het secretariaat vaatchirurgie, telefoonnummer 088 708 52 43. Heeft u klachten die niet tot de volgende dag kunnen wachten, dan kunt u buiten kantooruren contact opnemen met de afdeling spoedeisende hulp, telefoonnummer 088 708 78 78.","Wat moet ik doen als ik koorts krijg (38,5°C of hoger)?","Als u koorts krijgt (38,5°C of hoger), is het belangrijk om contact op te nemen met het secretariaat vaatchirurgie of de afdeling spoedeisende hulp.",0.020833333333333332,0.11764705882352941,"[0, 0, 0, 0, 0]",0
13,"- U koorts krijgt (38,5°C of hoger). 
- De lies erg gevoelig/pijnlijk is. 
- Een zwelling in de lies optreedt. 
- De lies rood verkleurt en erg warm aanvoelt. 
- Uw been gevoelloos of pijnlijk aanvoelt. 
- U huiduitslag heeft. Tijdens kantooruren kunt u contact opnemen met het secretariaat vaatchirurgie, telefoonnummer 088 708 52 43. Heeft u klachten die niet tot de volgende dag kunnen wachten, dan kunt u buiten kantooruren contact opnemen met de afdeling spoedeisende hulp, telefoonnummer 088 708 78 78.",Wat zijn de symptomen van een ontsteking in de lies?,"Symptomen van een ontsteking in de lies kunnen zijn dat de lies erg gevoelig/pijnlijk is, er een zwelling optreedt, de lies rood verkleurt en erg warm aanvoelt, uw been gevoelloos of pijnlijk aanvoelt, of dat u huiduitslag heeft.",0.0,0.28,"[0, 0, 0, 0]",0
14,"- U koorts krijgt (38,5°C of hoger). 
- De lies erg gevoelig/pijnlijk is. 
- Een zwelling in de lies optreedt. 
- De lies rood verkleurt en erg warm aanvoelt. 
- Uw been gevoelloos of pijnlijk aanvoelt. 
- U huiduitslag heeft. Tijdens kantooruren kunt u contact opnemen met het secretariaat vaatchirurgie, telefoonnummer 088 708 52 43. Heeft u klachten die niet tot de volgende dag kunnen wachten, dan kunt u buiten kantooruren contact opnemen met de afdeling spoedeisende hulp, telefoonnummer 088 708 78 78.",Wanneer moet ik buiten kantooruren contact opnemen met de afdeling spoedeisende hulp?,U moet buiten kantooruren contact opnemen met de afdeling spoedeisende hulp als u klachten heeft die niet tot de volgende dag kunnen wachten.,0.1276595744680851,0.19148936170212766,"[0, 0, 0, 0, 0, 0, 0, 0]",0
15,"- U koorts krijgt (38,5°C of hoger). 
- De lies erg gevoelig/pijnlijk is. 
- Een zwelling in de lies optreedt. 
- De lies rood verkleurt en erg warm aanvoelt. 
- Uw been gevoelloos of pijnlijk aanvoelt. 
- U huiduitslag heeft. Tijdens kantooruren kunt u contact opnemen met het secretariaat vaatchirurgie, telefoonnummer 088 708 52 43. Heeft u klachten die niet tot de volgende dag kunnen wachten, dan kunt u buiten kantooruren contact opnemen met de afdeling spoedeisende hulp, telefoonnummer 088 708 78 78.",Bij wie kan ik tijdens kantooruren contact opnemen voor vragen over een ontsteking in de lies?,Tijdens kantooruren kunt u contact opnemen met het secretariaat vaatchirurgie voor vragen over een ontsteking in de lies.,0.061224489795918366,0.12244897959183673,"[0, 0, 0, 0, 0, 0, 0, 0]",0
16,"- U koorts krijgt (38,5°C of hoger). 
- De lies erg gevoelig/pijnlijk is. 
- Een zwelling in de lies optreedt. 
- De lies rood verkleurt en erg warm aanvoelt. 
- Uw been gevoelloos of pijnlijk aanvoelt. 
- U huiduitslag heeft. Tijdens kantooruren kunt u contact opnemen met het secretariaat vaatchirurgie, telefoonnummer 088 708 52 43. Heeft u klachten die niet tot de volgende dag kunnen wachten, dan kunt u buiten kantooruren contact opnemen met de afdeling spoedeisende hulp, telefoonnummer 088 708 78 78.",Wat is het telefoonnummer van de afdeling spoedeisende hulp voor noodgevallen?,Het telefoonnummer van de afdeling spoedeisende hulp voor noodgevallen is 088 708 78 78.,0.041666666666666664,0.10204081632653061,"[0, 0, 0, 0, 0, 0]",0
17,"Mocht u nog vragen hebben stel ze dan gerust. U kunt bellen naar het MDL-centrum, telefoonnummer 088 708 34 00.",Wat moet ik doen als de verstopping niet oplost na het zachtjes kneden van de voedingssonde?,"Als de verstopping niet oplost na het zachtjes kneden van de voedingssonde, kunt u het beste contact opnemen met het MDL-centrum via telefoonnummer 088 708 34 00 voor verdere instructies.",0.0,0.16666666666666666,"[0, 0, 0, 0, 0, 0]",0
18,"- Als u extreme pijn ervaart van de plek welke u heeft ingesmeerd met 5- Fluorouracil crème (Efudix®. 
- Als u blaasjes ziet in de behandelde plek (herpes verdenking). 
- Als u zich zorgen maakt of de reactie die u heeft normaal is. 
- Als u koorts krijgt of als er gele pus uit de wond komt (dit kan wijzen op een bacteriële infectie). Mocht u na het lezen van deze folder nog vragen hebben, neem dan contact op met polikliniek dermatologie. Telefoonnummers polikliniek dermatologie: 
- Ziekenhuislocatie Hengelo: 088 708 5340. 
- Ziekenhuislocatie Almelo: 088 708 31 30.",Wat moet ik doen als ik extreme pijn ervaar van de plek die ik heb ingesmeerd met 5- Fluorouracil crème (Efudix®)?,"Als u extreme pijn ervaart van de plek die u heeft ingesmeerd met 5- Fluorouracil crème (Efudix®), neem dan contact op met de polikliniek dermatologie.",0.09803921568627451,0.2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
19,"- Als u extreme pijn ervaart van de plek welke u heeft ingesmeerd met 5- Fluorouracil crème (Efudix®. 
- Als u blaasjes ziet in de behandelde plek (herpes verdenking). 
- Als u zich zorgen maakt of de reactie die u heeft normaal is. 
- Als u koorts krijgt of als er gele pus uit de wond komt (dit kan wijzen op een bacteriële infectie). Mocht u na het lezen van deze folder nog vragen hebben, neem dan contact op met polikliniek dermatologie. Telefoonnummers polikliniek dermatologie: 
- Ziekenhuislocatie Hengelo: 088 708 5340. 
- Ziekenhuislocatie Almelo: 088 708 31 30.",Wat moet ik doen als ik blaasjes zie op de behandelde plek?,"Als u blaasjes ziet op de behandelde plek, neem dan contact op met de polikliniek dermatologie, dit kan wijzen op een herpes infectie.",0.02,0.11538461538461539,"[0, 0, 0, 0, 0]",0
20,"- Als u extreme pijn ervaart van de plek welke u heeft ingesmeerd met 5- Fluorouracil crème (Efudix®. 
- Als u blaasjes ziet in de behandelde plek (herpes verdenking). 
- Als u zich zorgen maakt of de reactie die u heeft normaal is. 
- Als u koorts krijgt of als er gele pus uit de wond komt (dit kan wijzen op een bacteriële infectie). Mocht u na het lezen van deze folder nog vragen hebben, neem dan contact op met polikliniek dermatologie. Telefoonnummers polikliniek dermatologie: 
- Ziekenhuislocatie Hengelo: 088 708 5340. 
- Ziekenhuislocatie Almelo: 088 708 31 30.",Wat moet ik doen als ik mij zorgen maak over de reactie die ik ervaar?,"Als u zich zorgen maakt over de reactie die u ervaart, neem dan contact op met de polikliniek dermatologie.",0.0,0.1,"[0, 0, 0, 0, 0]",0
21,"- Als u extreme pijn ervaart van de plek welke u heeft ingesmeerd met 5- Fluorouracil crème (Efudix®. 
- Als u blaasjes ziet in de behandelde plek (herpes verdenking). 
- Als u zich zorgen maakt of de reactie die u heeft normaal is. 
- Als u koorts krijgt of als er gele pus uit de wond komt (dit kan wijzen op een bacteriële infectie). Mocht u na het lezen van deze folder nog vragen hebben, neem dan contact op met polikliniek dermatologie. Telefoonnummers polikliniek dermatologie: 
- Ziekenhuislocatie Hengelo: 088 708 5340. 
- Ziekenhuislocatie Almelo: 088 708 31 30.",Wat moet ik doen als ik koorts krijg of als er gele pus uit de wond komt?,"Als u koorts krijgt of als er gele pus uit de wond komt, neem dan contact op met de polikliniek dermatologie, dit kan wijzen op een bacteriële infectie.",0.06,0.2,"[0, 0, 0, 0, 0, 0, 0]",0
22,"- Als u extreme pijn ervaart van de plek welke u heeft ingesmeerd met 5- Fluorouracil crème (Efudix®. 
- Als u blaasjes ziet in de behandelde plek (herpes verdenking). 
- Als u zich zorgen maakt of de reactie die u heeft normaal is. 
- Als u koorts krijgt of als er gele pus uit de wond komt (dit kan wijzen op een bacteriële infectie). Mocht u na het lezen van deze folder nog vragen hebben, neem dan contact op met polikliniek dermatologie. Telefoonnummers polikliniek dermatologie: 
- Ziekenhuislocatie Hengelo: 088 708 5340. 
- Ziekenhuislocatie Almelo: 088 708 31 30.",Waar kan ik contact opnemen met de polikliniek dermatologie?,"U kunt contact opnemen met de polikliniek dermatologie op de volgende telefoonnummers: Ziekenhuislocatie Hengelo: 088 708 5340, Ziekenhuislocatie Almelo: 088 708 31 30.",0.0196078431372549,0.18518518518518517,"[0, 0, 0, 0, 0]",0
23,"Als u na het lezen van deze folder nog vragen heeft, neem dan contact op met uw verpleegkundige. U kunt bellen naar het MDL- centrum, telefoonnummer 088 708 70 70.",Waar kan ik meer informatie vinden over het doorspoelen van een verstopte voedingssonde?,U kunt meer informatie vinden in uw documentatie van de MDL-afdeling of door contact op te nemen met uw verpleegkundige. Het telefoonnummer van het MDL-centrum is 088 708 70 70.,0.0,0.125,"[0, 0, 0, 0, 0, 0]",0
24,"Als u na het lezen van deze folder nog vragen heeft, neem dan contact op met uw verpleegkundige. U kunt bellen naar het MDL- centrum, telefoonnummer 088 708 70 70.",Hoe kan ik contact opnemen met mijn verpleegkundige als ik nog vragen heb na het lezen van deze folder?,"U kunt uw verpleegkundige bereiken door te bellen naar het telefoonnummer van het MDL-centrum, 088 708 70 70.",0.05555555555555555,0.15,"[0, 0, 0, 0, 0, 0, 0]",0
25,"Als u na het lezen van deze folder nog vragen heeft, neem dan contact op met uw verpleegkundige. U kunt bellen naar het MDL- centrum, telefoonnummer 088 708 70 70.",Wat moet ik doen als de verstopping niet oplost na het doorspoelen met water?,"Als het oplossen van de verstopping niet lukt, laat dan lauwwarm water 30 minuten inwerken en herhaal de bovenstaande procedure nogmaals. Als dit niet werkt, neem dan contact op met uw verpleegkundige.",0.0,0.07142857142857142,"[0, 0, 0, 0, 0]",0
26,ZGT locatie Almelo: route 0.18 / 0.19 ZGT locatie Hengelo: Route 2.11,Wat is het verschil tussen de ZGT locatie Almelo en Hengelo?,Het verschil tussen de ZGT locatie Almelo en Hengelo is dat Almelo zich op route 0.18 / 0.19 bevindt en Hengelo op route 2.11.,0.16666666666666666,0.4666666666666667,"[0, 0, 0, 0, 0, 0, 0]",0
27,ZGT locatie Almelo: route 0.18 / 0.19 ZGT locatie Hengelo: Route 2.11,Waar kan ik de ZGT locatie Almelo vinden?,De ZGT locatie Almelo bevindt zich op route 0.18 / 0.19.,0.18181818181818182,0.36363636363636365,"[0, 0, 0, 0, 0]",0
28,ZGT locatie Almelo: route 0.18 / 0.19 ZGT locatie Hengelo: Route 2.11,Waar kan ik de ZGT locatie Hengelo vinden?,De ZGT locatie Hengelo bevindt zich op route 2.11.,0.18181818181818182,0.2727272727272727,"[0, 0, 0, 0, 0]",0
29,ZGT locatie Almelo: route 0.18 / 0.19 ZGT locatie Hengelo: Route 2.11,Welke route moet ik volgen om bij de ZGT locatie Almelo te komen?,Om bij de ZGT locatie Almelo te komen moet u route 0.18 / 0.19 volgen.,0.15384615384615385,0.3333333333333333,"[0, 0, 0, 0, 0, 0, 0]",0
30,ZGT locatie Almelo: route 0.18 / 0.19 ZGT locatie Hengelo: Route 2.11,Welke route moet ik volgen om bij de ZGT locatie Hengelo te komen?,Om bij de ZGT locatie Hengelo te komen moet u route 2.11 volgen.,0.15384615384615385,0.25,"[0, 0, 0, 0, 0, 0, 0]",0
31,"Als u na het lezen van deze folder nog vragen heeft, neem dan contact op met uw arts of verpleegkundige. U kunt bellen naar het MDL centrum, telefoonnummer: 088 708 70 70.",Kan ik na het lezen van deze folder contact opnemen met mijn arts of verpleegkundige?,"Ja, als u na het lezen van deze folder nog vragen heeft, kunt u contact opnemen met uw arts of verpleegkundige.",0.1111111111111111,0.15789473684210525,"[0, 0, 0, 0, 0, 0, 0]",0
32,"Als u na het lezen van deze folder nog vragen heeft, neem dan contact op met uw arts of verpleegkundige. U kunt bellen naar het MDL centrum, telefoonnummer: 088 708 70 70.",Hoe kan ik contact opnemen met het MDL centrum?,U kunt bellen naar het MDL centrum op telefoonnummer: 088 708 70 70.,0.058823529411764705,0.5333333333333333,"[0, 0, 0, 0, 0]",0
33,"Als u na het lezen van deze folder nog vragen heeft, neem dan contact op met uw arts of verpleegkundige. U kunt bellen naar het MDL centrum, telefoonnummer: 088 708 70 70.",Welke naam moet ik vermelden als ik contact opneem met het MDL centrum?,U kunt verwijzen naar de naam van de afdeling: MDL centrum.,0.05,0.05263157894736842,"[0, 0, 0, 0, 0, 0, 0]",0
34,"Als u na het lezen van deze folder nog vragen heeft, neem dan contact op met uw arts of verpleegkundige. U kunt bellen naar het MDL centrum, telefoonnummer: 088 708 70 70.",Wat moet ik doen als ik na het lezen van de folder nog vragen heb?,U kunt contact opnemen met uw arts of verpleegkundige voor meer informatie.,0.13333333333333333,0.05263157894736842,"[0, 0, 0, 0]",0
35,"Als u na het lezen van deze folder nog vragen heeft, neem dan contact op met uw arts of verpleegkundige. U kunt bellen naar het MDL centrum, telefoonnummer: 088 708 70 70.",Wanneer kan ik het beste contact opnemen met het MDL centrum?,U kunt bellen naar het telefoonnummer van het MDL centrum tijdens hun openingstijden.,0.05263157894736842,0.10526315789473684,"[0, 0, 0, 0, 0, 0]",0
36,"Neemt u direct telefonisch contact op met het secretariaat traumachirurgie (op werkdagen tussen 08.00-16.30 uur) wanneer de volgende verschijnselen zich voordoen: 
- Toenemende pijn 
- Toenemende zwelling van de tenen 
- “Doof” gevoel van de tenen Is buiten kantooruren contact met het ziekenhuis nodig? Neem dan contact op met de spoedeisende hulp via telefoonnummer 088 708 78 78",Wanneer moet ik contact opnemen met het secretariaat traumachirurgie?,Neem direct telefonisch contact op met het secretariaat traumachirurgie op werkdagen tussen 08.00-16.30 uur wanneer de volgende verschijnselen zich voordoen: - Toenemende pijn - Toenemende zwelling van de tenen - Doof gevoel van de tenen,0.024390243902439025,0.43902439024390244,"[0, 0, 0, 0, 0]",0
37,"Neemt u direct telefonisch contact op met het secretariaat traumachirurgie (op werkdagen tussen 08.00-16.30 uur) wanneer de volgende verschijnselen zich voordoen: 
- Toenemende pijn 
- Toenemende zwelling van de tenen 
- “Doof” gevoel van de tenen Is buiten kantooruren contact met het ziekenhuis nodig? Neem dan contact op met de spoedeisende hulp via telefoonnummer 088 708 78 78",Hoe kan ik contact opnemen met de spoedeisende hulp buiten kantooruren?,Bel dan contact op met de spoedeisende hulp via telefoonnummer 088 708 78 78.,0.04878048780487805,0.20512820512820512,"[0, 0, 0, 0, 0, 0, 0]",0
38,"Neemt u direct telefonisch contact op met het secretariaat traumachirurgie (op werkdagen tussen 08.00-16.30 uur) wanneer de volgende verschijnselen zich voordoen: 
- Toenemende pijn 
- Toenemende zwelling van de tenen 
- “Doof” gevoel van de tenen Is buiten kantooruren contact met het ziekenhuis nodig? Neem dan contact op met de spoedeisende hulp via telefoonnummer 088 708 78 78",Wat zijn de verschijnselen waarbij ik direct telefonisch contact moet opnemen?,De volgende verschijnselen zijn redenen om direct telefonisch contact op te nemen met het secretariaat traumachirurgie: - Toenemende pijn - Toenemende zwelling van de tenen - Doof gevoel van de tenen,0.04878048780487805,0.2,"[0, 0, 0, 0, 0, 0, 0]",0
39,"Neemt u direct telefonisch contact op met het secretariaat traumachirurgie (op werkdagen tussen 08.00-16.30 uur) wanneer de volgende verschijnselen zich voordoen: 
- Toenemende pijn 
- Toenemende zwelling van de tenen 
- “Doof” gevoel van de tenen Is buiten kantooruren contact met het ziekenhuis nodig? Neem dan contact op met de spoedeisende hulp via telefoonnummer 088 708 78 78",Moet ik contact opnemen met het ziekenhuis als ik buiten kantooruren ben?,"Ja, neem dan contact op met de spoedeisende hulp via telefoonnummer 088 708 78 78.",0.024390243902439025,0.23684210526315788,"[0, 0, 0, 0, 0, 0]",0
40,"Neemt u direct telefonisch contact op met het secretariaat traumachirurgie (op werkdagen tussen 08.00-16.30 uur) wanneer de volgende verschijnselen zich voordoen: 
- Toenemende pijn 
- Toenemende zwelling van de tenen 
- “Doof” gevoel van de tenen Is buiten kantooruren contact met het ziekenhuis nodig? Neem dan contact op met de spoedeisende hulp via telefoonnummer 088 708 78 78",Wat is het telefoonnummer van de spoedeisende hulp buiten kantooruren?,Het telefoonnummer is 088 708 78 78.,0.05,0.10526315789473684,"[0, 0, 0, 0, 0, 0]",0
41,"Mocht u na het lezen van deze folder nog vragen hebben dan kunt u hiervoor tijdens kantooruren contact opnemen met de polikliniek gynaecologie: 
- Ziekenhuislocatie Almelo, telefoonnummer: 088 708 33 60. 
- Ziekenhuislocatie Hengelo, telefoonnummer: 088 708 52 50.",Wanneer kan ik contact opnemen met de polikliniek gynaecologie?,Tijdens kantooruren kunt u contact opnemen met de polikliniek gynaecologie.,0.125,0.16,"[0, 0, 0, 0, 0]",0
42,"Mocht u na het lezen van deze folder nog vragen hebben dan kunt u hiervoor tijdens kantooruren contact opnemen met de polikliniek gynaecologie: 
- Ziekenhuislocatie Almelo, telefoonnummer: 088 708 33 60. 
- Ziekenhuislocatie Hengelo, telefoonnummer: 088 708 52 50.",Wat is het telefoonnummer van de polikliniek gynaecologie op de locatie Almelo?,Het telefoonnummer van de polikliniek gynaecologie op locatie Almelo is 088 708 33 60.,0.038461538461538464,0.14814814814814814,"[0, 0, 0, 0, 0, 0]",0
43,"Mocht u na het lezen van deze folder nog vragen hebben dan kunt u hiervoor tijdens kantooruren contact opnemen met de polikliniek gynaecologie: 
- Ziekenhuislocatie Almelo, telefoonnummer: 088 708 33 60. 
- Ziekenhuislocatie Hengelo, telefoonnummer: 088 708 52 50.",Wat is het telefoonnummer van de polikliniek gynaecologie op de locatie Hengelo?,Het telefoonnummer van de polikliniek gynaecologie op locatie Hengelo is 088 708 52 50.,0.038461538461538464,0.14814814814814814,"[0, 0, 0, 0, 0, 0]",0
44,"Mocht u na het lezen van deze folder nog vragen hebben dan kunt u hiervoor tijdens kantooruren contact opnemen met de polikliniek gynaecologie: 
- Ziekenhuislocatie Almelo, telefoonnummer: 088 708 33 60. 
- Ziekenhuislocatie Hengelo, telefoonnummer: 088 708 52 50.",Kan ik in de avonduren contact opnemen met de polikliniek gynaecologie?,"Nee, de polikliniek gynaecologie is alleen bereikbaar tijdens kantooruren.",0.125,0.07407407407407407,"[0, 0, 0, 0, 0, 0]",0
45,"Telefoonnummers 
- Voor zwangeren is onze polikliniek/afdeling verloskunde op de locatie Almelo bereikbaar op nummer: 088 708 44 16 
- Voor kraamvrouwen opgenomen op de afdeling moeder en kind: 088 708 35 53",Op welk nummer kunnen zwangeren onze polikliniek/afdeling verloskunde op de locatie Almelo bereiken?,Zwangeren kunnen onze polikliniek/afdeling verloskunde op de locatie Almelo bereiken op nummer 088 708 44 16.,0.21739130434782608,0.4090909090909091,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0
46,"Telefoonnummers 
- Voor zwangeren is onze polikliniek/afdeling verloskunde op de locatie Almelo bereikbaar op nummer: 088 708 44 16 
- Voor kraamvrouwen opgenomen op de afdeling moeder en kind: 088 708 35 53",Op welk nummer kunnen kraamvrouwen opgenomen op de afdeling moeder en kind bereiken?,Kraamvrouwen opgenomen op de afdeling moeder en kind kunnen bereiken op nummer 088 708 35 53.,0.17391304347826086,0.36363636363636365,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0
47,"Telefoonnummers 
- Voor zwangeren is onze polikliniek/afdeling verloskunde op de locatie Almelo bereikbaar op nummer: 088 708 44 16 
- Voor kraamvrouwen opgenomen op de afdeling moeder en kind: 088 708 35 53",Welk nummer moet ik bellen als ik zwanger ben en vragen heb?,"Als je zwanger bent en vragen hebt, kun je ons bereiken op nummer 088 708 44 16.",0.0,0.15384615384615385,"[0, 0, 0, 0, 0]",0
48,"Telefoonnummers 
- Voor zwangeren is onze polikliniek/afdeling verloskunde op de locatie Almelo bereikbaar op nummer: 088 708 44 16 
- Voor kraamvrouwen opgenomen op de afdeling moeder en kind: 088 708 35 53",Welk nummer moet ik bellen als ik opgenomen ben op de afdeling moeder en kind en vragen heb?,"Als je opgenomen bent op de afdeling moeder en kind en vragen hebt, kun je ons bereiken op nummer 088 708 35 53.",0.125,0.2222222222222222,"[0, 0, 0, 0, 0, 0, 0, 0]",0
49,"Telefoonnummers 
- Voor zwangeren is onze polikliniek/afdeling verloskunde op de locatie Almelo bereikbaar op nummer: 088 708 44 16 
- Voor kraamvrouwen opgenomen op de afdeling moeder en kind: 088 708 35 53",Op welke locatie is onze polikliniek/afdeling verloskunde bereikbaar voor zwangeren?,Onze polikliniek/afdeling verloskunde is bereikbaar op de locatie Almelo voor zwangeren.,0.08333333333333333,0.13043478260869565,"[0, 0, 0, 0, 0, 0, 0, 0]",0
50,De spalk kan gewassen worden. De balein dan voor het wassen verwijderen. (zie beschrijving bij de spalk),Wat is het aanbevolen wasproces voor de spalk?,De spalk kan gewassen worden. De balein moet dan voor het wassen verwijderd worden. (zie beschrijving bij de spalk),0.0,0.5555555555555556,"[0, 0, 0, 0]",0
51,De spalk kan gewassen worden. De balein dan voor het wassen verwijderen. (zie beschrijving bij de spalk),Hoe kan de balein worden verwijderd voor het wassen van de spalk?,"Om de balein te verwijderen voor het wassen van de spalk, volg de beschrijving bij de spalk.",0.0,0.08333333333333333,"[0, 0, 0, 0, 0]",0
52,De spalk kan gewassen worden. De balein dan voor het wassen verwijderen. (zie beschrijving bij de spalk),Is het mogelijk om de spalk te wassen?,"Ja, de spalk kan gewassen worden. De balein moet dan voor het wassen verwijderd worden. (zie beschrijving bij de spalk)",0.0,0.5555555555555556,"[0, 0, 0, 0]",0
53,De spalk kan gewassen worden. De balein dan voor het wassen verwijderen. (zie beschrijving bij de spalk),Wat is het belangrijke aandachtspunt bij het wassen van de spalk?,Het is belangrijk om de balein te verwijderen voordat u de spalk wast. Zie de beschrijving bij de spalk voor meer informatie.,0.0,0.14285714285714285,"[0, 0, 0, 0, 0]",0
54,De spalk kan gewassen worden. De balein dan voor het wassen verwijderen. (zie beschrijving bij de spalk),Waar moet u op letten bij het wassen van de spalk?,Let erop dat u de balein verwijdert voordat u de spalk wast. Zie de beschrijving bij de spalk voor meer details.,0.0,0.13333333333333333,"[0, 0, 0, 0]",0
