,Document,Question,Answer,Fact
19,"{'Voedingsadviezen bij subtotale colectomie': {'EEG na slaapdeprivatie': {'EEG na slaaponthouding (slaapdeprivatie)': 'Klinische neurofysiologie is het medisch specialisme dat zich bezighoudt met het registreren van de functies van de hersenen, zenuwbanen en spieren. Er worden in ZGT verschillende onderzoeken verricht. Eén daarvan is een EEG (elektro-encefalografie) na slaapdeprivatie. Deze onderzoeken vinden plaats binnen de KNF afdeling. In ziekenhuislocatie Almelo kunt u zich melden bij de balie polikliniek neurologie, routenummer 0.5. In ziekenhuislocatie Hengelo kunt u zich melden bij de balie polikliniek neurologie, routenummer 0.9.', 'EEG na slaaponthouding (slaapdeprivatie) ': 'Bij een elektro-encefalografie wordt met behulp van elektroden de hersenactiviteit gemeten. De bedoeling van een slaapdeprivatie is dat de hersenen extra vermoeid worden. U krijgt voor het onderzoek een soort badmuts op uw hoofd, met daarin 20 elektroden. Via een gaatje in de elektrode wordt er wat geleidingsgel aangebracht en licht over de huid gekrast. Daarnaast krijgt u nog enkele losse elektroden geplakt. Aan het begin van de registratie wordt u een paar keer gevraagd de ogen te openen en te sluiten. Een paar minuten diep te zuchten. En er zal nog een lamp in verschillende frequenties gaan flitsen. Daarna wordt u met rust gelaten en mag u proberen te slapen. De totale duur van het onderzoek bedraagt anderhalf tot twee uur.', 'Voorbereiding': 'U dient voorafgaand aan het onderzoek 24 uur wakker te blijven en geen cafeïne houdende dranken te gebruiken. Wij raden u aan om tijdens het onderzoek gemakkelijke kleding te dragen. Wilt u thuis vóór het onderzoek uw haren wassen (met shampoo zonder conditioner) en géén haarlak, gel, versteviger of iets dergelijks gebruiken.', 'Na het onderzoek': 'Het is verstandig om u naar het ziekenhuis te laten brengen en u na dit onderzoek te laten ophalen, omdat u slaperig kunt zijn van het wakker blijven.', 'Uitslag': 'De uitslag van het onderzoek krijgt u tijdens het eerstvolgende bezoek aan de neuroloog, tenzij anders met u is afgesproken.', 'Belangrijke telefoonnummers': 'Voor het maken en wijzigen van afspraken kunt u contact opnemen met het secretariaat neurologieZGT: Telefoonnummer 088 708 43 20 Voor vragen over het onderzoek kunt u contact opnemen met de KNF afdeling. Dit is mogelijk van maandag tot en met donderdag van 15.30 tot 16.30 uur. \n- Locatie Almelo, telefoonnummer 088 708 33 13. \n- Locatie Hengelo, telefoonnummer 088 708 54 16.', 'Check uw dossier op MijnZGT': 'MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt.'}}}",Hoe kan ik ervoor zorgen dat ik goed voorbereid ben op het onderzoek?,U dient voorafgaand aan het onderzoek 24 uur wakker te blijven en geen cafeïne houdende dranken te gebruiken. Daarnaast wordt aangeraden om gemakkelijke kleding te dragen en uw haren te wassen met shampoo zonder conditioner.,088 708 43 20
20,"{'Postoperatieve ileus': {'Ontslaginformatie voor patiënten na een hartinfarct en_of dotterbehandeling': {'1': '2 3 4 Ontslag \n- Ontslaggesprek met verpleegkundige op de afdeling. \n- Medicatie ophalen bij de apotheek (ook vragen om medicatieoverzicht). Zelf bewegen Bewegen = herstellen! Hanteer de leefregels! (z.o.z.) Controle bij de nazorgpoli of cardioloog Binnen 2 weken na ontslag ontvangt u een afspraak bij de verpleegkundig specialist op de nazorgpoli. Tijdens deze afspraak wordt beoordeeld of u voor de vervolgcontroles bij de verpleegkundig specialist of bij een cardioloog onder controle blijft. Neem uw medicatieoverzicht mee naar de afspraak. Hartrevalidatie \n- Intake hartrevalidatie, afspraak volgt binnen 4 weken. \n- Nog geen afspraak ontvangen na 3 tot 4 weken? Neem dan contact op met secretariaat cardiologie ZGT \n- De hartrevalidatie wordt vergoed vanuit de basisverzekering. \n- Informatie en veelgestelde vragen: www.zgt.nl/hartrevalidatie Ga vooruit: BEWEEG!', 'i': 'Contactgegevens Bij vragen of klachten, tot 14 dagen na ontslag, kunt u contact opnemen. Tijdens kantoortijden: polikliniek cardiologie. Telefoonnummer: 088 708 33 00 (maandag t/m vrijdag van 8.00 - 12.00 uur en van 13.00 - 16.30 uur) Buiten kantoortijden: afdeling cardiologie. Telefoonnummer: 088 708 37 94 E il h t lid ti t l Wandelen Het maken van een wandeling is toegestaan en raden wij u zelfs aan. Begin met dagelijks een wandeling en breid dit uit in frequentie en tijd. Luister naar eigen lichaam! Bij ontslag uit het ziekenhuis mag u alle inspanningen verrichten die u zou willen, verdeeld over de dag. Begin bijvoorbeeld met wandelen en lichte huishoudelijke werkzaamheden. Gaat dit goed? Breid dit uit met bijvoorbeeld fietsen. Autorijden Zelf autorijden is toegestaan, tenzij er sprake is van hartschade. In dat geval mag u 4 weken niet autorijden. Douchen Geen bezwaar. Bad Na 1 week. Fietsen Na 1 week, indien dit weer vertrouwd voelt. Ga vooruit: BEWEEG!'}}}",Wat zijn de contactgegevens voor vragen of klachten na ontslag?,U kunt tijdens kantoortijden contact opnemen met de polikliniek cardiologie op 088 708 33 00 (maandag t/m vrijdag van 8.00 - 12.00 uur en van 13.00 - 16.30 uur). Buiten kantoortijden kunt u de afdeling cardiologie bereiken op 088 708 37 94.,088 708 33 00
21,"{'Postoperatieve ileus': {'Ontslaginformatie voor patiënten na een hartinfarct en_of dotterbehandeling': {'1': '2 3 4 Ontslag \n- Ontslaggesprek met verpleegkundige op de afdeling. \n- Medicatie ophalen bij de apotheek (ook vragen om medicatieoverzicht). Zelf bewegen Bewegen = herstellen! Hanteer de leefregels! (z.o.z.) Controle bij de nazorgpoli of cardioloog Binnen 2 weken na ontslag ontvangt u een afspraak bij de verpleegkundig specialist op de nazorgpoli. Tijdens deze afspraak wordt beoordeeld of u voor de vervolgcontroles bij de verpleegkundig specialist of bij een cardioloog onder controle blijft. Neem uw medicatieoverzicht mee naar de afspraak. Hartrevalidatie \n- Intake hartrevalidatie, afspraak volgt binnen 4 weken. \n- Nog geen afspraak ontvangen na 3 tot 4 weken? Neem dan contact op met secretariaat cardiologie ZGT \n- De hartrevalidatie wordt vergoed vanuit de basisverzekering. \n- Informatie en veelgestelde vragen: www.zgt.nl/hartrevalidatie Ga vooruit: BEWEEG!', 'i': 'Contactgegevens Bij vragen of klachten, tot 14 dagen na ontslag, kunt u contact opnemen. Tijdens kantoortijden: polikliniek cardiologie. Telefoonnummer: 088 708 33 00 (maandag t/m vrijdag van 8.00 - 12.00 uur en van 13.00 - 16.30 uur) Buiten kantoortijden: afdeling cardiologie. Telefoonnummer: 088 708 37 94 E il h t lid ti t l Wandelen Het maken van een wandeling is toegestaan en raden wij u zelfs aan. Begin met dagelijks een wandeling en breid dit uit in frequentie en tijd. Luister naar eigen lichaam! Bij ontslag uit het ziekenhuis mag u alle inspanningen verrichten die u zou willen, verdeeld over de dag. Begin bijvoorbeeld met wandelen en lichte huishoudelijke werkzaamheden. Gaat dit goed? Breid dit uit met bijvoorbeeld fietsen. Autorijden Zelf autorijden is toegestaan, tenzij er sprake is van hartschade. In dat geval mag u 4 weken niet autorijden. Douchen Geen bezwaar. Bad Na 1 week. Fietsen Na 1 week, indien dit weer vertrouwd voelt. Ga vooruit: BEWEEG!'}}}",Wanneer mag u weer autorijden na ontslag uit het ziekenhuis?,"U mag zelf autorijden na ontslag uit het ziekenhuis, tenzij er sprake is van hartschade. In dat geval mag u 4 weken niet autorijden.",088 708 33 00
22,"{'Postoperatieve ileus': {'Ontslaginformatie voor patiënten na een hartinfarct en_of dotterbehandeling': {'1': '2 3 4 Ontslag \n- Ontslaggesprek met verpleegkundige op de afdeling. \n- Medicatie ophalen bij de apotheek (ook vragen om medicatieoverzicht). Zelf bewegen Bewegen = herstellen! Hanteer de leefregels! (z.o.z.) Controle bij de nazorgpoli of cardioloog Binnen 2 weken na ontslag ontvangt u een afspraak bij de verpleegkundig specialist op de nazorgpoli. Tijdens deze afspraak wordt beoordeeld of u voor de vervolgcontroles bij de verpleegkundig specialist of bij een cardioloog onder controle blijft. Neem uw medicatieoverzicht mee naar de afspraak. Hartrevalidatie \n- Intake hartrevalidatie, afspraak volgt binnen 4 weken. \n- Nog geen afspraak ontvangen na 3 tot 4 weken? Neem dan contact op met secretariaat cardiologie ZGT \n- De hartrevalidatie wordt vergoed vanuit de basisverzekering. \n- Informatie en veelgestelde vragen: www.zgt.nl/hartrevalidatie Ga vooruit: BEWEEG!', 'i': 'Contactgegevens Bij vragen of klachten, tot 14 dagen na ontslag, kunt u contact opnemen. Tijdens kantoortijden: polikliniek cardiologie. Telefoonnummer: 088 708 33 00 (maandag t/m vrijdag van 8.00 - 12.00 uur en van 13.00 - 16.30 uur) Buiten kantoortijden: afdeling cardiologie. Telefoonnummer: 088 708 37 94 E il h t lid ti t l Wandelen Het maken van een wandeling is toegestaan en raden wij u zelfs aan. Begin met dagelijks een wandeling en breid dit uit in frequentie en tijd. Luister naar eigen lichaam! Bij ontslag uit het ziekenhuis mag u alle inspanningen verrichten die u zou willen, verdeeld over de dag. Begin bijvoorbeeld met wandelen en lichte huishoudelijke werkzaamheden. Gaat dit goed? Breid dit uit met bijvoorbeeld fietsen. Autorijden Zelf autorijden is toegestaan, tenzij er sprake is van hartschade. In dat geval mag u 4 weken niet autorijden. Douchen Geen bezwaar. Bad Na 1 week. Fietsen Na 1 week, indien dit weer vertrouwd voelt. Ga vooruit: BEWEEG!'}}}",Wat is het telefoonnummer voor de polikliniek cardiologie?,Het telefoonnummer voor de polikliniek cardiologie is 088 708 33 00.,088 708 33 00
23,"{'Postoperatieve ileus': {'Ontslaginformatie voor patiënten na een hartinfarct en_of dotterbehandeling': {'1': '2 3 4 Ontslag \n- Ontslaggesprek met verpleegkundige op de afdeling. \n- Medicatie ophalen bij de apotheek (ook vragen om medicatieoverzicht). Zelf bewegen Bewegen = herstellen! Hanteer de leefregels! (z.o.z.) Controle bij de nazorgpoli of cardioloog Binnen 2 weken na ontslag ontvangt u een afspraak bij de verpleegkundig specialist op de nazorgpoli. Tijdens deze afspraak wordt beoordeeld of u voor de vervolgcontroles bij de verpleegkundig specialist of bij een cardioloog onder controle blijft. Neem uw medicatieoverzicht mee naar de afspraak. Hartrevalidatie \n- Intake hartrevalidatie, afspraak volgt binnen 4 weken. \n- Nog geen afspraak ontvangen na 3 tot 4 weken? Neem dan contact op met secretariaat cardiologie ZGT \n- De hartrevalidatie wordt vergoed vanuit de basisverzekering. \n- Informatie en veelgestelde vragen: www.zgt.nl/hartrevalidatie Ga vooruit: BEWEEG!', 'i': 'Contactgegevens Bij vragen of klachten, tot 14 dagen na ontslag, kunt u contact opnemen. Tijdens kantoortijden: polikliniek cardiologie. Telefoonnummer: 088 708 33 00 (maandag t/m vrijdag van 8.00 - 12.00 uur en van 13.00 - 16.30 uur) Buiten kantoortijden: afdeling cardiologie. Telefoonnummer: 088 708 37 94 E il h t lid ti t l Wandelen Het maken van een wandeling is toegestaan en raden wij u zelfs aan. Begin met dagelijks een wandeling en breid dit uit in frequentie en tijd. Luister naar eigen lichaam! Bij ontslag uit het ziekenhuis mag u alle inspanningen verrichten die u zou willen, verdeeld over de dag. Begin bijvoorbeeld met wandelen en lichte huishoudelijke werkzaamheden. Gaat dit goed? Breid dit uit met bijvoorbeeld fietsen. Autorijden Zelf autorijden is toegestaan, tenzij er sprake is van hartschade. In dat geval mag u 4 weken niet autorijden. Douchen Geen bezwaar. Bad Na 1 week. Fietsen Na 1 week, indien dit weer vertrouwd voelt. Ga vooruit: BEWEEG!'}}}",Wat is het telefoonnummer voor de afdeling cardiologie buiten kantoortijden?,Het telefoonnummer voor de afdeling cardiologie buiten kantoortijden is 088 708 37 94.,088 708 33 00
24,"{'Postoperatieve ileus': {'Ontslaginformatie voor patiënten na een hartinfarct en_of dotterbehandeling': {'1': '2 3 4 Ontslag \n- Ontslaggesprek met verpleegkundige op de afdeling. \n- Medicatie ophalen bij de apotheek (ook vragen om medicatieoverzicht). Zelf bewegen Bewegen = herstellen! Hanteer de leefregels! (z.o.z.) Controle bij de nazorgpoli of cardioloog Binnen 2 weken na ontslag ontvangt u een afspraak bij de verpleegkundig specialist op de nazorgpoli. Tijdens deze afspraak wordt beoordeeld of u voor de vervolgcontroles bij de verpleegkundig specialist of bij een cardioloog onder controle blijft. Neem uw medicatieoverzicht mee naar de afspraak. Hartrevalidatie \n- Intake hartrevalidatie, afspraak volgt binnen 4 weken. \n- Nog geen afspraak ontvangen na 3 tot 4 weken? Neem dan contact op met secretariaat cardiologie ZGT \n- De hartrevalidatie wordt vergoed vanuit de basisverzekering. \n- Informatie en veelgestelde vragen: www.zgt.nl/hartrevalidatie Ga vooruit: BEWEEG!', 'i': 'Contactgegevens Bij vragen of klachten, tot 14 dagen na ontslag, kunt u contact opnemen. Tijdens kantoortijden: polikliniek cardiologie. Telefoonnummer: 088 708 33 00 (maandag t/m vrijdag van 8.00 - 12.00 uur en van 13.00 - 16.30 uur) Buiten kantoortijden: afdeling cardiologie. Telefoonnummer: 088 708 37 94 E il h t lid ti t l Wandelen Het maken van een wandeling is toegestaan en raden wij u zelfs aan. Begin met dagelijks een wandeling en breid dit uit in frequentie en tijd. Luister naar eigen lichaam! Bij ontslag uit het ziekenhuis mag u alle inspanningen verrichten die u zou willen, verdeeld over de dag. Begin bijvoorbeeld met wandelen en lichte huishoudelijke werkzaamheden. Gaat dit goed? Breid dit uit met bijvoorbeeld fietsen. Autorijden Zelf autorijden is toegestaan, tenzij er sprake is van hartschade. In dat geval mag u 4 weken niet autorijden. Douchen Geen bezwaar. Bad Na 1 week. Fietsen Na 1 week, indien dit weer vertrouwd voelt. Ga vooruit: BEWEEG!'}}}",Wat is het advies met betrekking tot autorijden na ontslag uit het ziekenhuis?,"U mag zelf autorijden na ontslag uit het ziekenhuis, tenzij er sprake is van hartschade. In dat geval mag u 4 weken niet autorijden.",088 708 33 00
25,"{'Postoperatieve ileus': {'Ontslaginformatie voor patiënten na een hartinfarct en_of dotterbehandeling': {'1': '2 3 4 Ontslag \n- Ontslaggesprek met verpleegkundige op de afdeling. \n- Medicatie ophalen bij de apotheek (ook vragen om medicatieoverzicht). Zelf bewegen Bewegen = herstellen! Hanteer de leefregels! (z.o.z.) Controle bij de nazorgpoli of cardioloog Binnen 2 weken na ontslag ontvangt u een afspraak bij de verpleegkundig specialist op de nazorgpoli. Tijdens deze afspraak wordt beoordeeld of u voor de vervolgcontroles bij de verpleegkundig specialist of bij een cardioloog onder controle blijft. Neem uw medicatieoverzicht mee naar de afspraak. Hartrevalidatie \n- Intake hartrevalidatie, afspraak volgt binnen 4 weken. \n- Nog geen afspraak ontvangen na 3 tot 4 weken? Neem dan contact op met secretariaat cardiologie ZGT \n- De hartrevalidatie wordt vergoed vanuit de basisverzekering. \n- Informatie en veelgestelde vragen: www.zgt.nl/hartrevalidatie Ga vooruit: BEWEEG!', 'i': 'Contactgegevens Bij vragen of klachten, tot 14 dagen na ontslag, kunt u contact opnemen. Tijdens kantoortijden: polikliniek cardiologie. Telefoonnummer: 088 708 33 00 (maandag t/m vrijdag van 8.00 - 12.00 uur en van 13.00 - 16.30 uur) Buiten kantoortijden: afdeling cardiologie. Telefoonnummer: 088 708 37 94 E il h t lid ti t l Wandelen Het maken van een wandeling is toegestaan en raden wij u zelfs aan. Begin met dagelijks een wandeling en breid dit uit in frequentie en tijd. Luister naar eigen lichaam! Bij ontslag uit het ziekenhuis mag u alle inspanningen verrichten die u zou willen, verdeeld over de dag. Begin bijvoorbeeld met wandelen en lichte huishoudelijke werkzaamheden. Gaat dit goed? Breid dit uit met bijvoorbeeld fietsen. Autorijden Zelf autorijden is toegestaan, tenzij er sprake is van hartschade. In dat geval mag u 4 weken niet autorijden. Douchen Geen bezwaar. Bad Na 1 week. Fietsen Na 1 week, indien dit weer vertrouwd voelt. Ga vooruit: BEWEEG!'}}}",Wat is het telefoonnummer voor de polikliniek cardiologie tijdens kantoortijden?,Het telefoonnummer voor de polikliniek cardiologie tijdens kantoortijden is 088 708 33 00 (maandag t/m vrijdag van 8.00 - 12.00 uur en van 13.00 - 16.30 uur).,088 708 37 94
26,"{'Postoperatieve ileus': {'Ontslaginformatie voor patiënten na een hartinfarct en_of dotterbehandeling': {'1': '2 3 4 Ontslag \n- Ontslaggesprek met verpleegkundige op de afdeling. \n- Medicatie ophalen bij de apotheek (ook vragen om medicatieoverzicht). Zelf bewegen Bewegen = herstellen! Hanteer de leefregels! (z.o.z.) Controle bij de nazorgpoli of cardioloog Binnen 2 weken na ontslag ontvangt u een afspraak bij de verpleegkundig specialist op de nazorgpoli. Tijdens deze afspraak wordt beoordeeld of u voor de vervolgcontroles bij de verpleegkundig specialist of bij een cardioloog onder controle blijft. Neem uw medicatieoverzicht mee naar de afspraak. Hartrevalidatie \n- Intake hartrevalidatie, afspraak volgt binnen 4 weken. \n- Nog geen afspraak ontvangen na 3 tot 4 weken? Neem dan contact op met secretariaat cardiologie ZGT \n- De hartrevalidatie wordt vergoed vanuit de basisverzekering. \n- Informatie en veelgestelde vragen: www.zgt.nl/hartrevalidatie Ga vooruit: BEWEEG!', 'i': 'Contactgegevens Bij vragen of klachten, tot 14 dagen na ontslag, kunt u contact opnemen. Tijdens kantoortijden: polikliniek cardiologie. Telefoonnummer: 088 708 33 00 (maandag t/m vrijdag van 8.00 - 12.00 uur en van 13.00 - 16.30 uur) Buiten kantoortijden: afdeling cardiologie. Telefoonnummer: 088 708 37 94 E il h t lid ti t l Wandelen Het maken van een wandeling is toegestaan en raden wij u zelfs aan. Begin met dagelijks een wandeling en breid dit uit in frequentie en tijd. Luister naar eigen lichaam! Bij ontslag uit het ziekenhuis mag u alle inspanningen verrichten die u zou willen, verdeeld over de dag. Begin bijvoorbeeld met wandelen en lichte huishoudelijke werkzaamheden. Gaat dit goed? Breid dit uit met bijvoorbeeld fietsen. Autorijden Zelf autorijden is toegestaan, tenzij er sprake is van hartschade. In dat geval mag u 4 weken niet autorijden. Douchen Geen bezwaar. Bad Na 1 week. Fietsen Na 1 week, indien dit weer vertrouwd voelt. Ga vooruit: BEWEEG!'}}}",Wat is het telefoonnummer voor de afdeling cardiologie buiten kantoortijden?,Het telefoonnummer voor de afdeling cardiologie buiten kantoortijden is 088 708 37 94.,088 708 37 94
27,"{'Postoperatieve ileus': {'Ontslaginformatie voor patiënten na een hartinfarct en_of dotterbehandeling': {'1': '2 3 4 Ontslag \n- Ontslaggesprek met verpleegkundige op de afdeling. \n- Medicatie ophalen bij de apotheek (ook vragen om medicatieoverzicht). Zelf bewegen Bewegen = herstellen! Hanteer de leefregels! (z.o.z.) Controle bij de nazorgpoli of cardioloog Binnen 2 weken na ontslag ontvangt u een afspraak bij de verpleegkundig specialist op de nazorgpoli. Tijdens deze afspraak wordt beoordeeld of u voor de vervolgcontroles bij de verpleegkundig specialist of bij een cardioloog onder controle blijft. Neem uw medicatieoverzicht mee naar de afspraak. Hartrevalidatie \n- Intake hartrevalidatie, afspraak volgt binnen 4 weken. \n- Nog geen afspraak ontvangen na 3 tot 4 weken? Neem dan contact op met secretariaat cardiologie ZGT \n- De hartrevalidatie wordt vergoed vanuit de basisverzekering. \n- Informatie en veelgestelde vragen: www.zgt.nl/hartrevalidatie Ga vooruit: BEWEEG!', 'i': 'Contactgegevens Bij vragen of klachten, tot 14 dagen na ontslag, kunt u contact opnemen. Tijdens kantoortijden: polikliniek cardiologie. Telefoonnummer: 088 708 33 00 (maandag t/m vrijdag van 8.00 - 12.00 uur en van 13.00 - 16.30 uur) Buiten kantoortijden: afdeling cardiologie. Telefoonnummer: 088 708 37 94 E il h t lid ti t l Wandelen Het maken van een wandeling is toegestaan en raden wij u zelfs aan. Begin met dagelijks een wandeling en breid dit uit in frequentie en tijd. Luister naar eigen lichaam! Bij ontslag uit het ziekenhuis mag u alle inspanningen verrichten die u zou willen, verdeeld over de dag. Begin bijvoorbeeld met wandelen en lichte huishoudelijke werkzaamheden. Gaat dit goed? Breid dit uit met bijvoorbeeld fietsen. Autorijden Zelf autorijden is toegestaan, tenzij er sprake is van hartschade. In dat geval mag u 4 weken niet autorijden. Douchen Geen bezwaar. Bad Na 1 week. Fietsen Na 1 week, indien dit weer vertrouwd voelt. Ga vooruit: BEWEEG!'}}}",Kan ik autorijden na een hartinfarct of dotterbehandeling?,"Zelf autorijden is toegestaan na een hartinfarct of dotterbehandeling, tenzij er sprake is van hartschade. In dat geval mag u 4 weken niet autorijden.",088 708 37 94
28,"{'Postoperatieve ileus': {'Ontslaginformatie voor patiënten na een hartinfarct en_of dotterbehandeling': {'1': '2 3 4 Ontslag \n- Ontslaggesprek met verpleegkundige op de afdeling. \n- Medicatie ophalen bij de apotheek (ook vragen om medicatieoverzicht). Zelf bewegen Bewegen = herstellen! Hanteer de leefregels! (z.o.z.) Controle bij de nazorgpoli of cardioloog Binnen 2 weken na ontslag ontvangt u een afspraak bij de verpleegkundig specialist op de nazorgpoli. Tijdens deze afspraak wordt beoordeeld of u voor de vervolgcontroles bij de verpleegkundig specialist of bij een cardioloog onder controle blijft. Neem uw medicatieoverzicht mee naar de afspraak. Hartrevalidatie \n- Intake hartrevalidatie, afspraak volgt binnen 4 weken. \n- Nog geen afspraak ontvangen na 3 tot 4 weken? Neem dan contact op met secretariaat cardiologie ZGT \n- De hartrevalidatie wordt vergoed vanuit de basisverzekering. \n- Informatie en veelgestelde vragen: www.zgt.nl/hartrevalidatie Ga vooruit: BEWEEG!', 'i': 'Contactgegevens Bij vragen of klachten, tot 14 dagen na ontslag, kunt u contact opnemen. Tijdens kantoortijden: polikliniek cardiologie. Telefoonnummer: 088 708 33 00 (maandag t/m vrijdag van 8.00 - 12.00 uur en van 13.00 - 16.30 uur) Buiten kantoortijden: afdeling cardiologie. Telefoonnummer: 088 708 37 94 E il h t lid ti t l Wandelen Het maken van een wandeling is toegestaan en raden wij u zelfs aan. Begin met dagelijks een wandeling en breid dit uit in frequentie en tijd. Luister naar eigen lichaam! Bij ontslag uit het ziekenhuis mag u alle inspanningen verrichten die u zou willen, verdeeld over de dag. Begin bijvoorbeeld met wandelen en lichte huishoudelijke werkzaamheden. Gaat dit goed? Breid dit uit met bijvoorbeeld fietsen. Autorijden Zelf autorijden is toegestaan, tenzij er sprake is van hartschade. In dat geval mag u 4 weken niet autorijden. Douchen Geen bezwaar. Bad Na 1 week. Fietsen Na 1 week, indien dit weer vertrouwd voelt. Ga vooruit: BEWEEG!'}}}",Is douchen toegestaan na een hartinfarct of dotterbehandeling?,"Ja, er is geen bezwaar tegen het nemen van een douche na een hartinfarct of dotterbehandeling.",088 708 37 94
29,"{'Postoperatieve ileus': {'Ontslaginformatie voor patiënten na een hartinfarct en_of dotterbehandeling': {'1': '2 3 4 Ontslag \n- Ontslaggesprek met verpleegkundige op de afdeling. \n- Medicatie ophalen bij de apotheek (ook vragen om medicatieoverzicht). Zelf bewegen Bewegen = herstellen! Hanteer de leefregels! (z.o.z.) Controle bij de nazorgpoli of cardioloog Binnen 2 weken na ontslag ontvangt u een afspraak bij de verpleegkundig specialist op de nazorgpoli. Tijdens deze afspraak wordt beoordeeld of u voor de vervolgcontroles bij de verpleegkundig specialist of bij een cardioloog onder controle blijft. Neem uw medicatieoverzicht mee naar de afspraak. Hartrevalidatie \n- Intake hartrevalidatie, afspraak volgt binnen 4 weken. \n- Nog geen afspraak ontvangen na 3 tot 4 weken? Neem dan contact op met secretariaat cardiologie ZGT \n- De hartrevalidatie wordt vergoed vanuit de basisverzekering. \n- Informatie en veelgestelde vragen: www.zgt.nl/hartrevalidatie Ga vooruit: BEWEEG!', 'i': 'Contactgegevens Bij vragen of klachten, tot 14 dagen na ontslag, kunt u contact opnemen. Tijdens kantoortijden: polikliniek cardiologie. Telefoonnummer: 088 708 33 00 (maandag t/m vrijdag van 8.00 - 12.00 uur en van 13.00 - 16.30 uur) Buiten kantoortijden: afdeling cardiologie. Telefoonnummer: 088 708 37 94 E il h t lid ti t l Wandelen Het maken van een wandeling is toegestaan en raden wij u zelfs aan. Begin met dagelijks een wandeling en breid dit uit in frequentie en tijd. Luister naar eigen lichaam! Bij ontslag uit het ziekenhuis mag u alle inspanningen verrichten die u zou willen, verdeeld over de dag. Begin bijvoorbeeld met wandelen en lichte huishoudelijke werkzaamheden. Gaat dit goed? Breid dit uit met bijvoorbeeld fietsen. Autorijden Zelf autorijden is toegestaan, tenzij er sprake is van hartschade. In dat geval mag u 4 weken niet autorijden. Douchen Geen bezwaar. Bad Na 1 week. Fietsen Na 1 week, indien dit weer vertrouwd voelt. Ga vooruit: BEWEEG!'}}}",Wanneer mag ik weer fietsen na een hartinfarct of dotterbehandeling?,"U mag na 1 week weer fietsen, indien dit weer vertrouwd voelt.",088 708 37 94
30,"{'EEG na slaapdeprivatie': {'Sedatie en pijnstilling op de spoedeisende hulp': {'Sedatie en pijnstilling op de spoedeisende hulp': 'bij volwassenen Uw arts heeft met u een behandeling of onderzoek onder sedatie en/of pijnstilling afgesproken op de spoedeisende hulp (SEH). In deze folder krijgt u hier de informatie over de sedatie en/of pijnstilling.', 'De aandoening Wat is sedatie?': 'U krijgt op de afdeling spoedeisende hulp een kortdurende medische ingreep die zonder goede verdoving pijnlijk kan zijn. De arts heeft met u besproken dat u naast pijnmedicatie ook medicijnen krijgt om u slaperig te maken. Dit wordt sedatie genoemd. Sedatie is het verlagen van uw bewustzijn. Met behulp van sedatie kunt u zich beter ontspannen waardoor de ingreep beter uitgevoerd kan worden.', 'Wat gaat er gebeuren?': 'Allereerst zal de verpleegkundige bij u een infuus prikken zodat de medicatie via het infuus kan worden toegediend. Om u tijdens de ingreep in de gaten te kunnen houden wordt u aangesloten op een monitor die uw bloeddruk, hartslag en zuurstofgehalte meet. Daarnaast krijgt u extra zuurstof toegediend. Na het toedienen van de medicatie valt u vrij snel in slaap en volgt de ingreep. Kort hierna wordt u weer wakker, maar kunt u zich nog wel iets slaperig voelen. Ook kunt u zich de ingreep zelf door de gegeven medicatie vaak niet goed meer herinneren.', 'Wanneer mag ik naar huis?': 'Na de behandeling mag u weer naar huis indien: \n- u goed wakker bent \n- uw hartslag en bloeddruk goed zijn \n- u kunt drinken en niet misselijk bent \n- u rechtop kunt zitten en niet erg duizelig bent Indien nodig krijgt u een recept voor pijnstillers mee naar huis. U mag tot 24 uur na de sedatie zelf geen voertuigen/machines te besturen. Daarnaast wordt u geadviseerd geen belangrijke beslissingen te nemen in de eerste 24 uur.', 'Wanneer moet ik een arts waarschuwen': 'Als u in de eerste 24 uur na de sedatie last krijgt van onderstaande klachten, belt u dan naar de spoedeisende hulp: \n- misselijkheid en/of braken \n- andere klachten die u niet vertrouwt De afdeling spoedeisende hulp is hiervoor 24 uur per dag bereikbaar.', 'Vragen en telefonisch contact': 'Heeft u na het lezen van deze folder nog vragen? Neem dan telefonisch contact met ons op, telefoonnummer 088 708 78 78. Wij helpen u graag.', 'Check uw dossier op MijnZGT': 'MijnZGT is het patiëntenportaal van ZGT. U kunt op MijnZGT via uw computer, tablet of mobiel delen van uw medisch dossier inzien, persoonlijke gegevens checken, of bijvoorbeeld vragenlijsten invullen die wij voor u hebben klaargezet. Kijk voor meer informatie op: zgt.nl/mijnzgt'}}}",Hoe kan ik telefonisch contact opnemen met de spoedeisende hulp?,U kunt telefonisch contact opnemen met de spoedeisende hulp via het telefoonnummer 088 708 78 78.,088 708 78 78
