,Document,Question,Answer,Question-Context N-gram Similarity,Answer-Context N-gram Similarity,Question-Context BLEU,Answer-Context BLEU,Question-Context ROUGE,Answer-Context ROUGE,Question-Context ROUGE-L F1,Answer-Context ROUGE-L F1
315,"Voedingspatroon Veel kleuters krijgen vezelarme tussendoortjes zoals rijstwafels en soepstengels. Ook oudere kinderen eten vaak vezelarme producten zoals witbrood, beschuit, witte rijst en macaroni. Deze producten verhogen de kans op vaste ontlasting. U kunt een kind met verhoogde kans op obstipatie beter vezelrijke voeding geven. Vezels zijn onverteerbare stoffen die in plantaardige producten zitten. Twee soorten vezels zijn van belang voor een goede stoelgang: 
- oplosbare vezels; 
- niet-oplosbare vezels. Oplosbare vezels zitten in groenten, fruit en peulvruchten. In de darm werken bacteriën op deze vezels in. Hierbij komen stoffen vrij die de darmen tot beweging aanzetten en de ontlasting smeuïger maken. Tegelijkertijd zorgen ze ervoor dat de ontlasting niet te dun wordt. Niet-oplosbare vezels komen voor in volkoren producten en noten. Deze vezels zuigen in de darm water op. Hierdoor wordt de ontlasting zacht. Omdat de werking van deze vezels berust op de opname van water, is het van belang dat uw kind voldoende drinkt. Bruin brood is beter dan wit brood, groenten en fruit bevatten veel vezels en vergemakkelijken de ontlasting. De aanbevolen voedingsmiddelen op een rijtje: 
- Rauwkost; 
- Sla; 
- Fruit; 
- Bruin Brood; 
- Meergranen rijst, macaroni en spaghetti; 
- Andere meergranen producten.",Welke producten verhogen de kans op vaste ontlasting bij kinderen?,"Vezelarme tussendoortjes zoals rijstwafels en soepstengels, en vezelarme producten zoals witbrood, beschuit, witte rijst en macaroni verhogen de kans op vaste ontlasting bij kinderen.",0.03389830508474576,0.11764705882352941,1.5974998439521888e-09,0.0005345463159489555,"[{'rouge-1': {'r': 0.056, 'p': 0.7, 'f': 0.10370370233196159}, 'rouge-2': {'r': 0.031578947368421054, 'p': 0.6666666666666666, 'f': 0.0603015066740739}, 'rouge-l': {'r': 0.056, 'p': 0.7, 'f': 0.10370370233196159}}]","[{'rouge-1': {'r': 0.144, 'p': 0.8571428571428571, 'f': 0.2465753400028148}, 'rouge-2': {'r': 0.08421052631578947, 'p': 0.6956521739130435, 'f': 0.15023473985761202}, 'rouge-l': {'r': 0.136, 'p': 0.8095238095238095, 'f': 0.2328767098658285}}]",0.10370370233196159,0.2328767098658285
316,"Voedingspatroon Veel kleuters krijgen vezelarme tussendoortjes zoals rijstwafels en soepstengels. Ook oudere kinderen eten vaak vezelarme producten zoals witbrood, beschuit, witte rijst en macaroni. Deze producten verhogen de kans op vaste ontlasting. U kunt een kind met verhoogde kans op obstipatie beter vezelrijke voeding geven. Vezels zijn onverteerbare stoffen die in plantaardige producten zitten. Twee soorten vezels zijn van belang voor een goede stoelgang: 
- oplosbare vezels; 
- niet-oplosbare vezels. Oplosbare vezels zitten in groenten, fruit en peulvruchten. In de darm werken bacteriën op deze vezels in. Hierbij komen stoffen vrij die de darmen tot beweging aanzetten en de ontlasting smeuïger maken. Tegelijkertijd zorgen ze ervoor dat de ontlasting niet te dun wordt. Niet-oplosbare vezels komen voor in volkoren producten en noten. Deze vezels zuigen in de darm water op. Hierdoor wordt de ontlasting zacht. Omdat de werking van deze vezels berust op de opname van water, is het van belang dat uw kind voldoende drinkt. Bruin brood is beter dan wit brood, groenten en fruit bevatten veel vezels en vergemakkelijken de ontlasting. De aanbevolen voedingsmiddelen op een rijtje: 
- Rauwkost; 
- Sla; 
- Fruit; 
- Bruin Brood; 
- Meergranen rijst, macaroni en spaghetti; 
- Andere meergranen producten.",Wat zijn de twee soorten vezels die van belang zijn voor een goede stoelgang?,De twee soorten vezels die van belang zijn voor een goede stoelgang zijn oplosbare vezels en niet-oplosbare vezels.,0.04310344827586207,0.07758620689655173,1.674856855399339e-07,4.490255090187611e-06,"[{'rouge-1': {'r': 0.08, 'p': 0.7692307692307693, 'f': 0.14492753452530982}, 'rouge-2': {'r': 0.021052631578947368, 'p': 0.3076923076923077, 'f': 0.03940886579630667}, 'rouge-l': {'r': 0.08, 'p': 0.7692307692307693, 'f': 0.14492753452530982}}]","[{'rouge-1': {'r': 0.104, 'p': 0.8666666666666667, 'f': 0.1857142838010204}, 'rouge-2': {'r': 0.031578947368421054, 'p': 0.35294117647058826, 'f': 0.057971012985133887}, 'rouge-l': {'r': 0.096, 'p': 0.8, 'f': 0.17142856951530613}}]",0.14492753452530982,0.17142856951530613
319,"Voedingspatroon Veel kleuters krijgen vezelarme tussendoortjes zoals rijstwafels en soepstengels. Ook oudere kinderen eten vaak vezelarme producten zoals witbrood, beschuit, witte rijst en macaroni. Deze producten verhogen de kans op vaste ontlasting. U kunt een kind met verhoogde kans op obstipatie beter vezelrijke voeding geven. Vezels zijn onverteerbare stoffen die in plantaardige producten zitten. Twee soorten vezels zijn van belang voor een goede stoelgang: 
- oplosbare vezels; 
- niet-oplosbare vezels. Oplosbare vezels zitten in groenten, fruit en peulvruchten. In de darm werken bacteriën op deze vezels in. Hierbij komen stoffen vrij die de darmen tot beweging aanzetten en de ontlasting smeuïger maken. Tegelijkertijd zorgen ze ervoor dat de ontlasting niet te dun wordt. Niet-oplosbare vezels komen voor in volkoren producten en noten. Deze vezels zuigen in de darm water op. Hierdoor wordt de ontlasting zacht. Omdat de werking van deze vezels berust op de opname van water, is het van belang dat uw kind voldoende drinkt. Bruin brood is beter dan wit brood, groenten en fruit bevatten veel vezels en vergemakkelijken de ontlasting. De aanbevolen voedingsmiddelen op een rijtje: 
- Rauwkost; 
- Sla; 
- Fruit; 
- Bruin Brood; 
- Meergranen rijst, macaroni en spaghetti; 
- Andere meergranen producten.",Waarom is het belangrijk dat een kind voldoende water drinkt bij het consumeren van niet-oplosbare vezels?,Niet-oplosbare vezels zuigen in de darm water op. Hierdoor wordt de ontlasting zacht. Het is daarom belangrijk dat een kind voldoende water drinkt bij het eten van niet-oplosbare vezels.,0.01639344262295082,0.06504065040650407,3.850633957148541e-160,0.0011759265897330164,"[{'rouge-1': {'r': 0.08, 'p': 0.6666666666666666, 'f': 0.14285714094387758}, 'rouge-2': {'r': 0.015789473684210527, 'p': 0.2, 'f': 0.02926829132659138}, 'rouge-l': {'r': 0.072, 'p': 0.6, 'f': 0.1285714266581633}}]","[{'rouge-1': {'r': 0.176, 'p': 0.8461538461538461, 'f': 0.29139072562606905}, 'rouge-2': {'r': 0.07894736842105263, 'p': 0.5357142857142857, 'f': 0.1376146766602138}, 'rouge-l': {'r': 0.16, 'p': 0.7692307692307693, 'f': 0.26490065940090346}}]",0.1285714266581633,0.26490065940090346
320,"Adalimumab mag u meestal in de periode voor, tijdens en na een tandheelkundige ingreep blijven gebruiken. Bij bloedige ingrepen kan wel geadviseerd worden om antibiotica te gebruiken, om het risico op een infectie te verlagen. Het is daarom verstandig om uw reumatoloog tijdig te informeren dat u een ingreep moet ondergaan. Informeer tijdig degene die de ingreep uitvoert dat u wordt behandeld met adalimumab.",Mag u adalimumab blijven gebruiken tijdens een tandheelkundige ingreep?,"Ja, u mag adalimumab meestal blijven gebruiken tijdens en rondom een tandheelkundige ingreep. Het kan echter worden geadviseerd om antibiotica te gebruiken bij bloedige ingrepen om het risico op infecties te verlagen. Raadpleeg uw reumatoloog en informeer tijdig degene die de ingreep uitvoert over uw behandeling met adalimumab.",0.08823529411764706,0.2127659574468085,1.293566925349282e-80,0.20782305952130312,"[{'rouge-1': {'r': 0.13725490196078433, 'p': 0.7777777777777778, 'f': 0.23333333078333335}, 'rouge-2': {'r': 0.03225806451612903, 'p': 0.25, 'f': 0.057142855118367426}, 'rouge-l': {'r': 0.09803921568627451, 'p': 0.5555555555555556, 'f': 0.1666666641166667}}]","[{'rouge-1': {'r': 0.6274509803921569, 'p': 0.7804878048780488, 'f': 0.6956521689721173}, 'rouge-2': {'r': 0.2903225806451613, 'p': 0.3829787234042553, 'f': 0.3302752244524872}, 'rouge-l': {'r': 0.5294117647058824, 'p': 0.6585365853658537, 'f': 0.5869565167982042}}]",0.1666666641166667,0.5869565167982042
321,"Adalimumab mag u meestal in de periode voor, tijdens en na een tandheelkundige ingreep blijven gebruiken. Bij bloedige ingrepen kan wel geadviseerd worden om antibiotica te gebruiken, om het risico op een infectie te verlagen. Het is daarom verstandig om uw reumatoloog tijdig te informeren dat u een ingreep moet ondergaan. Informeer tijdig degene die de ingreep uitvoert dat u wordt behandeld met adalimumab.",Welk advies wordt gegeven bij bloedige tandheelkundige ingrepen?,Bij bloedige tandheelkundige ingrepen kan het worden geadviseerd om antibiotica te gebruiken om het risico op infecties te verlagen. Dit advies geldt vooral voor patiënten die behandeld worden met adalimumab.,0.0,0.0975609756097561,1.6939914171114097e-234,0.07672042588576032,"[{'rouge-1': {'r': 0.058823529411764705, 'p': 0.375, 'f': 0.10169491291008335}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.058823529411764705, 'p': 0.375, 'f': 0.10169491291008335}}]","[{'rouge-1': {'r': 0.37254901960784315, 'p': 0.7307692307692307, 'f': 0.4935064890335638}, 'rouge-2': {'r': 0.14516129032258066, 'p': 0.3103448275862069, 'f': 0.1978021934597272}, 'rouge-l': {'r': 0.35294117647058826, 'p': 0.6923076923076923, 'f': 0.46753246305953794}}]",0.10169491291008335,0.46753246305953794
322,"Adalimumab mag u meestal in de periode voor, tijdens en na een tandheelkundige ingreep blijven gebruiken. Bij bloedige ingrepen kan wel geadviseerd worden om antibiotica te gebruiken, om het risico op een infectie te verlagen. Het is daarom verstandig om uw reumatoloog tijdig te informeren dat u een ingreep moet ondergaan. Informeer tijdig degene die de ingreep uitvoert dat u wordt behandeld met adalimumab.",Wat zijn belangrijke zaken om te melden aan uw reumatoloog voor een tandheelkundige ingreep?,Het is verstandig om uw reumatoloog tijdig te informeren over een aankomende tandheelkundige ingreep. Vermeld hierbij ook welke ingreep u zult ondergaan.,0.02857142857142857,0.10256410256410256,9.559499530560547e-80,0.04868412135476088,"[{'rouge-1': {'r': 0.11764705882352941, 'p': 0.42857142857142855, 'f': 0.184615381235503}, 'rouge-2': {'r': 0.03225806451612903, 'p': 0.15384615384615385, 'f': 0.05333333046755571}, 'rouge-l': {'r': 0.11764705882352941, 'p': 0.42857142857142855, 'f': 0.184615381235503}}]","[{'rouge-1': {'r': 0.27450980392156865, 'p': 0.6666666666666666, 'f': 0.3888888847569445}, 'rouge-2': {'r': 0.12903225806451613, 'p': 0.38095238095238093, 'f': 0.1927710805574104}, 'rouge-l': {'r': 0.27450980392156865, 'p': 0.6666666666666666, 'f': 0.3888888847569445}}]",0.184615381235503,0.3888888847569445
325,"Bekkenbodemklachten komen vaak voor, maar er wordt weinig over gepraat. Veel vrouwen vinden het lastig om problemen met plassen, de ontlasting of vrijen te bespreken. Ook denken veel vrouwen dat er weinig aan hun klachten te doen is. Of dat deze horen bij het ouder worden. Toch zijn er goede behandelingen voor bekkenbodemklachten. Het is daarom goed om uw klachten met uw huisarts, gynaecoloog of bekkenfysiotherapeut te bespreken.",Welke klachten horen bij bekkenbodemklachten?,"Bij bekkenbodemklachten kunnen problemen met plassen, de ontlasting of vrijen voorkomen.",0.03333333333333333,0.1,6.542677755755515e-160,0.004303882053565398,"[{'rouge-1': {'r': 0.05660377358490566, 'p': 0.6, 'f': 0.10344827428656364}, 'rouge-2': {'r': 0.015151515151515152, 'p': 0.25, 'f': 0.028571427493877595}, 'rouge-l': {'r': 0.05660377358490566, 'p': 0.6, 'f': 0.10344827428656364}}]","[{'rouge-1': {'r': 0.1509433962264151, 'p': 0.7272727272727273, 'f': 0.24999999715332033}, 'rouge-2': {'r': 0.09090909090909091, 'p': 0.6, 'f': 0.1578947345567867}, 'rouge-l': {'r': 0.1509433962264151, 'p': 0.7272727272727273, 'f': 0.24999999715332033}}]",0.10344827428656364,0.24999999715332033
326,"Bekkenbodemklachten komen vaak voor, maar er wordt weinig over gepraat. Veel vrouwen vinden het lastig om problemen met plassen, de ontlasting of vrijen te bespreken. Ook denken veel vrouwen dat er weinig aan hun klachten te doen is. Of dat deze horen bij het ouder worden. Toch zijn er goede behandelingen voor bekkenbodemklachten. Het is daarom goed om uw klachten met uw huisarts, gynaecoloog of bekkenfysiotherapeut te bespreken.",Waarom wordt er weinig over bekkenbodemklachten gesproken?,Veel vrouwen vinden het lastig om hierover te praten en denken dat er weinig aan te doen is.,0.0,0.0625,1.7411464533443635e-158,0.024774412375361002,"[{'rouge-1': {'r': 0.09433962264150944, 'p': 0.7142857142857143, 'f': 0.1666666646055556}, 'rouge-2': {'r': 0.030303030303030304, 'p': 0.3333333333333333, 'f': 0.055555554027777815}, 'rouge-l': {'r': 0.09433962264150944, 'p': 0.7142857142857143, 'f': 0.1666666646055556}}]","[{'rouge-1': {'r': 0.2641509433962264, 'p': 0.8235294117647058, 'f': 0.39999999632244904}, 'rouge-2': {'r': 0.15151515151515152, 'p': 0.5882352941176471, 'f': 0.24096385216431995}, 'rouge-l': {'r': 0.24528301886792453, 'p': 0.7647058823529411, 'f': 0.3714285677510205}}]",0.1666666646055556,0.3714285677510205
327,"Bekkenbodemklachten komen vaak voor, maar er wordt weinig over gepraat. Veel vrouwen vinden het lastig om problemen met plassen, de ontlasting of vrijen te bespreken. Ook denken veel vrouwen dat er weinig aan hun klachten te doen is. Of dat deze horen bij het ouder worden. Toch zijn er goede behandelingen voor bekkenbodemklachten. Het is daarom goed om uw klachten met uw huisarts, gynaecoloog of bekkenfysiotherapeut te bespreken.",Kunnen bekkenbodemklachten behandeld worden?,Er zijn goede behandelingen voor bekkenbodemklachten.,0.0,0.07142857142857142,8.075748436240557e-238,2.9212988145945457e-05,"[{'rouge-1': {'r': 0.018867924528301886, 'p': 0.25, 'f': 0.03508771799322873}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.018867924528301886, 'p': 0.25, 'f': 0.03508771799322873}}]","[{'rouge-1': {'r': 0.09433962264150944, 'p': 0.8333333333333334, 'f': 0.16949152359666766}, 'rouge-2': {'r': 0.045454545454545456, 'p': 0.6, 'f': 0.08450704094425711}, 'rouge-l': {'r': 0.09433962264150944, 'p': 0.8333333333333334, 'f': 0.16949152359666766}}]",0.03508771799322873,0.16949152359666766
328,"Bekkenbodemklachten komen vaak voor, maar er wordt weinig over gepraat. Veel vrouwen vinden het lastig om problemen met plassen, de ontlasting of vrijen te bespreken. Ook denken veel vrouwen dat er weinig aan hun klachten te doen is. Of dat deze horen bij het ouder worden. Toch zijn er goede behandelingen voor bekkenbodemklachten. Het is daarom goed om uw klachten met uw huisarts, gynaecoloog of bekkenfysiotherapeut te bespreken.",Met wie kan ik mijn klachten bespreken?,"U kunt uw klachten bespreken met uw huisarts, gynaecoloog of bekkenfysiotherapeut.",0.0,0.06451612903225806,2.3131479924944048e-235,0.003982774498073257,"[{'rouge-1': {'r': 0.018867924528301886, 'p': 0.14285714285714285, 'f': 0.03333333127222235}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.018867924528301886, 'p': 0.14285714285714285, 'f': 0.03333333127222235}}]","[{'rouge-1': {'r': 0.1509433962264151, 'p': 0.8, 'f': 0.25396825129755607}, 'rouge-2': {'r': 0.09090909090909091, 'p': 0.6, 'f': 0.1578947345567867}, 'rouge-l': {'r': 0.1320754716981132, 'p': 0.7, 'f': 0.22222221955152432}}]",0.03333333127222235,0.22222221955152432
330,"- Verkoudheid veroorzaakt door virussen; 
- Weersverandering; 
- Temperatuursveranderingen; 
- Inspanning; 
- Tabaksrook; 
- Dampen; 
- Geurtjes. Het slijmvlies van de luchtwegen reageert op deze prikkels met een ontsteking, hierdoor trekken de spieren rond de luchtpijp zich plotseling samen. Uw kind wordt kortademig door een bemoeilijkte uitademing. Dat is te horen als een piepend geluid.",Wat is de oorzaak van verkoudheid bij kinderen?,"Verkoudheid bij kinderen wordt veroorzaakt door virussen, weersverandering, temperatuursveranderingen, inspanning, tabaksrook, dampen en geurtjes.",0.0,0.2413793103448276,2.4586476325348836e-234,2.6045145201543714e-79,"[{'rouge-1': {'r': 0.06818181818181818, 'p': 0.375, 'f': 0.11538461278106514}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.045454545454545456, 'p': 0.25, 'f': 0.07692307431952672}}]","[{'rouge-1': {'r': 0.09090909090909091, 'p': 0.2857142857142857, 'f': 0.13793103082045194}, 'rouge-2': {'r': 0.018518518518518517, 'p': 0.07692307692307693, 'f': 0.02985074314101169}, 'rouge-l': {'r': 0.09090909090909091, 'p': 0.2857142857142857, 'f': 0.13793103082045194}}]",0.07692307431952672,0.13793103082045194
331,"- Verkoudheid veroorzaakt door virussen; 
- Weersverandering; 
- Temperatuursveranderingen; 
- Inspanning; 
- Tabaksrook; 
- Dampen; 
- Geurtjes. Het slijmvlies van de luchtwegen reageert op deze prikkels met een ontsteking, hierdoor trekken de spieren rond de luchtpijp zich plotseling samen. Uw kind wordt kortademig door een bemoeilijkte uitademing. Dat is te horen als een piepend geluid.",Hoe reageert het slijmvlies van de luchtwegen op prikkels?,"Het slijmvlies van de luchtwegen reageert op prikkels met een ontsteking, waardoor de spieren rond de luchtpijp samentrekken en uw kind kortademig kan worden.",0.034482758620689655,0.22580645161290322,0.0011172634455759792,0.10991367034745776,"[{'rouge-1': {'r': 0.13636363636363635, 'p': 0.6666666666666666, 'f': 0.22641509152011394}, 'rouge-2': {'r': 0.05555555555555555, 'p': 0.375, 'f': 0.09677419130072845}, 'rouge-l': {'r': 0.11363636363636363, 'p': 0.5555555555555556, 'f': 0.18867924246351017}}]","[{'rouge-1': {'r': 0.36363636363636365, 'p': 0.7272727272727273, 'f': 0.4848484804040405}, 'rouge-2': {'r': 0.24074074074074073, 'p': 0.5652173913043478, 'f': 0.33766233347276103}, 'rouge-l': {'r': 0.36363636363636365, 'p': 0.7272727272727273, 'f': 0.4848484804040405}}]",0.18867924246351017,0.4848484804040405
332,"- Verkoudheid veroorzaakt door virussen; 
- Weersverandering; 
- Temperatuursveranderingen; 
- Inspanning; 
- Tabaksrook; 
- Dampen; 
- Geurtjes. Het slijmvlies van de luchtwegen reageert op deze prikkels met een ontsteking, hierdoor trekken de spieren rond de luchtpijp zich plotseling samen. Uw kind wordt kortademig door een bemoeilijkte uitademing. Dat is te horen als een piepend geluid.",Wat zijn de symptomen van kortademigheid bij kinderen?,"Kortademigheid bij kinderen kan worden herkend aan een piepend geluid tijdens het ademhalen, veroorzaakt door een bemoeilijkte uitademing.",0.0,0.058823529411764705,2.2216389269290618e-234,0.02641152284284433,"[{'rouge-1': {'r': 0.045454545454545456, 'p': 0.25, 'f': 0.07692307431952672}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.022727272727272728, 'p': 0.125, 'f': 0.038461535857988345}}]","[{'rouge-1': {'r': 0.1590909090909091, 'p': 0.4117647058823529, 'f': 0.22950819270088693}, 'rouge-2': {'r': 0.1111111111111111, 'p': 0.35294117647058826, 'f': 0.16901408086490782}, 'rouge-l': {'r': 0.1590909090909091, 'p': 0.4117647058823529, 'f': 0.22950819270088693}}]",0.038461535857988345,0.22950819270088693
333,"- Verkoudheid veroorzaakt door virussen; 
- Weersverandering; 
- Temperatuursveranderingen; 
- Inspanning; 
- Tabaksrook; 
- Dampen; 
- Geurtjes. Het slijmvlies van de luchtwegen reageert op deze prikkels met een ontsteking, hierdoor trekken de spieren rond de luchtpijp zich plotseling samen. Uw kind wordt kortademig door een bemoeilijkte uitademing. Dat is te horen als een piepend geluid.",Welke specifieke prikkels kunnen verkoudheid veroorzaken bij kinderen?,"Specifieke prikkels die verkoudheid kunnen veroorzaken bij kinderen zijn virussen, weersverandering, temperatuursveranderingen, inspanning, tabaksrook, dampen en geurtjes.",0.0,0.1875,1.868168209642889e-234,1.8140510514564397e-232,"[{'rouge-1': {'r': 0.022727272727272728, 'p': 0.125, 'f': 0.038461535857988345}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.022727272727272728, 'p': 0.125, 'f': 0.038461535857988345}}]","[{'rouge-1': {'r': 0.022727272727272728, 'p': 0.058823529411764705, 'f': 0.032786881225477515}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.022727272727272728, 'p': 0.058823529411764705, 'f': 0.032786881225477515}}]",0.038461535857988345,0.032786881225477515
334,"- Verkoudheid veroorzaakt door virussen; 
- Weersverandering; 
- Temperatuursveranderingen; 
- Inspanning; 
- Tabaksrook; 
- Dampen; 
- Geurtjes. Het slijmvlies van de luchtwegen reageert op deze prikkels met een ontsteking, hierdoor trekken de spieren rond de luchtpijp zich plotseling samen. Uw kind wordt kortademig door een bemoeilijkte uitademing. Dat is te horen als een piepend geluid.",Hoe kan de ademhaling van een kind bemoeilijkt worden door prikkels?,"De ademhaling van een kind kan bemoeilijkt worden door prikkels doordat het slijmvlies van de luchtwegen ontsteekt en de spieren rond de luchtpijp zich samentrekken, met kortademigheid als gevolg.",0.0,0.08108108108108109,1.7018671523809808e-233,0.08410100961331103,"[{'rouge-1': {'r': 0.11363636363636363, 'p': 0.45454545454545453, 'f': 0.18181817861818186}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.09090909090909091, 'p': 0.36363636363636365, 'f': 0.14545454225454552}}]","[{'rouge-1': {'r': 0.3181818181818182, 'p': 0.5384615384615384, 'f': 0.39999999533061226}, 'rouge-2': {'r': 0.14814814814814814, 'p': 0.2857142857142857, 'f': 0.19512194672218927}, 'rouge-l': {'r': 0.25, 'p': 0.4230769230769231, 'f': 0.31428570961632657}}]",0.14545454225454552,0.31428570961632657
336,"De operatie vindt plaats in ZGT locatie Hengelo. Op de dag van opname meldt u zich bij de receptie in het ziekenhuis. Vervolgens brengt een gastvrouw u naar de verpleegafdeling. Als u voor het opsporen van de schildwachtklier/poortwachterklier in aanmerking komt, gaat u eerst naar de polikliniek nucleaire geneeskunde. Soms vindt dit onderzoek een dag tevoren al plaats. De opnameduur is veelal één of twee dagen.",Waar moet ik naartoe als ik in aanmerking kom voor het onderzoek van de schildwachtklier/poortwachterklier?,"Indien u in aanmerking komt voor dit onderzoek, gaat u eerst naar de polikliniek nucleaire geneeskunde in ZGT locatie Hengelo.",0.0,0.18421052631578946,1.082342448211161e-79,0.062060938922492974,"[{'rouge-1': {'r': 0.14285714285714285, 'p': 0.5, 'f': 0.22222221876543213}, 'rouge-2': {'r': 0.046875, 'p': 0.21428571428571427, 'f': 0.07692307397764639}, 'rouge-l': {'r': 0.12244897959183673, 'p': 0.42857142857142855, 'f': 0.1904761870194004}}]","[{'rouge-1': {'r': 0.30612244897959184, 'p': 0.8333333333333334, 'f': 0.4477611901002451}, 'rouge-2': {'r': 0.171875, 'p': 0.5789473684210527, 'f': 0.2650602374335898}, 'rouge-l': {'r': 0.2857142857142857, 'p': 0.7777777777777778, 'f': 0.4179104438315884}}]",0.1904761870194004,0.4179104438315884
337,"De operatie vindt plaats in ZGT locatie Hengelo. Op de dag van opname meldt u zich bij de receptie in het ziekenhuis. Vervolgens brengt een gastvrouw u naar de verpleegafdeling. Als u voor het opsporen van de schildwachtklier/poortwachterklier in aanmerking komt, gaat u eerst naar de polikliniek nucleaire geneeskunde. Soms vindt dit onderzoek een dag tevoren al plaats. De opnameduur is veelal één of twee dagen.",Hoelang duurt een opname in ZGT locatie Hengelo?,"De opnameduur is meestal één of twee dagen, afhankelijk van de ingreep.",0.05405405405405406,0.05263157894736842,0.0002695341900743656,0.004454140753608397,"[{'rouge-1': {'r': 0.10204081632653061, 'p': 0.625, 'f': 0.1754385940781779}, 'rouge-2': {'r': 0.03125, 'p': 0.2857142857142857, 'f': 0.056338026391589024}, 'rouge-l': {'r': 0.10204081632653061, 'p': 0.625, 'f': 0.1754385940781779}}]","[{'rouge-1': {'r': 0.16326530612244897, 'p': 0.6666666666666666, 'f': 0.2622950788067724}, 'rouge-2': {'r': 0.078125, 'p': 0.45454545454545453, 'f': 0.13333333083022222}, 'rouge-l': {'r': 0.16326530612244897, 'p': 0.6666666666666666, 'f': 0.2622950788067724}}]",0.1754385940781779,0.2622950788067724
340,"Als de oorzaak van een delier behandeld wordt, neemt de verwardheid meestal weer af. De verwardheid kan enkele uren tot enkele dagen aanhouden. Soms duurt de verwardheid langer. Hoe lang de verwardheid duurt is afhankelijk van de volgende punten. 
- Het (op tijd) herkennen van een delier; 
- Het vinden van de oorzaak van een delier; 
- Of het delier behandeld kan worden; 
- De ernst van de onderliggende oorzaak; 
- De leeftijd van de patiënt; 
- De conditie van de patiënt. De medisch specialist probeert zo snel mogelijk de oorzaak te vinden en te behandelen. Daarbij zijn de juiste benadering en verpleegkundige acties heel belangrijk bij de behandeling van een delier. Zo nodig vraagt de medisch specialist de geriater, geriatrieverpleegkundige of psychiater voor advies. Bij een delier kan het soms helpen als er een naaste aanwezig is. De verpleegkundige van de afdeling zal dit zo nodig bespreekbaar maken. Hierbij wordt er rekening gehouden met wat u aankan en wat er mogelijk is. Soms is het naast verpleegkundige acties nodig om medicijnen te geven om de kenmerken van een delier te verminderen.",Hoe kan een delier behandeld worden en hoe lang duurt het voordat de verwardheid afneemt?,"Een delier kan behandeld worden door de onderliggende oorzaak te vinden en te behandelen. De duur van de verwardheid is afhankelijk van verschillende factoren, zoals de ernst van de onderliggende oorzaak en de conditie en leeftijd van de patiënt.",0.011235955056179775,0.06382978723404255,3.299971251653968e-83,0.008605128656943873,"[{'rouge-1': {'r': 0.11, 'p': 0.7333333333333333, 'f': 0.191304345557656}, 'rouge-2': {'r': 0.019230769230769232, 'p': 0.21428571428571427, 'f': 0.03529411613564021}, 'rouge-l': {'r': 0.11, 'p': 0.7333333333333333, 'f': 0.191304345557656}}]","[{'rouge-1': {'r': 0.19, 'p': 0.7307692307692307, 'f': 0.3015872983119174}, 'rouge-2': {'r': 0.08974358974358974, 'p': 0.4117647058823529, 'f': 0.14736841811412746}, 'rouge-l': {'r': 0.18, 'p': 0.6923076923076923, 'f': 0.2857142824389015}}]",0.191304345557656,0.2857142824389015
