,topic_id,filename,header,section_text,Question,Answer
307,11,Hartfalen,Leefadviezen,"Voor de behandeling is het erg belangrijk dat u zich aan de volgende leefregels houdt: 
- Neem de medicijnen dagelijks in volgens voorschrift Dit kan de kwaliteit van uw leven positief beïnvloeden en het leven verlengen. 
- Drink niet meer dan twee liter per dag U moet voorzichtig zijn met de hoeveelheid drinken. Door de plastabletten heeft u vaak een dorst gevoel. Dit mag u niet verleiden tot extra veel drinken omdat hierdoor het hart te veel belast wordt. Meestal is het aan te bevelen niet meer dan twee liter per dag te drinken, dit zijn tien tot twaalf glazen of kopjes. Fruit, soep en toetjes bevatten ook vocht. Mocht het zo zijn dat een andere specialist (bijvoorbeeld uroloog) zegt dat u veel moet drinken, overleg dan eerst met uw cardioloog of de (hartfalen)verpleegkundig specialist. 
- Controleer uw gewicht regelmatig, op een vast tijdstip en op dezelfde weegschaal Bij een gewichtstoename van meer dan één kilogram in één dag of twee à drie kilogram in twee à drie dagen, moet u zich afvragen of dit te maken heeft met vochtophoping. Het is verstandig om uw cardioloog, uw (hartfalen)verpleegkundig specialist of uw huisarts op de hoogte te stellen van de snelle gewichtstoename. 
- Voorkom overgewicht Overgewicht is een extra belasting voor het hart. U moet echter wel gezond blijven eten om in een goede lichamelijke conditie te blijven. 
- Zoutbeperkt dieet Omdat zout vocht vasthoudt, is het belangrijk dat u zich aan een zoutbeperkt dieet houdt. Er kan verminderde eetlust optreden. Dit is vaak niet te wijten aan het dieet, maar aan de vochtophoping in de buikholte. Naast uw zoutbeperkt dieet is het belangrijk dat u wel voldoende eiwitten en vitaminen tot u neemt. De diëtiste kan u hierover informeren en u tips geven om het eten zo lekker mogelijk te maken. Lichaamsbeweging is goed. Te inspannende lichaamsbeweging wordt afgeraden. Neem ’s middags anderhalf tot twee uur rust. 
- Stoppen met roken en geen alcohol gebruiken Roken en alcohol kunnen (direct of indirect) een negatieve invloed hebben op de pompwerking van het hart. Daarom wordt dit afgeraden.",Wat kan ik doen om mijn hart te ontlasten?,"Om uw hart te ontlasten is het belangrijk om niet te veel te drinken, niet te veel te eten en niet te roken of alcohol te gebruiken. Daarnaast is het belangrijk om voldoende te rusten en geen te inspannende activiteiten te ondernemen."
303,11,Lysis,Voorbereiding op de behandeling,"Voor deze behandeling, moet u enkele uren nuchter zijn. Afhankelijk van de tijd, mag u nog een licht ontbijt nemen. De specifieke afspraken worden vooraf met u besproken. Er wordt een infuusnaaldje ingebracht waarop een infuus kan worden aangesloten. Gebruikt u medicatie dan kan het zijn dat u deze voorafgaand aan de operatie moet stoppen. Dit verschilt per persoon, per behandeling. Bepreek met uw medisch specialist wat voor uw situatie van toepassing is.",Wordt er tijdens de Lysis behandeling een infuusnaaldje ingebracht?,"Ja, er wordt een infuusnaaldje ingebracht waarop een infuus kan worden aangesloten."
314,11,Moviprep voorbereiding,Dag van het onderzoek,"6.00 – 8.00 uur Neem één liter Moviprep in en drink één liter heldere vloeistoffen. U mag nog tot twee uur voor het onderzoek heldere vloeistoffen blijven gebruiken, daarna nuchter. Desnoods moeten de tijden van inname van de Moviprep hierbij vervroegd worden. Als het onderzoek in de middag plaatsvindt dan mag u om 07.30 nog een licht ontbijt, (naturel beschuit met een kopje thee). U mag dan tussen 8.00 uur en 10.00 uur de liter Moviprep en de liter heldere vloeistoffen drinken. U mag nog tot twee uur voor het onderzoek heldere vloeistoffen blijven gebruiken. Het is de bedoeling dat uw ontlasting een heldere, licht gele, kleur heeft. Mocht dit niet zo zijn dan is het aan te raden extra water te drinken, tot maximaal twee uur voor het onderzoek.",Hoe laat moet ik de Moviprep en de heldere vloeistoffen drinken?,U moet de Moviprep en de heldere vloeistoffen drinken tussen 6.00 en 8.00 uur op de dag van het onderzoek.
114,13,Abatacept onderhuidse injectie,Mogelijke bijwerkingen abatacept,"Bijwerkingen kunnen optreden. Meest voorkomend 
- Huiduitslag of jeuk op de plaats van de injectie. Dit is vrijwel altijd mild en op den duur verdwijnen de klachten bij de meeste patiënten. 
- Hoofdpijn, duizeligheid, buikpijn, misselijkheid, diarree en vermoeidheid 
- Milde infecties zoals verkoudheid, griep en blaasontsteking. Soms/zelden voorkomend 
- Bloeddrukverhoging, blozen of opvliegers. 
- Overgevoeligheidsreacties zoals al dan niet jeukende huidafwijkingen, moeilijk ademhalen, pijn op de borst, rillerigheid of lage bloeddruk. Bij ernstigere verschijnselen wordt het gebruik vaak gestopt. 
- Ernstige infecties.",Wanneer wordt het gebruik van abatacept vaak gestopt?,Het gebruik van abatacept wordt vaak gestopt bij ernstigere verschijnselen zoals overgevoeligheidsreacties of ernstige infecties.
332,13,Borstoperatie met prothese,Bijwerkingen,"Bijwerkingen kunnen zijn: irritatie van het neusslijmvlies, jeuk, branderigheid, prikkelende pijn en roodheid.",Welke symptomen kunnen wijzen op irritatie van het neusslijmvlies na een borstoperatie met prothese?,"Symptomen van irritatie van het neusslijmvlies na een borstoperatie met prothese zijn een verstopte neus, niezen, hoofdpijn en een loopneus."
322,13,"Capecitabine, patiënteninformatie",Bijwerkingen:,"Neem direct contact op met het ziekenhuis indien één van de volgende symptomen optreedt: 
- Koorts boven de 38,5° 
- Diarree, als u elke dag een toename van vier of meer ontlastingen heeft in vergelijking tot uw normale ontlastingspatroon, of als u ’s nachts diarree heeft; 
- Pijn op de borst, vooral als dit tijdens inspanning optreedt. Andere bijwerkingen die kunnen optreden zijn: 
- Misselijkheid en verlies van eetlust. Gebruik frequent kleine maaltijden; 
- Braken; 
- Vermoeidheid; 
- Stomatitis: als de mond en/of keel pijnlijk, rood of gezwollen is of als u kapotte plekjes en zweren in de mond heeft. Goede mondverzorging en vier keer per dag spoelen met een zoutoplossing of kamille-/groene thee kan deze klachten al zoveel mogelijk voorkomen; 
- Hand-voet huidreactie: de handpalmen en voetzolen kunnen rood verkleuren, verschilferen, het ontstaan van kloofjes en een pijnlijk of tintelend gevoel. Het is zinvol uw handen en voeten twee keer per dag in te smeren met een vette crème. Probeer knellend schoeisel te vermijden; 
- Tijdens en het gebruik van en tot 48uur na de laatste capecitabine wordt een zeer kleine hoeveelheid van het geneesmiddel uitgescheiden via lichaamsvloeistoffen, voornamelijk via uw urine. U hoeft zelf als patiënt geen beschermende maatregelen te nemen, maar voor familie en verzorgenden worden wel hygiënische voorzorgsmaatregelen noodzakelijk geacht als zij in direct contact kunnen komen met bijvoorbeeld urine, ontlasting of braaksel. Bij contact met urine, ontlasting of braaksel adviseren wij verzorgenden/naasten wegwerphandschoenen te dragen. Als u klachten krijgt die u niet vertrouwt mag u altijd contact met ons opnemen. Dagbehandeling oncologie: 088 708 7075 Buiten kantoortijden via afdeling 5 west: 088 708 3420",Hoe vaak moet ik spoelen met een zoutoplossing of kamille-/groene thee om stomatitis te voorkomen?,Om stomatitis te voorkomen is het aanbevolen om vier keer per dag te spoelen met een zoutoplossing of kamille-/groene thee.
330,13,Filgotinib bij IBD,Bijwerkingen,"Zoals bij alle geneesmiddelen, kan ook het gebruik van filgotinib bijwerkingen geven. Let wel, niet iedereen ondervindt deze bijwerkingen. In de bijsluiter die met de filgotinib geleverd wordt, staan alle beschreven bijwerkingen vermeld. Deze kunt u rustig nalezen. De belangrijkste bijwerkingen: Zelden (bij 1 tot 10 op de 100 mensen) 
- meer kans op infectie, zoals longontsteking, griep, verkoudheid, keelontsteking, ontsteking van de neusbijholten en blaasontsteking; 
- duizelig; 
- misselijk; Zeer zelden (bij minder dan 1 op de 100 mensen) 
- herpesinfectie zoals koortslip, genitale wratten of gordelroos (pijn, jeuk en blaasjes op de huid); 
- teveel cholesterol in uw bloed; 
- bloedstolsel in de longen of aderen; 
- meer kans op bepaalde huidkanker.",Welke infecties kunnen voorkomen als bijwerking van filgotinib?,"Als bijwerking van filgotinib kan een verhoogde kans op infecties voorkomen, zoals longontsteking, griep, verkoudheid, keelontsteking, ontsteking van de neusbijholten en blaasontsteking."
318,13,Methotrexaat (longgeneeskunde),Meest voorkomend:,"- Maag- en darmklachten, zoals een vol gevoel, misselijkheid, braken en diarree. 
- Hoofdpijn en duizeligheid. 
- Ontstekingen in het slijmvlies van de mond, zoals pijnlijke plekjes. 
- Stoornissen in de werking van de lever, hier merkt u meestal niets van (wordt meestal aangetoond bij bloedonderzoek). 
- (Milde) haaruitval.",Wat zijn de meest voorkomende bijwerkingen van Methotrexaat?,"De meest voorkomende bijwerkingen van Methotrexaat zijn maag- en darmklachten, hoofdpijn en duizeligheid, ontstekingen in het slijmvlies van de mond, stoornissen in de leverfunctie en (milde) haaruitval."
321,13,Tocilizumab per infuus,Mogelijke bijwerkingen tocilizumab,"Meest voorkomend 
- Hoofdpijn. 
- Verhoogde bloeddruk en cholesterol. 
- Milde infecties met name van bovenste luchtwegen met typische verschijnselen als hoesten, verstopte neus of loopneus en keelpijn. Verder nog blaasontsteking en koortsblaasjes. Soms/zelden voorkomend 
- Ernstige infecties. 
- Overgevoeligheidsreacties zoals al dan niet jeukende huidafwijkingen, moeilijk ademhalen, pijn op de borst of lage bloeddruk. Om deze verschijnselen te verminderen kan de arts besluiten de snelheid van de toediening te verlagen of bepaalde medicijnen toe te toedienen. Bij ernstigere verschijnselen wordt de toediening vaak gestopt. 
- Verminderde aanmaak van witte bloedcellen en bloedplaatjes. 
- Darmontsteking (diverticulitis).",Hoe kan de arts de symptomen van overgevoeligheidsreacties verminderen bij het gebruik van tocilizumab per infuus?,"Om de symptomen van overgevoeligheidsreacties te verminderen, kan de arts besluiten om de snelheid van de toediening te verlagen of bepaalde medicijnen toe te dienen. Bij ernstigere symptomen wordt de toediening vaak gestopt."
110,14,Acupunctuur  (Nocepta),Bijwerkingen en complicaties,"- Bloeduitstorting 
- Allergische reactie 
- Klaplong (uiterst zeldzaam en alleen bij bepaalde punten risico aanwezig) 
- Infectie (uiterst zeldzaam)",Wat zijn de bijwerkingen en complicaties van acupunctuur?,"De bijwerkingen en complicaties van acupunctuur zijn onder andere bloeduitstorting, allergische reactie, klaplong (uiterst zeldzaam en alleen bij bepaalde punten risico aanwezig) en infectie (uiterst zeldzaam)."
349,14,Basaalcelcarcinoom,Welke voorzorgsmaatregelen moet u nemen?,"Als u bloedverdunnende middelen gebruikt dient u dit vooraf aan de medisch specialist te melden. Geef aan of u een allergie heeft (jodium, rode pleisters en dergelijke)!",Welke voorzorgsmaatregelen moet u nemen als u bloedverdunnende middelen gebruikt?,U dient dit vooraf te melden aan de medisch specialist.
352,14,Budesonide,Wat zijn de reacties op een corticosteroïden allergie?,Een corticosteroïden allergie geeft een typische allergische contact dermatitis. Gewoonlijk wordt dit gezien als het niet verbeteren of juist verergeren van een bestaande dermatitis die wordt behandeld met corticosteroïden. Heel zelden kan corticosteroïden allergie verschijnen als een eczeemachtige uitslag in een totaal ander gebied van het lichaam dan de bestaande dermatitis.,Wat is de typische reactie op een corticosteroïden allergie?,Een corticosteroïden allergie geeft een typische allergische contact dermatitis.
348,14,Chroom,Wat is chroom en waar vind je het?,"De meeste mensen denken bij chroom aan een glanzend en duurzaam metaal. Het contact met verchroomde gebruiksvoorwerpen zijn een onwaarschijnlijke oorzaak voor een allergie voor chroom. Het zijn de chroomzouten die de oorzaak van de overgevoeligheid zijn. Deze zouten vindt je in producten zoals cement, mortier, leer, verven en afbijtmiddelen. De grootste blootstelling vindt plaats op de werkplaats hoofdzakelijk met cement en mortier dat in de bouw wordt gebruikt. De lijst hieronder toont enkele van de vele bronnen van chromaten. Tevens staat er aangegeven hoe of waar je er mee in contact kan komen. 
- Chroomgelooide lederwaren zoals (hand)schoenen, riemen en andere draagbare producten; 
- Cosmetica die een chromaat bevattend pigment bevatten (m.n. geel-groene kleuren); 
- Desinfecterende en blekende middelen 
- Lucifers (in het uiteinde); 
- Groen vilt dat gebruikt wordt voor de bekleding van o.a. snookertafels; 
- Verven, antiroest primers, en in het pigment van geelgroene verven; 
- Tatoeages die een chroomhoudend pigment bevatten. (geelgroen); 
- Koelvloeistoffen; 
- Orthopedische of tandheelkundige implantaten; 
- Cement (voornamelijk in nat cement); 
- Antiroestmiddelen gebruikt in de auto-industrie; 
- Legeringen van chroomstaal bij het lassen; 
- Diesel; 
- Graveervloeistoffen; 
- Reparatie- en opvulmiddelen in de bouwindustrie; 
- Papier (pulp) industrie; 
- Chemicaliën die gebruikt worden in een (foto) laboratorium; 
- Aardewerk; 
- Geïmpregneerd hout.",Welke producten kunnen chroomzouten bevatten?,"Chroomzouten kunnen voorkomen in producten zoals cosmetica, tatoeages, koelvloeistoffen, antiroestmiddelen en chemicaliën die gebruikt worden in een (foto) laboratorium."
336,14,Geurstoffen mix,17. Geurstoffen mix,Tegenwoordig zijn er meer dan 5000 verschillende geuren in gebruik. In elk willekeurig product kan het aantal gebruikte geuren groot zijn. Gelukkig veroorzaken slechts een klein aantal geuren hiervan allergische reacties.,Hoeveel verschillende geuren worden er tegenwoordig gebruikt?,Tegenwoordig worden er meer dan 5000 verschillende geuren gebruikt.
339,14,Imidazolidinyl urea,Behandeling van contact dermatitis veroorzaakt door imidazolidinyl urea,"Indien bij u een allergie voor imidazolidinyl urea is vastgesteld, dan moet u blootstelling aan producten die imidazolidinyl urea bevatten vermijden. Wanneer er een dermatitis verschijnt op de huid, dan kan deze behandeld worden als elk ander acuut dermatitis/eczeem. Dit betekent crèmes/zalven met corticosteroïden, verzachtende smeersels en behandeling van een eventuele secundaire bacteriële infectie.",Hoe kan ik blootstelling aan producten met imidazolidinyl urea vermijden?,"Als u allergisch bent voor imidazolidinyl urea, moet u blootstelling aan producten die deze stof bevatten vermijden. Controleer altijd de ingrediëntenlijst van producten voordat u ze gebruikt om ervoor te zorgen dat ze geen imidazolidinyl urea bevatten."
353,14,Quaternium-15,Wat zijn de reacties bij een quaternium-15 allergie?,Individuen die reageren op quaternium-15 zijn gevoelig voor formaldehyde of hebben een specifieke gevoeligheid. Typische allergische contact dermatitis komt voor bij beide soorten van gevoeligheid. Positieve plakproef Hand dermatitis veroorzaakt door quaternium-15 in crème Gezichts- dermatitis veroorzaakt door crème,Wat is de oorzaak van een quaternium-15 allergie?,Individuen die reageren op quaternium-15 zijn gevoelig voor formaldehyde of hebben een specifieke gevoeligheid.
345,14,Shuntografie en_of dotterbehandeling shunt,Complicaties,"Geen enkel invasief onderzoek (onderzoek waarbij de huid of slijmvliezen worden gepasseerd) is zonder risico’s. Zo kunnen ook tijdens of na een onderzoek van de shunt complicaties optreden. 
- Er kan een allergische reactie op het contrastmiddel ontstaan, wanneer u overgevoelig blijkt te zijn voor jodium. 
- Er kan een bloedpropje in een bloedvat in uw arm/been komen. Dan is het soms noodzakelijk u te opereren om het bloedpropje te verwijderen. 
- Tijdens het dotteren kan het vat inscheuren met als gevolg een acute vaatafsluiting of een bloeding. Deze complicatie wordt door de interventieradioloog/vaatchirurg direct ter plekke of operatief behandeld. 
- Daarnaast kan na het onderzoek een blauwe plek ontstaan ter plaatse van de aanprikplek. Dit is vervelend, maar het trekt na verloop van tijd vanzelf weg.",Wat kan er gebeuren bij een allergische reactie op het contrastmiddel?,Bij een allergische reactie kan het nodig zijn om te opereren om het bloedpropje te verwijderen.
333,14,Thiuram mix,Ben ik allergisch voor thiuram mix?,Een allergie voor thiuram kan worden vastgesteld door middel van een plakproef.,Wat is thiuram mix?,Thiuram mix is een chemische stof die veel gebruikt wordt bij het produceren van rubber.
121,15,Ambulante flebectomie volgens Müller,Na de behandeling,"Houd na de behandeling rekening met het volgende. 
- U heeft een steunkous om. Deze kous dient u de eerste twee dagen dag en nacht te dragen. Laat de wattenstreng ook deze twee dagen onder de kous zitten. 
- Hierna draagt u de kous nog drie dagen, alleen overdag. Trek de kous aan bij het opstaan, trek de kous uit bij het naar bed gaan. In totaal draagt u de kous dus vijf dagen. Dit is belangrijk voor het slagen van de behandeling. 
- De kous mag niet nat worden. Als u wilt douchen, adviseren wij u om een vuilniszak om het been te doen en deze dan af te plakken.",Wat moet ik doen als de steunkous nat wordt?,"Als de steunkous nat wordt, moet deze gewassen worden en vervolgens opnieuw aangetrokken worden."
358,15,Longo_PPH,Na de operatie,"Aan het eind van de operatie wordt een anale tampon ingebracht. Die moet ervoor zorgen dat de wond in het anale kanaal niet flink gaat bloeden. U moet proberen deze tampon zo lang mogelijk in te houden. Uiteindelijk zal de tampon oplossen of met de ontlasting naar buiten komen. Het operatiegebied kan wat pijnlijk zijn. U krijgt na de operatie pijnstillers. Als u toch pijnklachten heeft, geef dit dan door aan de verpleegkundige op de afdeling. De wond wordt in het anale kanaal gesloten met nietjes (agraves). Ze kunnen gewoon blijven zitten en hoeven dus niet verwijderd te worden. In uitzonderlijke gevallen blijven de nietjes inwendig voelbaar. Indien u bloedverdunners gebruikt en deze voor de operatie gestopt zijn, mag u de volgende dag weer herstarten met de bloedverdunnende medicijnen. Probeer de ontlasting (zeker de eerste dagen na de operatie) soepel te houden. Indien nodig krijgt u een recept Lactulose of Movicolon mee naar huis. Als alles goed verloopt, kunt u later op de dag of de volgende dag naar huis. U kunt meestal snel weer de dagelijkse bezigheden oppakken. Gemiddeld duurt de herstelperiode één week. De operatie is succesvol bij ongeveer 75 – 80% van de patiënten.",Wat voor soort tampon wordt er gebruikt na de operatie en hoe lang moet deze worden ingehouden?,Er wordt een anale tampon gebruikt na de operatie en deze moet zo lang mogelijk worden ingehouden.
